,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0.7040694847641725,-0.9749252181662452,4,0.4209659997739755,406.0,155.0,467.23870849609375,236.7695159912109,281.0,548.0
1,1,0.4627873563191025,-1.0819499392093683,4,28.527634568035584,406.0,158.0,468.1431274414063,238.3697509765625,348.0,574.0
2,2,0.4306848135909603,-1.108174885411706,4,27.769307671426965,407.0,162.0,467.91204833984375,238.9580078125,358.0,581.0
3,3,1.110258542648584,-1.1644791708620523,4,27.44280872557872,407.0,162.0,468.7882995605469,240.87765502929688,286.0,592.0
4,4,-0.6108436665931857,-1.2395524835688954,4,24.58906293968671,409.0,164.0,468.8362426757813,242.3985595703125,517.0,606.0
5,5,1.670224913460787,-1.2394567429277072,4,24.89230732708993,409.0,167.0,468.15570068359375,243.73129272460935,300.0,608.0
6,6,1.4283800590773834,-1.232484187719716,4,24.511609151740057,408.0,169.0,466.9477844238281,244.46051025390625,297.0,608.0
7,7,-0.7777469015856506,-1.0902057385886144,4,23.978961330009835,407.0,169.0,467.08056640625,245.12838745117188,575.0,585.0
8,8,-0.4003122603069337,-1.0932758306932575,4,23.59916953148297,405.0,170.0,467.3029174804688,246.28065490722656,512.0,586.0
9,9,-0.5866491144059248,-1.1074290671484293,4,23.91020356973874,405.0,171.0,466.7139892578125,246.5823516845703,540.0,589.0
10,10,-0.1823213398073696,-1.1094366911361857,4,24.494002499445216,404.0,172.0,466.7195129394531,247.5283203125,469.0,590.0
11,11,0.0630277019383602,-1.156005524905638,1,24.30747832537438,403.0,172.0,466.5940246582031,246.61798095703125,423.0,599.0
12,12,-1.1248872865163893,-1.0677901780095265,1,23.079992736437223,403.0,175.0,466.6548767089844,246.02005004882807,619.0,583.0
13,13,-1.5702546398291746,-1.0960657582512248,1,23.69810553198221,403.0,175.0,463.8626403808594,244.5403289794922,628.0,588.0
14,14,-1.6474034871315708,-1.0731736249950672,1,24.153919688567168,402.0,176.0,462.9640808105469,245.74545288085935,635.0,584.0
15,15,-1.846583036113305,-1.0598699369276308,1,23.71740224490373,400.0,175.0,463.1013488769531,245.87271118164065,631.0,582.0
16,16,-1.8261529952849265,-1.1282083815537725,1,24.32298395982417,399.0,175.0,463.41119384765625,247.1051483154297,608.0,596.0
17,17,-1.3163423367563492,-1.0777507999605862,1,24.266694437694543,399.0,175.0,462.5614318847656,247.2627410888672,625.0,586.0
18,18,-1.7774650842360975,-1.0978219798320774,1,23.616310627132577,398.0,174.0,462.5198059082031,248.03872680664065,620.0,590.0
