,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,-1.6571844788671048,-0.3242792775012804,3,34.99219114996997,91.0,64.0,152.1531982421875,158.23184204101562,523.0,247.0
1,1,-1.5148286649063365,-0.276609492937189,3,35.85059062857924,91.0,64.0,152.1132049560547,157.739990234375,530.0,226.0
2,2,-1.735955857063632,-0.2843907170101826,3,35.30083490438998,89.0,63.0,152.2077178955078,159.16445922851562,523.0,231.0
3,3,-0.7708722175477202,-0.3992259568982903,3,35.14406850669482,88.0,62.0,151.19139099121094,159.09193420410156,392.0,276.0
4,4,-0.9990310870892066,-0.3518123684310646,3,32.874585570404044,87.0,62.0,150.53358459472656,159.13088989257812,454.0,257.0
5,5,-1.2568196211286422,-0.2999435777762453,3,34.81703703088813,88.0,62.0,150.47100830078125,159.07884216308594,506.0,236.0
6,6,-0.6590436865303118,-0.3376155892920702,3,32.436288270731346,88.0,63.0,150.4683380126953,159.49436950683594,365.0,252.0
7,7,-1.0822439521937135,-0.2865614596147062,3,36.25311379057003,88.0,64.0,151.01429748535156,160.49749755859375,480.0,232.0
8,8,-1.4610836772635565,-0.3943891237264884,3,36.31777918243296,89.0,64.0,151.43812561035156,160.48007202148438,511.0,276.0
9,9,-1.2769860090091036,-0.373065459194333,3,34.96185649506535,89.0,65.0,151.68373107910156,160.10409545898438,500.0,267.0
10,10,-0.9593818116220524,-0.1786661512112359,3,36.66638109641493,90.0,66.0,152.21131896972656,159.00758361816406,464.0,188.0
11,11,-0.9179094692306844,-0.0881210709935229,3,33.93999028969089,89.0,66.0,152.57418823242188,158.26596069335938,457.0,149.0
12,12,-1.0699065921278124,-0.2026910600370587,3,34.28343496101094,89.0,66.0,152.6822509765625,157.03958129882812,486.0,197.0
13,13,-1.0079353661938866,-0.0609403162759561,3,35.90644796767455,89.0,66.0,152.05154418945312,157.87939453125,480.0,137.0
14,14,-1.0206421067029816,-0.2437189208424924,3,36.12073820821743,89.0,67.0,152.1698455810547,159.06231689453125,472.0,216.0
15,15,-1.13104917548856,-0.2916211993697477,3,34.50256241516884,88.0,67.0,151.87754821777344,159.83351135253906,488.0,235.0
16,16,-1.0684592972334088,-0.2398951541493567,3,36.90155021027256,88.0,67.0,151.75914001464844,159.56573486328125,482.0,214.0
17,17,-1.1807813120008086,-0.2666751031228665,3,29.153227544119385,88.0,66.0,152.43138122558594,159.02218627929688,500.0,224.0
18,18,-1.1944550463017116,-0.1980542302631218,3,34.021202903840695,87.0,66.0,152.55874633789062,158.57969665527344,507.0,196.0
19,19,-1.038914987048397,-0.0998770629934596,3,27.61754383654549,88.0,66.0,152.63916015625,157.9998779296875,485.0,153.0
20,20,-0.9329953446996018,-0.2220770085600725,3,34.552302496086995,88.0,66.0,152.24879455566406,157.6044921875,454.0,205.0
21,21,-0.747275278709073,-0.2012108751031927,3,35.31807541386686,87.0,67.0,152.3677215576172,157.4828643798828,403.0,197.0
22,22,-0.8909277858046012,-0.2216540985789679,3,36.02951560392739,86.0,67.0,152.46751403808594,157.80224609375,442.0,206.0
23,23,-0.7891068815314927,-0.2934196320538783,3,36.86004042534493,87.0,67.0,152.19129943847656,158.37220764160156,408.0,235.0
24,24,-0.8658474662387798,-0.2550546660224147,3,34.24536651480266,86.0,67.0,153.34364318847656,158.89422607421875,433.0,219.0
25,25,-0.9313259421702856,-0.1998734356037549,3,36.84158563686351,86.0,67.0,154.13356018066406,158.6151885986328,455.0,197.0
26,26,-0.8530400582404798,-0.2720227305917456,3,36.19242551061792,87.0,66.0,153.71302795410156,157.82626342773438,429.0,225.0
27,27,-0.7955549271627924,-0.2395540032137175,3,37.11740604065451,87.0,66.0,154.24087524414062,156.8339385986328,416.0,212.0
28,28,-0.6717813197080518,-0.1753161608760252,3,36.8034396525249,87.0,66.0,155.0730438232422,157.03387451171875,382.0,185.0
29,29,-0.6954560228505292,-0.2197728415849359,3,36.42501454637036,86.0,65.0,155.81617736816406,156.61865234375,386.0,203.0
30,30,-0.6763038998712244,-0.1386968969391087,3,34.107796896854566,87.0,65.0,156.56307983398438,155.9915771484375,385.0,169.0
31,31,-0.7709971198028447,-0.1530699773422663,3,36.12260470403831,88.0,65.0,156.68284606933594,156.4720001220703,415.0,175.0
32,32,-0.7753692313644279,-0.1794965248391226,3,36.15810481124837,89.0,65.0,157.2127685546875,156.35565185546875,416.0,186.0
33,33,-0.8189854184333095,-0.1012288835627839,3,34.41480205128205,89.0,65.0,158.90145874023438,155.5133056640625,433.0,153.0
34,34,-0.8300532496075699,-0.3192568220014999,3,36.97246218398505,91.0,64.0,158.5870361328125,154.69224548339844,422.0,243.0
35,35,-0.8980815691247719,-0.3378563390546134,3,34.830915387106685,91.0,63.0,159.3509521484375,153.79718017578125,439.0,249.0
36,36,-0.8743605269793272,-0.2549468079982665,3,36.422167804234185,91.0,63.0,160.35482788085938,153.0012664794922,441.0,215.0
37,37,-0.8549524742192658,-0.1899230668228918,3,36.446220955492606,93.0,62.0,160.6360321044922,151.74143981933594,442.0,186.0
38,38,-0.966412690057916,-0.4461545837310126,3,34.5048331235552,94.0,58.0,164.1391143798828,148.98045349121094,445.0,287.0
39,39,-0.931419552282602,-0.2254134167737238,3,36.68658596319362,94.0,55.0,165.34097290039062,150.29592895507812,462.0,197.0
40,40,-0.8575932647561884,-0.2031113068570732,3,33.41329424510866,95.0,55.0,166.4927520751953,149.94171142578125,446.0,188.0
41,41,-1.1389365265309932,-0.5190250627421967,3,37.16707133362871,95.0,53.0,165.77732849121094,150.01632690429688,466.0,312.0
42,42,-1.0918564989903,-0.3820882489675214,3,36.06886469566414,95.0,53.0,166.67539978027344,151.06631469726562,481.0,261.0
43,43,-1.071351623335289,-0.3767605952068178,3,30.680525788353364,95.0,52.0,167.9683380126953,151.62176513671875,479.0,258.0
44,44,-1.0748161295973735,-0.3563685044239722,3,33.73362501608545,96.0,51.0,168.91465759277344,151.54005432128906,483.0,250.0
45,45,-0.9867174291570072,-0.3365069153302702,3,33.27149123850773,96.0,50.0,169.31500244140625,151.58392333984375,467.0,241.0
46,46,-1.0302470634904612,-0.3919872187393459,3,32.954398315471884,96.0,50.0,169.36428833007812,151.58970642089844,470.0,263.0
47,47,-1.0786809089712963,-0.3642173727886537,3,36.03911257754636,96.0,51.0,169.44024658203125,151.66481018066406,483.0,253.0
48,48,-0.9992807584414016,-0.2864171162836239,3,36.829292707555865,99.0,50.0,170.2478485107422,151.04795837402344,478.0,220.0
49,49,-1.0642194116199482,-0.2534008429854755,3,36.18461963179599,100.0,51.0,170.61679077148438,149.5723419189453,496.0,207.0
50,50,-1.0824847019562565,-0.1588365200506149,3,35.83221419174056,102.0,53.0,171.74594116210938,148.6479034423828,507.0,167.0
51,51,-1.055983319632769,-0.2052237262337241,3,33.30398602509131,104.0,54.0,172.2796630859375,149.40716552734375,501.0,188.0
52,52,-1.1183843797666335,-0.2836631414003729,3,36.51412055576836,106.0,56.0,174.98580932617188,150.41632080078125,508.0,222.0
53,53,-1.1474202924995498,-0.3398028434953523,3,32.404212087733804,107.0,56.0,176.00588989257812,150.34390258789062,507.0,245.0
54,54,-1.1453733868857148,-0.4059296659942377,3,34.11084815510609,109.0,56.0,177.7476806640625,152.23980712890625,499.0,272.0
55,55,-1.142842451743758,-0.4588575958145816,3,37.5382963108812,112.0,55.0,180.7697906494141,154.052490234375,493.0,293.0
