,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,0.5671846026307537,-0.517653268464697,3,34.7360121906781,239.0,82.0,312.2452392578125,176.94053649902344,76.0,340.0
1,1,1,1,0.6854044539482431,-0.4547749698634901,3,33.93696952043434,239.0,82.0,311.7375183105469,177.09205627441406,33.0,316.0
2,2,2,2,0.6397815749979867,-0.4073736319372787,3,34.62360904738319,240.0,83.0,313.6531677246094,176.84629821777344,42.0,298.0
3,3,3,3,0.5744398523884565,-0.4884285376104944,3,29.022709973844087,241.0,84.0,316.0599365234375,176.7710723876953,74.0,330.0
4,4,4,4,0.4642667423046415,-0.406947792478975,3,27.29120875545752,243.0,85.0,318.2797546386719,177.27490234375,105.0,300.0
5,5,5,5,0.6037814960145136,-0.3828757457018578,3,26.472172782469293,246.0,85.0,319.045654296875,178.41993713378906,58.0,290.0
6,6,6,6,0.9553350051876226,-0.5315608283093087,3,26.393214025019507,249.0,87.0,320.6861572265625,180.70123291015625,-16.0,349.0
7,7,7,7,-1.0996313314766772,-0.7646116584571618,3,22.624341250020223,250.0,91.0,323.0874938964844,185.8812561035156,560.0,433.0
8,8,8,8,-1.475651834216562,-0.6911342450335486,3,31.43731730351227,252.0,95.0,324.3089294433594,187.0841217041016,615.0,413.0
9,9,9,9,-1.2189189772332338,-0.6018749389901259,3,28.806241586769595,255.0,96.0,329.36578369140625,191.54653930664065,622.0,384.0
10,10,10,10,-0.9487492741279656,-0.4886506452454071,3,25.96915380376569,256.0,96.0,331.49658203125,196.0541076660156,599.0,346.0
11,11,11,11,-0.927392320082184,-0.3255224410981294,3,28.63709853615905,257.0,96.0,334.1988220214844,196.923568725586,618.0,282.0
12,12,12,12,-0.9934736025264292,-0.2595218524349136,3,26.73659920318725,256.0,89.0,337.2454528808594,197.6401824951172,641.0,252.0
13,13,13,13,-0.8245524903760112,-0.4185384021752179,3,33.699474538413334,257.0,93.0,334.6089782714844,199.7056121826172,581.0,319.0
14,14,14,14,-0.97199254517385,-0.3829678910755746,3,25.544495602816145,259.0,95.0,334.82525634765625,196.8924560546875,622.0,304.0
15,15,15,15,-0.913779039538026,-0.4249883120192809,3,25.423568133739856,259.0,95.0,334.6911315917969,196.2308349609375,603.0,321.0
16,16,16,16,-1.027533169181616,-0.2090059476138546,3,31.265777115169588,259.0,96.0,333.41815185546875,195.7440490722656,653.0,233.0
17,17,17,17,-1.1030486997874671,-0.3701807231015591,3,28.55152039100631,260.0,96.0,333.33526611328125,194.8331451416016,650.0,299.0
18,18,18,18,-1.3275379996629333,-0.2450747361534518,3,20.58928001649379,260.0,96.0,332.3069152832031,195.6430511474609,697.0,248.0
19,19,19,19,-1.312775565108406,-0.2828514099001168,3,29.28512878518115,260.0,97.0,331.6386108398437,196.1298217773437,691.0,265.0
20,20,20,20,-1.26337965268378,-0.3190727975701755,3,33.2944687877056,259.0,95.0,330.4852905273437,192.962158203125,680.0,277.0
21,21,21,21,-1.3653612787286746,-0.3246278852879717,3,23.64160259734404,260.0,96.0,330.2564392089844,192.16053771972656,690.0,280.0
22,22,22,22,-1.1093408173369428,-0.0393796304067836,3,33.948781040567226,262.0,96.0,332.496826171875,192.77114868164065,678.0,161.0
23,23,23,23,-1.185511219254844,-0.1453931491840039,3,31.97389826115461,262.0,97.0,332.9473876953125,193.0693817138672,688.0,207.0
24,24,24,24,-1.174758972669758,-0.1343069421982221,3,30.877705468358904,264.0,98.0,332.9961853027344,193.1761016845703,687.0,202.0
25,25,25,25,-1.2102798158150714,0.1075277921730393,3,22.02011802011802,263.0,99.0,333.277099609375,194.0819549560547,694.0,100.0
26,26,26,26,-1.1918727121507164,0.0298010389140956,3,34.739464617015635,265.0,99.0,333.2448425292969,193.39132690429688,695.0,133.0
27,27,27,27,-1.085095265614807,0.0060794641364328,3,31.69291683668072,265.0,98.0,332.7552490234375,193.455307006836,675.0,142.0
28,28,28,28,-1.3546078337210985,0.030887874954957,3,33.996385005065854,266.0,98.0,332.5633239746094,193.6196136474609,715.0,132.0
29,29,29,29,-1.7179768565445073,0.0650738086038681,3,34.53352654459228,266.0,98.0,332.8226623535156,193.3529357910156,720.0,117.0
30,30,30,30,-1.6257847443506346,0.0624513938784671,3,24.687770021307404,267.0,97.0,332.608642578125,191.9540863037109,724.0,117.0
31,31,31,31,-1.5056902939418384,-0.0067875986702849,3,24.965649422926973,266.0,95.0,334.0180358886719,190.1797790527344,725.0,145.0
32,32,32,32,-1.443811879171902,0.119045164939305,3,31.821557276927628,267.0,94.0,334.1356811523437,188.0931396484375,720.0,90.0
33,33,33,33,-1.3506181520920504,0.0980496018534473,3,35.14318511256902,267.0,94.0,333.97967529296875,188.08563232421875,714.0,99.0
34,34,34,34,-1.3083842787869744,0.1653982826604611,3,35.50583255735207,267.0,93.0,333.9068908691406,186.83778381347656,706.0,69.0
35,35,35,35,-1.2641943136612352,0.136860114735281,3,33.11336201792129,268.0,92.0,334.1101989746094,185.90040588378903,703.0,80.0
36,36,36,36,-1.1516424680917612,-0.0671785048133577,3,38.656467161895634,269.0,92.0,334.14617919921875,185.729721069336,689.0,167.0
37,37,37,37,-1.114567270976223,0.0811425236730792,3,35.17265553589548,270.0,93.0,334.1348876953125,184.739974975586,683.0,103.0
38,38,38,38,-0.912829356293304,-0.2951480236013397,3,25.476226341747857,269.0,93.0,334.2130432128906,184.62969970703125,623.0,262.0
39,39,39,39,-1.218041998286271,-0.1241941205908642,3,31.34311271194673,270.0,93.0,334.32647705078125,185.16500854492188,699.0,192.0
40,40,40,40,-0.8815329524271287,-0.2157812957431252,3,38.14321310998345,270.0,94.0,334.5558776855469,184.04054260253903,623.0,230.0
41,41,41,41,-0.9560774944995364,-0.2226469250333494,3,28.786668771404845,270.0,93.0,335.0832824707031,183.9960479736328,641.0,232.0
42,42,42,42,-0.800946496789658,-0.1568322250142212,3,23.578473975051576,271.0,93.0,334.968017578125,183.9869537353516,604.0,205.0
43,43,43,43,-0.8535399335770878,-0.3444516574941946,3,27.85043924011129,271.0,93.0,334.5955505371094,183.19952392578125,604.0,282.0
44,44,44,44,-0.9199225526986752,-0.4372441793558255,3,13.868310199115191,271.0,93.0,334.7140808105469,183.46432495117188,609.0,318.0
45,45,45,45,-0.8270755691927524,-0.4910533491808765,3,24.22884606497528,270.0,93.0,335.0068359375,183.38536071777344,578.0,339.0
46,46,46,46,-1.116307380432481,-0.4025810072395721,3,33.98288825512056,272.0,94.0,336.2578125,184.97409057617188,656.0,306.0
47,47,47,47,-1.0256733506343594,-0.4747675864828239,3,33.44446659383946,272.0,95.0,336.3852233886719,183.4209899902344,628.0,334.0
48,48,48,48,-0.5619086141951978,-0.1805809640350029,3,31.57125222051606,270.0,96.0,336.954833984375,186.25912475585932,526.0,218.0
49,49,49,49,-0.959181142433915,-0.1992694306685249,3,29.357485826275635,270.0,96.0,338.5682373046875,187.78829956054688,646.0,225.0
50,50,50,50,-1.21396323391876,-0.1979769985915095,3,28.906896765611968,271.0,96.0,339.961181640625,186.67271423339844,696.0,225.0
51,51,51,51,-1.0229167125900185,-0.2044950853594784,3,25.53174496889419,270.0,97.0,339.94207763671875,187.727767944336,660.0,229.0
52,52,52,52,-1.1494019506666775,-0.3930343736799651,3,30.199616952032603,272.0,98.0,341.1073608398437,188.73727416992188,665.0,306.0
53,53,53,53,-0.8370658853899665,-0.4871326434240619,3,34.67025963612918,272.0,99.0,340.8504333496094,188.6522216796875,586.0,342.0
54,54,54,54,-1.0414690916918372,-0.5711838716397257,3,29.750423809962903,272.0,99.0,341.2435302734375,188.6198272705078,615.0,373.0
55,55,55,55,-0.2922899191194666,-0.4781343547329021,3,31.06983910634389,272.0,99.0,341.9520568847656,189.17852783203125,415.0,340.0
56,56,56,56,-1.0134816654800856,-0.5404334157970168,3,34.52897787144362,272.0,100.0,342.1759033203125,189.4099884033203,617.0,363.0
