,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,-1.3399897424976532,-0.928597134159336,0,16.867083822606848,500.0,219.0,625.7305297851562,334.91180419921875,872.0,702.0
1,1,-1.4485465801158992,-0.9860556336261226,0,19.759753138765223,498.0,218.0,620.3531494140625,333.7984313964844,850.0,719.0
2,2,-1.1538033570002515,-0.6103113006912788,0,20.665057201698808,498.0,219.0,616.5337524414062,332.1828918457031,956.0,580.0
3,3,-0.9463060901439267,-0.7208737649264634,0,20.55991058998843,494.0,218.0,612.0391845703125,333.76593017578125,877.0,626.0
4,4,-0.9228140798522289,-0.5725649869810407,0,19.92808544604508,492.0,217.0,607.4163818359375,335.383544921875,906.0,564.0
5,5,-1.1084318804568989,-0.8790029493915534,0,21.88088977922457,488.0,221.0,601.4639282226562,332.189453125,848.0,686.0
6,6,-1.2582607907525385,-0.6138000417192826,0,20.29763840495548,484.0,218.0,596.5768432617188,334.1950378417969,954.0,582.0
7,7,-1.0375337385490273,-0.5246049178581308,0,19.6887950053983,479.0,218.0,591.7814331054688,337.1332702636719,932.0,543.0
8,8,-1.060016943419803,-0.4399771152664648,0,19.962419684926942,477.0,220.0,589.2295532226562,332.01531982421875,953.0,503.0
9,9,-0.985279721642528,-0.5079617589417896,0,20.005933614114756,470.0,216.0,584.3317260742188,332.2049255371094,914.0,533.0
10,10,-1.0798027655804925,-0.5316266083882337,0,20.862720910451998,467.0,215.0,576.1576538085938,333.4081726074219,925.0,544.0
11,11,-1.0869933005237062,-0.4596477557100081,0,19.56955694076369,460.0,215.0,574.5858764648438,329.6781311035156,939.0,508.0
12,12,-1.1280315476573912,-0.5113330545657209,0,20.49601250977326,457.0,213.0,571.5724487304688,331.6264343261719,933.0,532.0
13,13,-1.1369721789109508,-0.4968811445942969,0,21.686973247432807,452.0,212.0,566.6444702148438,333.4647521972656,933.0,526.0
14,14,-1.114845438152082,-0.4587840925684954,0,19.65705287429584,449.0,211.0,564.152099609375,332.00640869140625,934.0,507.0
15,15,-1.1794966030909546,-0.7134246370414028,0,21.325198415724795,443.0,210.0,560.7902221679688,334.0445251464844,873.0,620.0
16,16,-1.269238074449736,-0.5189441026450584,0,20.208741068374216,442.0,212.0,556.7550659179688,338.34698486328125,940.0,539.0
17,17,-1.3025523554738645,-0.7632332062769368,0,20.10518747183848,436.0,214.0,553.5131225585938,339.8541259765625,865.0,644.0
18,18,-1.2841022417579044,-0.7508471103630873,0,20.68421623647536,432.0,211.0,548.099609375,339.5382385253906,863.0,638.0
19,19,-1.3426241414479596,-0.8048008898353296,0,20.637095861563367,430.0,210.0,546.5621948242188,338.02362060546875,847.0,657.0
20,20,-1.3644302376115829,-0.7080256105634851,0,19.51619717654504,428.0,210.0,543.9561767578125,335.5021667480469,881.0,618.0
21,21,-1.4348078646843985,-0.7354167550071682,0,20.00097279511695,427.0,209.0,542.387939453125,332.2195129394531,875.0,627.0
22,22,0.9951495298004162,-0.603057382514121,0,20.960515729242147,428.0,207.0,542.2454223632812,326.9515991210937,117.0,568.0
23,23,0.1279047029376716,-0.6994654118716436,3,20.48080003125122,428.0,206.0,540.3753662109375,325.5410461425781,432.0,608.0
24,24,0.9760117878909976,-0.5761381502156001,3,19.52855506616134,428.0,202.0,541.6907348632812,324.4436950683594,114.0,553.0
25,25,0.8690259489997895,-0.5528053969570889,3,21.515540440026054,430.0,199.0,541.28076171875,321.1032409667969,139.0,539.0
26,26,0.640397297842013,-0.5172149121492698,3,20.9568502048566,430.0,198.0,538.9000244140625,320.5793151855469,208.0,522.0
27,27,0.6422279547753335,-0.4367389776970374,3,20.86157947616063,432.0,195.0,539.3317260742188,318.0155334472656,196.0,481.0
28,28,0.8382131751875728,-0.5298851673514309,3,20.201441066543367,430.0,193.0,538.7103271484375,321.4791259765625,143.0,526.0
29,29,0.6122756483113213,-0.5372291003734334,3,20.71506746478595,428.0,191.0,539.5828247070312,320.8649597167969,220.0,527.0
30,30,0.5222205897341828,-0.533553139120797,3,19.95700561934081,428.0,191.0,540.0205078125,319.98291015625,256.0,526.0
31,31,0.5896971022735205,-0.4705840267264184,3,19.797620115265342,429.0,192.0,540.2108764648438,319.909912109375,220.0,496.0
32,32,0.6396396285118855,-0.4352497380154651,3,21.62335606869068,429.0,193.0,540.2855224609375,320.712890625,196.0,480.0
33,33,0.6772218914989746,-0.4163735185250925,3,19.12953689261053,430.0,195.0,540.3026733398438,320.4820251464844,180.0,472.0
34,34,0.3283472560663764,-0.4563235980373711,3,20.417690154557626,430.0,195.0,540.4601440429688,321.0267639160156,331.0,492.0
35,35,0.7383510258962174,-0.4920275335076274,3,19.17475004685907,430.0,197.0,541.7462768554688,322.19842529296875,169.0,510.0
36,36,0.7690434248271627,-0.4665128523680143,3,20.80549217246374,429.0,196.0,543.8619995117188,324.3984069824219,156.0,499.0
37,37,0.9626163539240082,-0.4966015126798386,3,20.784253872607803,430.0,198.0,546.4243774414062,326.3590087890625,104.0,515.0
38,38,1.0557886425570842,-0.5497888343903561,3,21.109789118727665,429.0,198.0,550.54052734375,328.9314270019531,94.0,541.0
39,39,1.090966071079832,-0.6533485165391774,3,21.03283070149486,435.0,201.0,550.1253051757812,330.6216735839844,117.0,588.0
40,40,1.1536225283622352,-0.7424983666617979,3,19.706185809191798,435.0,203.0,553.2383422851562,331.9717102050781,136.0,627.0
41,41,-1.313859604830123,-0.8489670196693127,3,20.897334462657565,436.0,202.0,554.9796752929688,329.621337890625,835.0,664.0
42,42,-1.3266507675457735,-0.8656903397344653,1,20.11955734425742,438.0,204.0,556.3223876953125,329.3796081542969,832.0,671.0
43,43,-1.29941009170368,-0.9164869417344186,1,20.681768424374518,444.0,209.0,555.6177368164062,331.5004272460937,811.0,692.0
44,44,-1.3357159015802942,-0.9760469416173868,1,19.11855012216023,443.0,211.0,557.5531616210938,331.4561767578125,790.0,712.0
45,45,-1.29977108318944,-0.9069586839863332,1,20.475800861151523,444.0,212.0,558.249267578125,332.3224792480469,817.0,691.0
46,46,-1.2950788596648295,-0.9611046105312246,1,19.66442562847525,443.0,210.0,559.5472412109375,332.30828857421875,794.0,707.0
47,47,-1.2589877005720755,-1.0183211618129775,1,21.166569942015677,443.0,210.0,560.172607421875,332.00958251953125,767.0,724.0
48,48,-1.4498191716427935,-0.9531739831210776,1,20.373556127653373,447.0,212.0,561.1499633789062,330.4505615234375,810.0,705.0
49,49,-1.379464181439244,-0.9450324333525963,1,19.207502930832355,448.0,212.0,562.0469360351562,330.13238525390625,811.0,702.0
50,50,-1.381371404253904,-0.9218722529327223,1,20.93958712962732,446.0,211.0,563.4818725585938,331.15447998046875,820.0,695.0
51,51,-1.3936997095720989,-0.8804250774136556,1,20.288507398431797,449.0,213.0,561.8662719726562,330.1649780273437,838.0,681.0
52,52,-1.361872271384562,-0.9568764428265604,1,19.687223945889876,448.0,213.0,561.6126098632812,330.33551025390625,804.0,706.0
53,53,-1.439355212245709,-0.9828388013454158,1,20.159204840934542,447.0,212.0,561.2095336914062,330.2988586425781,797.0,714.0
54,54,-1.4151071305205372,-0.872538392161495,1,19.72267990821201,446.0,212.0,560.9232788085938,329.9487609863281,841.0,677.0
55,55,-1.370534602304208,-0.9230250022105632,1,19.173873490864043,446.0,212.0,561.0303344726562,330.16705322265625,818.0,695.0
56,56,-1.4345310290890845,-0.8755517589349197,1,20.203581853739365,444.0,210.0,560.699462890625,329.3690490722656,840.0,678.0
57,57,-1.474790967394194,-1.004819201402385,1,21.227631372509325,442.0,211.0,559.9910278320312,330.9519348144531,784.0,719.0
58,58,-1.505622782808205,-0.9102341058110216,1,20.54832720128944,443.0,211.0,559.232666015625,330.0294189453125,827.0,690.0
59,59,-1.4939127303370718,-0.8340842102335139,1,20.49230739164635,445.0,208.0,559.233154296875,327.5879821777344,858.0,661.0
60,60,-1.4620513368456365,-0.8841811998151035,1,20.60182033410449,444.0,207.0,558.9171752929688,327.75634765625,836.0,678.0
61,61,-1.408159609026793,-0.7836806908104562,1,19.961944649358685,446.0,207.0,559.2744750976562,326.2715759277344,874.0,642.0
62,62,-1.492219758832109,-0.8325164072997843,1,20.75966759222138,446.0,207.0,559.35693359375,326.1825256347656,859.0,659.0
63,63,-1.611755211728097,-0.974407765966443,1,20.3025509463188,443.0,206.0,558.5679931640625,327.07305908203125,799.0,706.0
