,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,-0.1181170532994124,-1.028649166836414,1,20.704637226154865,443.0,172.0,564.199462890625,285.8641357421875,535.0,684.0
1,1,1,1,0.1134698371972241,-1.0388505385500169,1,22.38215534032392,443.0,172.0,564.8038940429688,285.6366882324219,472.0,686.0
2,2,2,2,-0.2889841372583512,-1.0308526663223454,1,22.357220528346943,443.0,172.0,565.0862426757812,285.73297119140625,582.0,684.0
3,3,3,3,0.5680903437174897,-1.0063435948103463,1,20.82656709303249,442.0,171.0,565.8602294921875,285.6539306640625,350.0,677.0
4,4,4,4,0.60584944060096,-1.0298353387859351,1,20.85525197026577,443.0,171.0,566.1143188476562,286.1341552734375,348.0,684.0
5,5,5,5,0.2354751056881522,-0.98634884766214,1,19.90151504367672,443.0,172.0,565.828369140625,285.99908447265625,436.0,672.0
6,6,6,6,0.1927984818518504,-1.0074820961763549,1,21.115527900279908,443.0,171.0,565.9710693359375,285.61309814453125,450.0,678.0
7,7,7,7,0.4865020068779311,-0.9954113185355709,1,22.759506858829656,444.0,172.0,565.9507446289062,285.93634033203125,369.0,674.0
8,8,8,8,0.0076826871126605,-1.0170568260854624,1,22.506339845783184,443.0,172.0,566.0196533203125,285.732421875,502.0,681.0
9,9,9,9,0.277917903980745,-1.051244757105191,1,22.31143311576741,444.0,173.0,566.3912963867188,287.12274169921875,433.0,692.0
10,10,10,10,0.4445018259585094,-1.0085297837491922,1,21.80762431628642,443.0,174.0,566.2246704101562,286.9022827148437,382.0,680.0
11,11,11,11,0.2317469464781502,-0.9688484171909026,1,21.93983460007428,444.0,174.0,565.5458984375,286.6216735839844,435.0,668.0
12,12,12,12,-0.3301643308781375,-0.8711120030816485,1,21.80513012466598,443.0,173.0,565.5538940429688,288.0357666015625,615.0,637.0
13,13,13,13,-0.2094280586466322,-0.8638378448802061,1,21.73529838525797,443.0,173.0,566.1058349609375,288.0279235839844,576.0,635.0
