,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,0.8825630631367712,-0.3378499474679972,3,19.525555022787472,698.0,182.0,781.9583129882812,289.376953125,273.0,447.0
1,1,1,1,0.8423876801962719,-0.2828820362526527,3,19.044415586774303,698.0,182.0,782.0755615234375,289.2946472167969,281.0,414.0
2,2,2,2,0.930647501882588,-0.3497052753765939,3,20.07977709903199,699.0,182.0,782.6982421875,289.6795959472656,258.0,454.0
3,3,3,3,0.8261929976075,-0.3207990585887648,3,20.74365099383275,699.0,182.0,783.1231689453125,290.1283874511719,294.0,438.0
4,4,4,4,0.9829956615336216,-0.3002232096907037,3,19.801732644052592,699.0,182.0,783.399658203125,290.2372436523437,232.0,425.0
5,5,5,5,0.9402202344208778,-0.3026762473707756,3,19.52173811862064,699.0,182.0,783.4993896484375,290.23297119140625,248.0,427.0
6,6,6,6,0.8841910535111367,-0.2773059095622448,3,20.100177313461447,699.0,182.0,783.795166015625,290.3322448730469,265.0,411.0
7,7,7,7,0.9877536651371572,-0.2580515211970809,3,15.044293876906853,699.0,182.0,784.5123901367188,290.6925048828125,224.0,399.0
8,8,8,8,0.9687698539387452,-0.2920182766882785,3,19.185099463459927,700.0,183.0,784.7650756835938,291.4585266113281,237.0,421.0
9,9,9,9,0.9139577376471704,-0.2805315302745487,3,20.15930173317056,700.0,183.0,785.3112182617188,291.11151123046875,255.0,414.0
10,10,10,10,0.9824390608657948,-0.3058643175117095,3,18.70494793408701,700.0,184.0,785.344970703125,291.32110595703125,234.0,430.0
11,11,11,11,0.9261393027893018,-0.2903468767881448,3,21.77400079946425,700.0,184.0,785.384521484375,291.3287658691406,252.0,420.0
12,12,12,12,0.8020802044657046,-0.2863065950983856,3,21.31652800577344,701.0,184.0,785.8250732421875,291.6411437988281,302.0,418.0
13,13,13,13,0.8731985897957257,-0.3098524012441032,3,21.61065512533169,701.0,184.0,785.7821655273438,291.2301940917969,276.0,432.0
14,14,14,14,0.9232319298272624,-0.3177819633898141,3,21.32899393840772,701.0,184.0,786.0966796875,291.8367004394531,258.0,437.0
15,15,15,15,0.8909624068987722,-0.2563130096374771,3,21.31446981939405,701.0,184.0,786.1280517578125,291.9592590332031,262.0,399.0
16,16,16,16,0.8436337732703201,-0.2789389599426814,3,21.125737886571976,701.0,184.0,785.7850341796875,291.8164367675781,283.0,413.0
17,17,17,17,0.8701426124448598,-0.2816702979566666,3,21.166676759724663,701.0,184.0,785.601318359375,292.0299072265625,273.0,416.0
18,18,18,18,0.819868256334671,-0.2938127146307739,3,20.88089690742179,701.0,184.0,785.3441162109375,292.17999267578125,295.0,423.0
19,19,19,19,1.0007520217856156,-0.3152365140199163,3,21.135531726195275,701.0,184.0,784.8138427734375,292.4193115234375,230.0,436.0
20,20,20,20,1.0334087683366031,-0.2746177147579188,3,20.221699386739694,700.0,184.0,784.1302490234375,292.5863037109375,213.0,412.0
21,21,21,21,0.9612405649048732,-0.2702770284971986,3,21.28839780127193,699.0,185.0,783.6166381835938,293.2937927246094,235.0,410.0
22,22,22,22,0.9366920786087408,-0.2825661853473692,3,20.932898801710845,699.0,185.0,782.9366455078125,293.48846435546875,245.0,417.0
23,23,23,23,0.8783797696964748,-0.3384172007801841,3,21.221079899619525,699.0,185.0,782.2467651367188,293.3932800292969,275.0,451.0
24,24,24,24,0.8259104362158426,-0.3030783846953776,3,21.22376444037384,698.0,184.0,781.99169921875,293.94757080078125,290.0,429.0
25,25,25,25,0.8722579612987096,-0.3331745018582541,3,20.3874204053857,698.0,184.0,781.2908935546875,294.0929260253906,276.0,448.0
26,26,26,26,0.9892788574934454,-0.3695444939171391,3,20.393665488386567,697.0,184.0,780.5299072265625,294.5001525878906,239.0,470.0
27,27,27,27,0.8489670196693127,-0.3396193516962458,3,19.08210533978153,697.0,184.0,779.8472900390625,294.3511047363281,285.0,452.0
28,28,28,28,0.9590216190846192,-0.32974488300645,3,14.133990220823378,696.0,185.0,779.0941162109375,294.126220703125,241.0,446.0
29,29,29,29,0.8699455385241939,-0.38966946964265,3,21.638192717630183,696.0,186.0,778.5828857421875,294.8963623046875,285.0,483.0
30,30,30,30,0.8879841938517365,-0.4054830538794314,3,21.39437991910103,696.0,185.0,779.0386352539062,294.8125305175781,281.0,491.0
31,31,31,31,1.0889122412471628,-0.4275393540274678,3,21.20423649553853,696.0,186.0,779.017578125,294.9385070800781,221.0,505.0
32,32,32,32,0.903124797281055,-0.3899701405297199,3,21.09545580284169,695.0,185.0,778.3182373046875,294.8440246582031,271.0,482.0
33,33,33,33,0.9520060538250236,-0.3647297649823849,3,21.07182187211125,695.0,186.0,777.4878540039062,294.4983215332031,249.0,468.0
34,34,34,34,0.9778826585567784,-0.3854587456431257,3,20.57201153597144,694.0,185.0,777.1630859375,294.1063232421875,243.0,480.0
35,35,35,35,0.9452605330999616,-0.3891464248045584,3,21.07478645362276,693.0,185.0,776.5856323242188,293.38348388671875,254.0,482.0
36,36,36,36,0.910718268497198,-0.3776381067859989,3,21.28569688603792,693.0,186.0,776.384765625,293.7090759277344,264.0,475.0
37,37,37,37,1.1089924758663603,-0.3800751654995306,3,21.383690637028728,692.0,186.0,776.2340698242188,293.5956420898437,202.0,476.0
38,38,38,38,1.0497778879767756,-0.4064718855921779,3,21.349295788986108,692.0,185.0,776.0577392578125,292.9505920410156,224.0,491.0
39,39,39,39,1.0123495557006927,-0.4072348812444856,3,21.195985486299914,692.0,185.0,775.7420654296875,292.6784973144531,235.0,491.0
40,40,40,40,1.0195741791058597,-0.388425507097474,3,21.139366570570328,692.0,185.0,775.6104125976562,292.6212463378906,228.0,480.0
41,41,41,41,1.021433598178953,-0.3895917053388196,3,21.3783500005097,692.0,185.0,775.51513671875,292.6011657714844,228.0,481.0
42,42,42,42,0.9494954918654058,-0.3706387868090528,3,21.08071811986088,693.0,186.0,775.614990234375,292.3885803222656,249.0,471.0
43,43,43,43,1.0826548779499126,-0.3986579046377764,3,21.02070845779123,693.0,185.0,776.0548095703125,292.7787475585937,213.0,486.0
44,44,44,44,1.0209022975414823,-0.3579139368045452,3,21.065472005142936,693.0,186.0,776.0894165039062,293.0235290527344,223.0,463.0
45,45,45,45,0.9928256554332128,-0.3397138939149436,3,21.489525000128086,694.0,186.0,776.3727416992188,293.0951843261719,230.0,452.0
46,46,46,46,0.9946118375763292,-0.3954621113296813,3,21.311653997804967,694.0,186.0,776.6195068359375,293.5231018066406,240.0,486.0
47,47,47,47,0.9747510474309542,-0.3973870441655906,3,21.402895355898128,694.0,186.0,776.723388671875,293.42071533203125,247.0,487.0
48,48,48,48,0.9653197287465476,-0.4111534564724282,3,21.465549624610407,694.0,186.0,776.9249267578125,293.878662109375,253.0,495.0
49,49,49,49,1.0426946784254918,-0.4026941915859005,3,21.18378149053516,694.0,186.0,777.40185546875,294.1875915527344,226.0,491.0
50,50,50,50,1.1201836113990913,-0.4306541872384244,3,21.35625289592,695.0,186.0,777.840087890625,294.7732238769531,212.0,507.0
51,51,51,51,1.009200367711674,-0.3716388037983775,3,21.38270950375725,694.0,185.0,780.0158081054688,295.84356689453125,232.0,472.0
52,52,52,52,1.1756743011364184,-0.3955590503933602,3,21.121057084155822,695.0,187.0,777.9312744140625,294.7123413085937,191.0,487.0
53,53,53,53,1.0629733185459,-0.4096548957270406,3,21.557119141478257,694.0,185.0,780.2115478515625,295.8998413085937,224.0,495.0
54,54,54,54,1.0073710423588986,-0.3865415869423519,3,20.96093472796238,694.0,185.0,780.4802856445312,296.1419677734375,236.0,481.0
55,55,55,55,0.9857608216934508,-0.366546040845819,3,20.83929467528532,694.0,185.0,780.9639892578125,296.1444702148437,239.0,469.0
56,56,56,56,1.010843538104253,-0.3925712499664003,3,21.35625289592,694.0,185.0,780.57373046875,295.8685607910156,236.0,485.0
57,57,57,57,0.9975104221067712,-0.4139766735440212,3,20.029339853300733,694.0,185.0,780.6047973632812,295.6937255859375,245.0,497.0
58,58,58,58,1.0909253247151538,-0.4124453559172256,3,18.17068986431456,694.0,185.0,780.95849609375,296.1745300292969,217.0,497.0
59,59,59,59,0.9637809542686998,-0.3560113745217926,3,20.921100148641774,695.0,184.0,780.707763671875,296.0928649902344,244.0,463.0
60,60,60,60,1.0314617312636465,-0.379452784752779,3,20.742214815217768,694.0,183.0,781.007080078125,297.9203491210937,227.0,477.0
61,61,61,61,0.984457470655966,-0.3663007637094227,3,20.489704596415294,695.0,183.0,780.9666748046875,297.4239807128906,239.0,469.0
62,62,62,62,0.9770560133544178,-0.3590553676477531,3,17.94984336751288,695.0,183.0,780.6680297851562,297.44854736328125,240.0,465.0
63,63,63,63,0.8662139172047748,-0.329442880538835,3,21.23612208113089,695.0,183.0,779.9981689453125,297.0950927734375,276.0,447.0
64,64,64,64,0.8341063144705615,-0.1991892695197135,3,21.35255636839399,696.0,183.0,780.2672119140625,296.8918151855469,273.0,366.0
65,65,65,65,0.8043612019393575,-0.1434298668283975,3,20.27027000903736,696.0,183.0,780.6915893554688,297.0898742675781,282.0,331.0
66,66,66,66,0.8470466142072566,-0.1723707047103976,3,21.503737503204302,696.0,183.0,780.78125,296.85943603515625,266.0,349.0
67,67,67,67,0.8984983538353694,-0.2063430528398844,3,21.401148047044416,696.0,183.0,780.8299560546875,296.7800598144531,248.0,370.0
68,68,68,68,0.9363424055576134,-0.2163080690067429,3,21.36756787047933,695.0,183.0,780.4112548828125,297.1045227050781,234.0,377.0
69,69,69,69,0.9541746659006748,-0.1605577210631331,3,21.140645161290323,696.0,183.0,781.0941162109375,297.0213317871094,223.0,342.0
70,70,70,70,0.9430391904347266,-0.1862764003422463,3,21.220972532115013,696.0,183.0,781.3115844726562,297.086669921875,229.0,359.0
71,71,71,71,0.9326792274782092,-0.1767958131776733,3,21.347013975834937,696.0,183.0,781.1937866210938,297.0728759765625,232.0,353.0
72,72,72,72,0.9173324953805188,-0.1940134159411445,3,21.24709481981297,696.0,183.0,781.9113159179688,297.2472229003906,239.0,363.0
73,73,73,73,0.9367522660493766,-0.2715380352733512,3,21.184637452774915,697.0,183.0,781.6971435546875,296.70489501953125,242.0,411.0
74,74,74,74,0.8712337095434651,-0.2285048141670878,3,21.05246673459452,697.0,184.0,782.0252075195312,296.94793701171875,262.0,385.0
75,75,75,75,0.8629992154529402,-0.2755431632367213,3,21.3719229769736,697.0,184.0,781.8689575195312,296.5861511230469,271.0,414.0
76,76,76,76,0.9381578824727204,-0.3243365354647171,3,21.351034640739137,698.0,185.0,782.1724853515625,296.4559020996094,251.0,444.0
77,77,77,77,0.955288932500764,-0.3321563753735168,3,21.252047020672883,698.0,185.0,781.926513671875,296.5303649902344,245.0,449.0
78,78,78,78,0.9887624705580792,-0.3678126402602607,3,21.217322683285868,699.0,187.0,779.5465087890625,296.0680236816406,240.0,471.0
79,79,79,79,1.0177296737348709,-0.3403820810324445,3,21.39448904848862,698.0,185.0,782.2596435546875,296.90899658203125,227.0,454.0
80,80,80,80,1.0362753949339647,-0.3550792681402648,3,21.297910478076524,699.0,188.0,779.9022216796875,296.22125244140625,223.0,465.0
81,81,81,81,1.0568461838259549,-0.3214792299311711,3,21.34614484197669,700.0,188.0,779.9313354492188,296.0304870605469,210.0,444.0
82,82,82,82,1.0962708216551609,-0.3250097825882891,3,21.292504505419195,699.0,189.0,780.4088745117188,296.5163879394531,200.0,446.0
83,83,83,83,1.08968881902103,-0.3059692460586586,3,20.961144233604365,698.0,186.0,783.0578002929688,296.7007751464844,199.0,434.0
84,84,84,84,1.0807046450836475,-0.2778720976099956,3,21.22129463788794,699.0,189.0,780.8279418945312,296.9061584472656,196.0,418.0
85,85,85,85,0.9647679217686832,-0.2975624454456055,3,21.323572176636265,698.0,185.0,783.85888671875,296.8475341796875,237.0,428.0
86,86,86,86,0.9616514906610724,-0.2996623479651329,3,21.312412030426675,698.0,185.0,784.5086059570312,296.7622985839844,240.0,429.0
87,87,87,87,0.9164403364153424,-0.3437800082672766,3,21.3420174224538,699.0,185.0,785.338134765625,296.6354675292969,264.0,456.0
88,88,88,88,1.0249993045624604,-0.3372070603808521,3,21.193629234376264,699.0,186.0,786.1138305664062,296.09783935546875,226.0,453.0
89,89,89,89,1.0331296690543632,-0.3400342721940801,3,21.46906559516802,700.0,189.0,783.5983276367188,297.2355041503906,223.0,456.0
90,90,90,90,1.0194854958415602,-0.3361106369600664,3,20.99608541994133,700.0,189.0,783.7601318359375,296.8392944335937,226.0,453.0
91,91,91,91,1.0282688674327505,-0.3803521342528987,3,21.85113754174285,700.0,189.0,783.84716796875,296.8094787597656,232.0,480.0
92,92,92,92,1.0851276230220512,-0.3889485519355655,3,21.744763800754843,700.0,189.0,784.2916259765625,296.9678039550781,218.0,485.0
93,93,93,93,1.0716355163074918,-0.4056138150889544,3,21.09047025222253,700.0,189.0,784.5868530273438,297.1040954589844,226.0,496.0
94,94,94,94,1.1866060447789757,-0.4419808776706405,3,12.17017276098399,701.0,189.0,784.4954833984375,296.8709411621094,206.0,516.0
95,95,95,95,1.1023100720591337,-0.4215424478848273,3,21.96039666167524,701.0,189.0,784.331787109375,296.8793029785156,221.0,504.0
96,96,96,96,1.038130020317096,-0.4256897886504077,3,21.60141732932306,701.0,188.0,784.1282958984375,296.4855041503906,240.0,506.0
97,97,97,97,1.0794231319671015,-0.4121540060939709,3,16.515738822954976,701.0,189.0,784.174072265625,296.1887512207031,225.0,498.0
98,98,98,98,1.1518842831187406,-0.4348995323321197,3,22.660766866028062,702.0,188.0,784.34619140625,296.0194091796875,213.0,512.0
99,99,99,99,0.9063632011665916,-0.4052585493995378,3,22.148373844212216,701.0,188.0,784.5256958007812,296.0289611816406,279.0,494.0
100,100,100,100,1.006168891442837,-0.4009381031631022,3,21.399728568658865,702.0,188.0,784.6902465820312,295.68804931640625,245.0,491.0
101,101,101,101,1.0115247747110954,-0.4083550067989729,3,16.73778178611192,702.0,188.0,785.0947265625,295.72564697265625,245.0,495.0
102,102,102,102,0.9664254732311484,-0.4151372791470777,3,16.874548395143186,702.0,188.0,785.38671875,295.3575744628906,261.0,499.0
103,103,103,103,1.0570656282997772,-0.4140051693676851,3,15.500072062350563,702.0,188.0,785.5175170898438,295.5107727050781,233.0,498.0
104,104,104,104,1.0320068803387858,-0.3991596441871474,3,21.783726232581813,702.0,188.0,785.09521484375,295.15460205078125,237.0,490.0
