,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,1.7778661562962637,-0.6523583532458859,0,21.14277648956548,882.0,309.0,964.62060546875,429.8490905761719,425.0,758.0
1,1,1.7295036835326427,-0.7570418893747206,0,18.197020312893176,883.0,308.0,965.7999267578124,426.9361267089844,465.0,807.0
2,2,1.7251227835394622,-0.7599876118564572,0,17.177872702922976,883.0,308.0,965.83544921875,427.32421875,466.0,808.0
3,3,1.6995873297433466,-0.8161094707721331,0,8.029051036484166,885.0,306.0,967.8466186523438,425.85260009765625,491.0,831.0
4,4,1.794770837631651,-0.864942257784262,0,20.811479720945925,886.0,305.0,969.31884765625,424.4111328125,522.0,851.0
5,5,1.7532676025716376,-0.953070519312728,0,19.04666412366265,885.0,304.0,970.1312866210938,424.09716796875,562.0,886.0
6,6,1.717890170651025,-0.92361236238898,0,14.47809458060062,885.0,304.0,970.0474853515624,424.283203125,545.0,875.0
7,7,1.8108446127069329,-0.889813252888403,0,16.41394262189228,885.0,306.0,968.726318359375,423.87548828125,535.0,861.0
8,8,1.812416943014516,-0.8823404228696405,0,19.39822681423173,885.0,306.0,968.7645263671876,423.6499328613281,531.0,858.0
9,9,1.771902805983358,-0.9363072518312244,0,21.92824952685676,884.0,306.0,967.9154052734376,425.0276489257813,553.0,880.0
10,10,1.9277920056555824,-0.9449257737509388,0,21.34017146200616,884.0,307.0,966.8616943359376,424.5912780761719,574.0,884.0
11,11,1.849695339321227,-0.9241129035158606,0,21.02956158998837,881.0,306.0,964.00390625,423.7247924804688,551.0,875.0
12,12,1.7686819789610164,-0.9000973157538529,0,20.800126953899863,880.0,305.0,963.046142578125,424.2302856445313,531.0,865.0
13,13,1.8070517386824416,-0.8959582307876518,0,20.7007541359024,880.0,305.0,962.521484375,424.36468505859375,532.0,864.0
14,14,1.8078496217450295,-0.963623295132167,0,20.874765462083243,880.0,304.0,962.2955932617188,424.7890930175781,566.0,890.0
15,15,1.692810650033531,-0.8855013287674557,0,20.057979331353504,879.0,304.0,962.2685546875,424.91998291015625,518.0,860.0
16,16,1.7682484163355516,-0.898086096498625,0,21.13116595881888,878.0,303.0,961.1248779296876,424.9278564453125,528.0,864.0
17,17,1.7275798159611693,-0.8355604004257449,0,20.696668245697143,876.0,303.0,961.008544921875,425.604248046875,494.0,839.0
18,18,1.6478650129484815,-0.92304058170294,0,21.095668006216584,875.0,302.0,959.7321166992188,426.0860595703125,532.0,874.0
19,19,1.726149698455797,-0.8918604248183469,0,21.15642717349636,872.0,302.0,956.0625,425.109619140625,517.0,861.0
20,20,1.7117899338580895,-0.877013568057264,0,16.446638564846584,872.0,302.0,955.7529296875,424.893310546875,508.0,855.0
21,21,1.6634711369363455,-0.9023412952883536,0,17.621275076147462,870.0,302.0,953.8531494140624,424.6673278808594,516.0,865.0
22,22,1.6929033280394656,-0.8932817538921222,0,16.39559219604486,868.0,301.0,951.60498046875,422.7111206054688,511.0,860.0
23,23,1.691032723689794,-0.8640040261322272,0,22.00879448403245,864.0,302.0,948.8797607421876,423.63818359375,493.0,849.0
24,24,1.6566891309043503,-0.8740822266454139,0,14.778927636423855,862.0,302.0,946.9418334960938,424.6457824707031,495.0,854.0
