,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,42.0,42.0,4,28.274745350240323,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,1,1,-1.1788802144566557,-0.7612526133742449,4,22.5172141664564,552.0,227.0,718.6434936523438,352.7306213378906,991.0,656.0
2,2,2,2,-1.1864613019737298,-0.6809484528123225,4,22.348286169470214,552.0,225.0,720.3665771484375,352.7738342285156,1019.0,623.0
3,3,3,3,-1.178670490520812,-0.8121458881217681,4,21.40125724548943,550.0,225.0,719.4171142578125,350.6527099609375,972.0,673.0
4,4,4,4,42.0,42.0,4,27.82734232979048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,5,5,5,42.0,42.0,4,27.687916295342774,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,6,6,6,42.0,42.0,4,27.62263653905679,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,7,7,7,42.0,42.0,4,26.083331260416408,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,8,8,8,42.0,42.0,4,28.49430019429612,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,9,9,9,42.0,42.0,4,28.440779793185285,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,10,10,10,42.0,42.0,4,29.213737959087016,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,11,11,11,42.0,42.0,4,26.906053744058195,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,12,12,12,42.0,42.0,4,27.275945712186143,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,13,13,13,42.0,42.0,4,27.82734232979048,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,14,14,14,42.0,42.0,4,28.36077922253552,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,15,15,15,42.0,42.0,4,28.81890889102652,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,16,16,16,42.0,42.0,4,28.441165501481628,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,17,17,17,42.0,42.0,4,27.654873208233884,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,18,18,18,42.0,42.0,4,27.895449527128587,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,19,19,19,42.0,42.0,4,28.342764469371897,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,20,20,20,-0.4488462406447557,-0.7992279589382297,4,20.185691047520045,543.0,229.0,697.4320068359375,352.078857421875,781.0,671.0
21,21,21,21,-1.263108276568701,-0.946481059827545,4,20.704637226154865,546.0,231.0,698.3250122070312,355.4189758300781,918.0,725.0
22,22,22,22,42.0,42.0,4,25.924851811332186,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,23,23,23,42.0,42.0,4,26.8208873143968,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,24,24,24,-1.5855566308205518,-0.8344796896553907,4,22.013646001721497,542.0,223.0,704.39208984375,356.12322998046875,980.0,683.0
25,25,25,25,-1.3227674792022743,-0.8258284108542682,4,20.734319386221625,540.0,223.0,702.7705688476562,357.9292297363281,971.0,681.0
