,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,42.0,42.0,4,27.1841961994141,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,1,1,-2.4398038999831644,-0.8520871792024495,4,18.64325686625744,299.0,255.0,435.0376586914063,359.4557800292969,593.0,707.0
2,2,2,2,-1.8451884718084857,-0.9598405411198184,4,21.736762731979333,291.0,255.0,435.1103820800781,359.1600036621094,657.0,743.0
3,3,3,3,0.4658473284116035,-1.0514358389134042,4,21.245050018994554,300.0,258.0,435.7847900390625,364.1383056640625,248.0,773.0
4,4,4,4,42.0,42.0,4,27.893408880819848,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,5,5,5,-0.8173374543507687,-0.7780867209407447,4,19.691013398683605,301.0,263.0,433.2194519042969,367.5273742675781,643.0,688.0
6,6,6,6,-1.2498818201728767,-0.7940829980283057,4,19.22863639697792,303.0,260.0,436.2574157714844,363.1932067871094,723.0,690.0
7,7,7,7,-1.7294642687485091,-0.8177118948000337,4,21.058808762319817,306.0,262.0,437.4894409179688,364.8508605957031,730.0,701.0
8,8,8,8,42.0,42.0,4,26.17285059967302,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,9,9,9,42.0,42.0,4,27.68864742112872,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,10,10,10,42.0,42.0,4,27.716092538871745,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,11,11,11,42.0,42.0,4,27.74524382822216,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,12,12,12,42.0,42.0,4,28.461043631675373,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,13,13,13,42.0,42.0,4,24.78668683812405,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,14,14,14,42.0,42.0,4,27.970977379428085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,15,15,15,42.0,42.0,4,27.56074225937024,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,16,16,16,42.0,42.0,4,27.402289238488475,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,17,17,17,42.0,42.0,4,24.2739973378089,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,18,18,18,42.0,42.0,4,28.721224364022323,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,19,19,19,42.0,42.0,4,28.408225190322668,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,20,20,20,42.0,42.0,4,27.32801667969768,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,21,21,21,42.0,42.0,4,27.5734251942622,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,22,22,22,42.0,42.0,4,28.46606580519057,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,23,23,23,42.0,42.0,4,27.53794235440877,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,24,24,24,42.0,42.0,4,26.64403506543006,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25,25,25,25,42.0,42.0,4,27.10636895337189,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
26,26,26,26,42.0,42.0,4,27.692120795975228,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
27,27,27,27,42.0,42.0,1,28.084851082065565,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
28,28,28,28,42.0,42.0,1,25.49171002090728,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29,29,29,29,42.0,42.0,1,28.24371060712169,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
30,30,30,30,-1.029788866624913,-1.0134033685440371,1,21.553242001623826,323.0,269.0,447.7063903808594,365.89739990234375,626.0,768.0
31,31,31,31,-0.9608059370149724,-1.1524014690024338,1,21.4872131147541,323.0,268.0,449.6556396484375,368.0441589355469,563.0,804.0
32,32,32,32,-1.2656835533428077,-1.0416599071839414,1,21.11712256005156,320.0,264.0,451.844482421875,368.9786376953125,641.0,775.0
