,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,-0.8920268723864768,-0.4186108401568681,0,21.586408856270875,522.0,327.0,616.1455688476562,470.5982055664063,1024.0,658.0
1,1,1,1,-0.8912859809712168,-0.3384193313090561,0,18.968794659816567,522.0,327.0,614.4246215820312,468.8858337402344,1038.0,609.0
2,2,2,2,-0.8628663237145452,-0.290923451164147,0,21.75310921406122,520.0,326.0,614.3434448242188,469.5036010742188,1033.0,581.0
3,3,3,3,-0.8445664122840657,-0.2763522315758874,0,21.62703544431725,521.0,328.0,615.7837524414062,472.3478088378906,1028.0,575.0
4,4,4,4,-0.844169068649426,-0.3721075201502314,0,16.575328498883596,518.0,331.0,613.470703125,473.0672912597656,1011.0,635.0
5,5,5,5,-0.9033961733961342,-0.2833552799783598,0,21.88088977922457,517.0,333.0,614.4104614257812,478.3961486816406,1048.0,584.0
6,6,6,6,-0.8567855279975672,-0.3456807063372661,0,21.434943477994235,520.0,337.0,614.226318359375,480.0370178222656,1022.0,625.0
7,7,7,7,-0.8899698467604996,-0.4547805625017793,0,19.139400853316296,521.0,341.0,614.0906982421875,481.2501831054688,1014.0,692.0
8,8,8,8,-0.8904337694223915,-0.4579766221259833,0,21.756720025728544,522.0,341.0,613.9464111328125,480.9795227050781,1013.0,693.0
9,9,9,9,-0.9515274837771364,-0.5674056450012303,0,21.71526792648201,522.0,343.0,613.18798828125,479.3329772949219,1006.0,755.0
10,10,10,10,-1.0545289673614768,-0.5945230164848531,0,21.2627128525152,522.0,345.0,612.7274780273438,482.86181640625,1028.0,771.0
11,11,11,11,-0.8958804664838215,-0.5903442504184098,0,19.989057808702285,523.0,350.0,613.2601928710938,488.2789306640625,983.0,775.0
12,12,12,12,-1.0745596671843989,-0.5147786523840654,0,21.414697157678148,528.0,357.0,612.2872314453125,493.4020385742188,1060.0,740.0
13,13,13,13,42.0,42.0,0,27.895635055235207,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,14,14,14,-1.280981949066713,-0.6077698460630162,0,21.88488570489374,519.0,366.0,612.5807495117188,504.8338012695313,1068.0,800.0
15,15,15,15,-1.7221971679239556,-0.4864426183856223,0,21.26217391745156,523.0,384.0,623.0559692382812,511.2021179199219,1132.0,746.0
16,16,16,16,42.0,42.0,0,27.23556340543244,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,17,17,17,42.0,42.0,0,28.1074358012116,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,18,18,18,42.0,42.0,0,27.23910092803657,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,19,19,19,42.0,42.0,0,27.43150142902924,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,20,20,20,42.0,42.0,0,26.46298668113592,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
21,21,21,21,42.0,42.0,0,27.92070402471009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
22,22,22,22,42.0,42.0,0,28.14232516321232,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,23,23,23,42.0,42.0,0,27.94525951096009,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,24,24,24,42.0,42.0,0,27.776111891075733,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
