,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,-1.854678912669092,-0.6173100880360071,0,28.5319038937716,316.0,104.0,387.3408508300781,193.12820434570312,684.0,395.0
1,1,1,1,-1.6837995781691388,-0.5817052221583018,0,24.49600523291128,316.0,105.0,387.2763671875,193.22694396972656,705.0,383.0
2,2,2,2,-1.8005905104037463,-0.5855630773133905,0,31.45547131039965,316.0,105.0,387.1221008300781,193.74398803710932,697.0,384.0
3,3,3,3,-1.726021600407364,-0.640968812211944,0,27.920889888897023,317.0,106.0,387.18304443359375,193.48834228515625,689.0,404.0
4,4,4,4,-1.5634928738214633,-0.7468012360350389,0,34.883348026414275,317.0,106.0,387.7624816894531,193.48814392089844,665.0,438.0
5,5,5,5,-1.3955486091588865,-0.759782015820303,0,25.5300354862468,317.0,107.0,388.2064514160156,193.39382934570312,656.0,443.0
6,6,6,6,-1.4660265042467435,-0.8262340102882872,0,25.58610129995303,317.0,107.0,388.16790771484375,194.3772125244141,639.0,463.0
7,7,7,7,-1.444580467462499,-0.8870946980476501,0,35.4269593641516,318.0,107.0,388.3690490722656,194.36746215820312,620.0,480.0
8,8,8,8,-1.6716988399660917,-0.8248395791415218,0,32.46918205886451,317.0,105.0,388.8339538574219,197.1712188720703,640.0,464.0
9,9,9,9,-1.7447120644117036,-0.7983853347693287,0,27.79083512231322,318.0,104.0,389.8777770996094,196.8772430419922,646.0,455.0
10,10,10,10,-2.0026947428946063,-0.7929442303461879,0,22.521204050730784,317.0,104.0,389.6823425292969,196.9615478515625,624.0,453.0
11,11,11,11,-1.737861082507475,-0.7862176180648657,0,33.377398279525394,318.0,103.0,389.8963623046875,196.73501586914065,650.0,450.0
12,12,12,12,-2.1369705261080743,-0.7525099881477328,0,33.4767659031048,317.0,103.0,390.2763977050781,197.21197509765625,615.0,441.0
13,13,13,13,-2.04160046378541,-0.6821173142147583,0,33.93477293505611,318.0,103.0,390.2911071777344,196.24952697753903,649.0,418.0
14,14,14,14,-1.8955168900888035,-0.6671157277943419,0,34.59276854051201,317.0,102.0,389.7149658203125,196.1482696533203,670.0,413.0
15,15,15,15,-1.887319946569648,-0.7098101948099473,0,21.195449928494543,317.0,102.0,389.78948974609375,196.4065399169922,660.0,427.0
16,16,16,16,-2.044036057760342,-0.7813746596225566,0,26.612253185117503,317.0,102.0,389.3128967285156,196.4125213623047,622.0,449.0
17,17,17,17,-1.5511154331811563,-0.7384785913124323,0,24.094117647058823,317.0,102.0,388.760009765625,196.9131622314453,667.0,436.0
18,18,18,18,-1.342671279399254,-0.7561859494003691,0,26.536318716428674,317.0,105.0,388.0830993652344,194.5017852783203,654.0,441.0
19,19,19,19,-1.2732389413553622,-0.8130897124120923,0,30.90751261928448,317.0,104.0,387.32318115234375,193.84552001953125,632.0,457.0
20,20,20,20,-1.8638312652293128,-0.7813613438171062,0,33.9421875505778,317.0,104.0,386.76947021484375,193.513900756836,641.0,448.0
21,21,21,21,-1.6348372283699777,-0.7492305715814092,0,33.59447661612642,317.0,104.0,386.340576171875,193.5511474609375,662.0,438.0
22,22,22,22,-1.8851701097796816,-0.7631530451281253,0,32.034216234381205,316.0,104.0,386.3546752929688,193.2938537597656,644.0,442.0
23,23,23,23,-1.6774757690026911,-0.7156694155242306,0,28.656468417996106,316.0,104.0,386.15234375,193.9743804931641,671.0,428.0
24,24,24,24,-1.738799447317564,-0.7042915923990851,0,28.432104121475053,316.0,104.0,386.9358825683594,193.1550445556641,671.0,424.0
25,25,25,25,-1.2649674293256852,-0.7442339487442026,0,36.74604662572387,316.0,104.0,386.7388916015625,193.52545166015625,650.0,437.0
26,26,26,26,-1.8591032221880408,-0.7355493804294541,0,33.64378990599031,316.0,104.0,386.4886779785156,192.93048095703125,654.0,434.0
27,27,27,27,-1.7110421182239952,-0.7173048627496483,0,33.90816194541456,316.0,103.0,386.2433471679688,191.6004943847656,669.0,427.0
28,28,28,28,-1.6671947687724948,-0.7190399121998349,0,35.84323779247637,316.0,103.0,386.0764770507813,191.93788146972656,670.0,428.0
29,29,29,29,-1.709363394630864,-0.7442597814067763,0,29.373522326180737,315.0,102.0,386.9162902832031,192.04493713378903,660.0,436.0
30,30,30,30,-1.3445394869039446,-0.7398189602890691,0,34.18842209941149,315.0,101.0,387.0870361328125,191.03024291992188,658.0,433.0
31,31,31,31,-1.217761301107377,-0.7200292765447993,0,35.78971440273737,315.0,103.0,387.4069519042969,189.95103454589844,652.0,427.0
32,32,32,32,-1.3294560082800082,-0.7279018470431825,0,31.700581966593607,315.0,103.0,387.1900024414063,189.86932373046875,660.0,429.0
33,33,33,33,-1.322353091336658,-0.6839093553122727,0,24.23192558784448,315.0,103.0,387.5167846679688,190.0668182373047,671.0,415.0
34,34,34,34,-1.5977160917256357,-0.7639392102819168,0,36.03106315717133,315.0,102.0,386.9342041015625,189.6249084472656,658.0,440.0
35,35,35,35,-1.605285860808077,-0.7655685322368272,0,28.794178423094085,315.0,102.0,386.9308776855469,189.09864807128903,657.0,440.0
36,36,36,36,-1.4975287704651814,-0.6958712096644726,0,29.89589228565116,315.0,102.0,386.7931518554688,190.224838256836,676.0,419.0
37,37,37,37,-1.6177281494209268,-0.7512300729278406,0,31.660142362185702,315.0,102.0,386.443603515625,190.10525512695312,661.0,437.0
38,38,38,38,-1.6575545251005712,-0.6487609552454069,0,28.88997258613327,315.0,101.0,387.1931762695313,190.00001525878903,689.0,402.0
39,39,39,39,-1.4478469676975354,-0.5831425301986175,0,26.98186543496581,315.0,100.0,387.668701171875,189.481689453125,704.0,379.0
40,40,40,40,-1.397659963271101,-0.7158252104480002,0,32.275297412930726,315.0,100.0,386.9001159667969,188.9061584472656,667.0,424.0
41,41,41,41,-1.4543894223894789,-0.6833881746869441,0,31.64748136299158,315.0,100.0,387.2578125,189.9294891357422,679.0,413.0
42,42,42,42,-1.3362000642664704,-0.7697062856224833,0,29.1202354999514,314.0,100.0,386.7698059082031,189.94081115722656,648.0,440.0
43,43,43,43,-1.5930181424046812,-0.7216535384936387,0,12.86521337713446,314.0,100.0,387.0390319824219,189.90562438964844,670.0,425.0
44,44,44,44,-1.427918400102418,-0.8242789837320601,0,34.43768986978012,314.0,100.0,386.27239990234375,189.35797119140625,636.0,457.0
45,45,45,45,-1.4222366790747885,-0.8729133652429782,0,32.116388584730124,314.0,100.0,385.57171630859375,189.2831115722656,620.0,470.0
46,46,46,46,-1.3140735898237106,-0.8441080822604631,0,24.31706129264164,313.0,99.0,386.4465637207031,189.439682006836,623.0,462.0
47,47,47,47,-1.323100374338534,-0.8178698202526754,0,22.547718243835305,313.0,99.0,386.1051025390625,189.6788330078125,631.0,455.0
48,48,48,48,-1.3219380376807692,-0.7897183433177748,0,26.504960630916425,313.0,100.0,385.5025024414063,188.7685546875,640.0,447.0
49,49,49,49,-1.2509197872077351,-0.8600391119013171,0,33.666744258847515,313.0,99.0,385.7767333984375,188.61294555664065,613.0,466.0
50,50,50,50,-1.267386911176022,-0.8349033985848223,0,31.366552247623748,313.0,99.0,385.9226989746094,188.45518493652344,622.0,459.0
51,51,51,51,-1.2696173085889635,-0.8685335305142339,0,35.98839943026788,313.0,99.0,385.7788696289063,188.65196228027344,612.0,468.0
52,52,52,52,-1.3401524616402571,-0.8748332380728162,0,35.36274113044652,312.0,99.0,385.4612426757813,188.782455444336,614.0,470.0
53,53,53,53,-1.3380035569566722,-0.8154865573931634,0,29.64821975132361,312.0,99.0,385.1879577636719,189.2419586181641,632.0,454.0
54,54,54,54,-1.3548256802982668,-0.7858232039074249,0,28.65588106689987,312.0,98.0,385.1398010253906,189.4883270263672,642.0,444.0
55,55,55,55,-1.4625536090272255,-0.7534093376478525,0,28.842095129381185,312.0,99.0,385.2349243164063,189.51890563964844,657.0,435.0
56,56,56,56,-1.3894904503111742,-0.7983035757238632,0,34.39448284910658,312.0,99.0,384.869873046875,188.7945098876953,640.0,448.0
57,57,57,57,-1.4056981823892871,-0.7511456507212851,0,26.971281589608385,311.0,99.0,384.83306884765625,188.66932678222656,654.0,434.0
58,58,58,58,-1.39415977065041,-0.7707324015904908,0,22.299689507039258,311.0,98.0,384.72406005859375,188.97201538085932,648.0,440.0
59,59,59,59,-1.3852677420867443,-0.7468800656033052,0,23.645067818204367,310.0,99.0,384.6500244140625,189.14523315429688,654.0,433.0
