,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,0.3082406561523872,-1.235382639092104,1,22.0121441129392,563.0,53.0,663.6309814453125,173.9638214111328,560.0,615.0
1,1,1,1,0.2317759749340321,-1.2348928837676385,1,22.011104463826527,563.0,52.0,663.5189208984375,174.31227111816406,573.0,615.0
2,2,2,2,0.3447949389587058,-1.1890802545897137,1,21.772757475083058,563.0,52.0,663.2650756835938,173.6245880126953,546.0,606.0
3,3,3,3,0.3049708269659879,-1.192967537674848,1,22.01491699077792,561.0,52.0,662.7586669921875,173.42599487304688,552.0,606.0
4,4,4,4,0.4226210281263094,-1.0573130359650458,1,21.54349992295444,560.0,51.0,662.5240478515625,173.8216094970703,504.0,575.0
5,5,5,5,0.2993550191753378,-1.0798760025104694,1,21.90934971453048,560.0,51.0,662.1185302734375,173.61846923828125,537.0,581.0
6,6,6,6,0.3660336486520877,-1.056147104039809,1,21.688206793490902,559.0,51.0,661.890869140625,173.25747680664062,516.0,575.0
7,7,7,7,0.3669329981522075,-1.0527680852487165,1,22.067850829194377,559.0,51.0,661.8226928710938,173.2257843017578,515.0,574.0
8,8,8,8,0.3957305579675613,-1.0429514071545751,1,22.272572311581005,559.0,50.0,661.5316772460938,173.40097045898438,507.0,571.0
9,9,9,9,0.3687817645809405,-1.0599662102010372,1,21.721115702907333,559.0,51.0,660.9388427734375,173.7976837158203,515.0,576.0
10,10,10,10,0.2845318645479568,-1.0559838522649871,1,21.846016021334,558.0,51.0,660.836669921875,174.08071899414062,535.0,575.0
11,11,11,11,0.3214528646363793,-1.0634865096879584,1,21.67890259156269,558.0,51.0,660.5451049804688,174.03842163085938,527.0,577.0
12,12,12,12,0.2752454218268505,-1.1164057842347594,1,21.78621552973442,559.0,51.0,660.79638671875,176.54525756835938,546.0,591.0
13,13,13,13,0.2736440630633858,-1.0963946586458495,1,21.484571569069377,559.0,51.0,660.4353637695312,176.54844665527344,543.0,586.0
14,14,14,14,0.329410123657427,-1.085273963723951,1,21.696172149803434,559.0,51.0,660.3334350585938,176.34910583496094,529.0,584.0
15,15,15,15,0.2867372282466514,-1.0803286067377285,1,21.67598966408269,559.0,52.0,660.1958618164062,176.55909729003906,538.0,583.0
16,16,16,16,0.3404473284791515,-1.0611029805123375,1,21.407811192094893,559.0,51.0,660.3720703125,176.3008270263672,522.0,577.0
17,17,17,17,0.3065143951337978,-1.0842988472908186,1,21.630716072303446,558.0,51.0,660.3302001953125,176.31283569335938,534.0,583.0
18,18,18,18,0.2429250325215398,-1.041072680163579,1,21.63852761369206,558.0,51.0,660.2735595703125,176.17649841308594,544.0,572.0
19,19,19,19,0.2804412491135951,-1.0419386069920182,1,21.784178789751685,558.0,51.0,660.0807495117188,176.18540954589844,535.0,572.0
20,20,20,20,0.2707036669038293,-1.0644861272031196,1,21.80524348463502,558.0,50.0,660.148193359375,175.85153198242188,540.0,577.0
21,21,21,21,0.2667853579919957,-1.021489790877954,1,21.76360645700261,558.0,50.0,659.864990234375,175.3122100830078,535.0,566.0
22,22,22,22,0.3053516590018693,-0.9895498341343608,1,21.79221480973461,559.0,50.0,660.36328125,175.33221435546875,521.0,557.0
23,23,23,23,0.3461488900569021,-0.9968880413600198,1,21.58241011840135,560.0,48.0,660.843505859375,175.0133056640625,512.0,558.0
24,24,24,24,0.2218716788400274,-1.014067294603794,1,21.85876736744457,560.0,48.0,660.4610595703125,174.43527221679688,548.0,563.0
25,25,25,25,0.2218716788400274,-1.014067294603794,1,21.6675913728529,560.0,48.0,660.4478759765625,174.44656372070312,548.0,563.0
26,26,26,26,0.2932931319020995,-0.9876284965659232,1,21.84738152535133,560.0,47.0,660.5784912109375,173.8390655517578,525.0,554.0
27,27,27,27,0.2822948092322903,-0.9971692711711324,1,21.74758248082836,560.0,46.0,661.607421875,173.75103759765625,530.0,556.0
28,28,28,28,0.3066235847384911,-0.9809861733331022,1,21.59218742760655,560.0,44.0,662.9969482421875,173.9148712158203,522.0,550.0
29,29,29,29,0.2402661324892047,-0.9683330955199722,1,21.79232803545543,559.0,45.0,663.7596435546875,175.07545471191406,539.0,548.0
30,30,30,30,0.2512814993899904,-0.9842618614738996,1,21.79391331909609,559.0,43.0,664.343505859375,175.7866668701172,538.0,552.0
31,31,31,31,0.2629874239614337,-0.9822309348266052,1,21.698641475855933,559.0,43.0,664.34619140625,175.80007934570312,534.0,551.0
32,32,32,32,0.3095999335727636,-0.9608847665832384,1,21.690449964058725,559.0,42.0,664.89111328125,175.8368377685547,518.0,544.0
33,33,33,33,0.380833367461876,-0.9787769480508268,1,21.561330187272848,559.0,42.0,665.097412109375,175.96058654785156,502.0,549.0
34,34,34,34,0.2562584148351305,-0.996385502862322,1,21.584187152318563,560.0,43.0,665.1800537109375,175.7225799560547,539.0,556.0
35,35,35,35,0.2706757037123835,-0.9772954315364158,1,21.3420174224538,560.0,44.0,665.1090087890625,175.27255249023438,532.0,550.0
36,36,36,36,0.2821595206489142,-0.9486534003287226,1,21.513885041906462,560.0,43.0,665.8469848632812,174.88409423828125,526.0,540.0
37,37,37,37,0.2230237623275957,-0.9466946453469692,1,21.39798177681186,561.0,43.0,665.84375,174.89291381835938,544.0,540.0
38,38,38,38,0.2892584428506294,-0.9517386724515794,1,21.47940042300188,561.0,43.0,665.7760009765625,174.2025909423828,525.0,541.0
39,39,39,39,0.2583503278713878,-0.9681418805537044,1,21.661660503646168,561.0,42.0,665.8800048828125,174.6141815185547,536.0,546.0
40,40,40,40,0.3806075314014374,-0.9270294643836609,1,21.460826852230863,561.0,43.0,665.846923828125,174.7345428466797,494.0,534.0
41,41,41,41,0.4189828837611521,-0.9381488277250142,1,21.53365609228921,561.0,43.0,666.1533203125,174.85092163085938,485.0,537.0
42,42,42,42,0.3029534824402529,-0.9424921771468244,1,21.74904848327716,561.0,42.0,666.3211669921875,174.80169677734375,520.0,538.0
43,43,43,43,0.314050075754286,-0.945267989951014,1,21.471923169464368,561.0,43.0,666.3478393554688,174.89231872558594,517.0,539.0
44,44,44,44,0.3893269871264658,-0.9216332342248876,1,17.755020488333503,561.0,41.0,666.8539428710938,174.778564453125,491.0,531.0
45,45,45,45,0.3500573452727024,-0.9395299430663292,1,20.60303472396194,562.0,41.0,667.0889282226562,174.516845703125,506.0,536.0
46,46,46,46,0.5200453197558061,-0.9366593217273328,1,21.071398428551333,562.0,40.0,667.354248046875,174.31890869140625,457.0,536.0
47,47,47,47,0.4395946853339294,-0.9666993793492632,1,21.120950726389204,563.0,41.0,667.7982177734375,174.5151824951172,486.0,545.0
48,48,48,48,0.4137266027176627,-0.9692223250079496,1,21.71526792648201,564.0,41.0,668.1161499023438,174.873291015625,495.0,546.0
49,49,49,49,0.4173181417637436,-0.9716774932168938,1,21.70796263230081,564.0,41.0,668.190673828125,174.9331512451172,494.0,546.0
50,50,50,50,0.5628465795311236,-1.1406719754553434,1,21.584076079125584,566.0,42.0,670.2413940429688,172.75010681152344,500.0,591.0
51,51,51,51,0.7750467225564194,-1.1207046588663654,1,21.68921616282798,567.0,43.0,671.5296020507812,174.0049591064453,457.0,587.0
52,52,52,52,0.7929383713917896,-1.2727699586873993,1,21.549255541055704,568.0,44.0,672.3740234375,175.5384979248047,509.0,618.0
53,53,53,53,0.8677886443573387,-1.2966035193888998,1,21.74070618481889,569.0,45.0,672.5158081054688,175.9040069580078,510.0,622.0
54,54,54,54,0.9148317871169342,-1.1760495405340106,1,21.69729450106048,569.0,46.0,673.7830810546875,176.19488525390625,459.0,602.0
55,55,55,55,0.91811599737322,-1.1716594526350692,1,21.71841633785897,569.0,46.0,673.7868041992188,176.1833953857422,457.0,601.0
56,56,56,56,0.7062119978611412,-1.2400439699480694,1,21.732482888335053,570.0,47.0,674.5657958984375,175.63511657714844,510.0,614.0
57,57,57,57,0.594286261463945,-1.1589560410773367,1,21.37845896642592,571.0,47.0,675.468505859375,175.67442321777344,504.0,599.0
58,58,58,58,0.4881353235744767,-1.1384249332855891,1,21.57241975219746,572.0,46.0,675.9550170898438,175.81234741210938,518.0,593.0
59,59,59,59,0.5748859318710449,-1.1609206550134883,1,21.652155508406768,572.0,46.0,676.8778686523438,175.54176330566406,509.0,598.0
60,60,60,60,0.3414960813164246,-1.1286074562431208,1,21.73586157218592,572.0,45.0,677.0806274414062,175.6412811279297,548.0,591.0
61,61,61,61,0.342143495777423,-1.1289960114461637,1,21.735185751374544,572.0,45.0,677.005859375,175.6121063232422,548.0,591.0
62,62,62,62,0.4309692391953808,-1.1666818713996567,1,21.56221693287614,572.0,46.0,677.1441040039062,175.06887817382812,537.0,599.0
63,63,63,63,0.3720049884482634,-1.167195861490042,1,21.676773836779624,573.0,46.0,677.154296875,174.70855712890625,549.0,599.0
64,64,64,64,0.3171033899440619,-1.117315386905076,1,21.549476972399763,573.0,46.0,677.6024169921875,174.5387725830078,552.0,588.0
65,65,65,65,0.5085625680837115,-1.0583756372399873,1,21.768689406049536,572.0,46.0,676.341552734375,174.11663818359375,497.0,574.0
66,66,66,66,0.383151915506899,-1.086293821263397,1,21.64232382701844,572.0,45.0,676.6641845703125,173.7686309814453,531.0,580.0
67,67,67,67,0.3832459250933788,-1.0889394054902817,1,21.715830075849752,572.0,45.0,676.78076171875,173.61300659179688,532.0,580.0
68,68,68,68,0.379552653293657,-1.0975640526805033,1,21.61744938770461,573.0,44.0,677.2169799804688,173.39894104003906,535.0,582.0
69,69,69,69,0.4401374375640876,-1.0059225490420045,1,21.62714696009529,573.0,44.0,677.30078125,173.06285095214844,504.0,557.0
70,70,70,70,0.4268173710559472,-1.008016858923243,1,21.70358181460668,570.0,43.0,677.6500854492188,173.3018035888672,505.0,558.0
71,71,71,71,0.4334054989605853,-0.9837830251099032,1,21.71279481498354,570.0,43.0,678.1546630859375,173.75462341308594,500.0,551.0
72,72,72,72,0.4123316389386793,-0.9984372021661188,1,21.802976509177483,570.0,43.0,678.6688232421875,174.15817260742188,509.0,555.0
73,73,73,73,0.410271417519394,-0.9975165473772786,1,21.60475538019347,570.0,43.0,678.6168823242188,174.10992431640625,509.0,555.0
74,74,74,74,0.3058017332260926,-1.0297511828954886,1,21.753898976696902,570.0,44.0,678.8766479492188,174.67385864257812,542.0,565.0
75,75,75,75,0.3081940508333108,-1.0465317609240778,1,21.81261441171576,571.0,43.0,679.363525390625,174.58595275878906,544.0,569.0
76,76,76,76,0.3301933593340194,-1.0309412164285905,1,21.69303018391708,572.0,44.0,679.5391235351562,174.38401794433594,536.0,565.0
77,77,77,77,0.3502442991812259,-1.0008886419495369,1,21.74510200378464,573.0,44.0,679.4161376953125,174.1075897216797,528.0,557.0
78,78,78,78,0.3170924709835926,-0.9686481474769284,1,21.87358671617506,573.0,45.0,679.8637084960938,174.2322235107422,532.0,547.0
79,79,79,79,0.299058076713794,-0.9778965069944466,1,21.570200926721142,572.0,45.0,679.7770385742188,174.33673095703125,537.0,550.0
80,80,80,80,0.3341098040330899,-0.99311234472456,1,21.937539554272384,573.0,45.0,679.7638549804688,174.6206512451172,531.0,555.0
81,81,81,81,0.3899634826269947,-0.9373802394344172,1,21.82952966342076,574.0,45.0,679.9910278320312,175.09376525878906,506.0,539.0
82,82,82,82,0.4180337331486479,-0.9851524225424222,1,21.830438606992104,577.0,46.0,679.0560913085938,171.46353149414062,509.0,551.0
83,83,83,83,0.4095020302804701,-0.9825186893823884,1,21.7292178255779,578.0,47.0,679.3621826171875,172.16563415527344,510.0,552.0
84,84,84,84,0.3476458529056356,-0.9543222050250652,1,21.50329652301414,578.0,47.0,680.1315307617188,172.91036987304688,524.0,543.0
85,85,85,85,0.3489255018094187,-0.9518449325790737,1,21.19491439775231,578.0,47.0,680.1072998046875,172.92837524414062,523.0,542.0
86,86,86,86,0.3644930099614769,-0.9312283373163344,1,18.20744740886084,579.0,47.0,680.9566650390625,173.16525268554688,516.0,537.0
87,87,87,87,0.4122360314555454,-0.9318876028441834,1,22.435431933672103,580.0,48.0,680.6428833007812,173.0000457763672,503.0,537.0
88,88,88,88,0.3494834340577903,-0.951285402434048,1,20.87341494973624,581.0,48.0,680.8035278320312,172.7495880126953,524.0,543.0
89,89,89,89,0.4084005468536133,-0.9413289083826778,1,21.62815065385092,581.0,50.0,681.533935546875,173.02474975585938,507.0,541.0
90,90,90,90,0.5353358591544961,-0.9712894706460692,1,21.710322266737062,582.0,50.0,682.4694213867188,173.60153198242188,479.0,550.0
91,91,91,91,0.5743479733308487,-0.9548816020120364,1,21.66345061256533,582.0,50.0,682.5350341796875,173.6665496826172,465.0,545.0
92,92,92,92,0.4917670763530177,-0.9152886524019376,1,21.851934438528307,582.0,50.0,683.9356079101562,174.44888305664062,479.0,534.0
93,93,93,93,0.4990905030346267,-0.911188050113488,1,21.826689702545742,583.0,51.0,684.0458984375,175.39894104003906,477.0,533.0
94,94,94,94,0.4749745140995231,-0.9187663413114175,1,21.7061651598346,583.0,52.0,684.6036376953125,176.1560821533203,485.0,537.0
95,95,95,95,0.585950567251997,-0.909404264815353,1,21.57186500303445,583.0,52.0,685.4468383789062,176.86343383789062,453.0,534.0
96,96,96,96,0.5903386577801205,-0.9018174515019352,1,21.713469244069863,584.0,52.0,686.4801025390625,177.0006561279297,451.0,531.0
97,97,97,97,0.5894361124866927,-0.9018752420975898,1,21.76089652131054,584.0,52.0,686.4752197265625,177.02975463867188,452.0,531.0
98,98,98,98,0.4850764167464116,-0.937558538069398,1,21.71301962002381,584.0,52.0,687.0001831054688,177.99002075195312,488.0,543.0
99,99,99,99,0.5563511296324203,-0.9098314358542016,1,21.69303018391708,585.0,52.0,688.2634887695312,177.63418579101562,464.0,534.0
100,100,100,100,0.6035055925255813,-0.9448292341614234,1,21.520176910328832,585.0,51.0,688.9979248046875,178.47198486328125,459.0,545.0
101,101,101,101,0.5576049458736296,-0.9558552537065694,1,21.55169153615325,584.0,52.0,689.5520629882812,178.06614685058594,474.0,550.0
102,102,102,102,0.6050230617147084,-0.9969273229860984,1,21.68080762133188,585.0,52.0,689.5858154296875,177.70523071289062,473.0,561.0
103,103,103,103,0.6063375980287716,-0.9909033857583937,1,18.79985477559692,585.0,52.0,689.5829467773438,177.82720947265625,471.0,559.0
104,104,104,104,0.5713348728735331,-1.006085667658772,1,20.40755715794032,585.0,52.0,689.7042236328125,177.62039184570312,483.0,563.0
105,105,105,105,0.6112721692125794,-0.970664826212391,1,21.09757802872161,585.0,53.0,689.6569213867188,177.70628356933594,465.0,554.0
106,106,106,106,0.557516528925439,-0.9601071235449355,1,21.80104995062113,585.0,53.0,689.2669677734375,177.42176818847656,476.0,551.0
107,107,107,107,0.5336348981662625,-0.954512887359115,1,21.86184357978681,585.0,53.0,689.30126953125,177.46595764160156,481.0,549.0
108,108,108,108,0.5318535097131085,-0.9995884867053602,1,21.839532207590693,585.0,53.0,689.9081420898438,177.3688201904297,491.0,563.0
109,109,109,109,0.5148540198429147,-1.001801573571216,1,21.653161524800726,585.0,53.0,690.04150390625,177.4074249267578,496.0,563.0
110,110,110,110,0.4635711246279128,-1.0306020628637689,1,21.43987404859148,585.0,53.0,690.2639770507812,177.6876220703125,515.0,571.0
111,111,111,111,0.3666067609186728,-1.0333609645950366,1,21.752883578126298,585.0,53.0,690.267333984375,177.60626220703125,539.0,572.0
112,112,112,112,0.3718433345700956,-1.0167738652196414,1,21.824645388225743,585.0,53.0,690.1539916992188,177.92782592773438,535.0,567.0
113,113,113,113,0.3915294213479613,-0.9918838285137064,1,21.729780697437068,585.0,53.0,690.1807861328125,177.831298828125,526.0,560.0
114,114,114,114,0.3876997957004274,-0.9894241329309093,1,21.81624500665779,585.0,53.0,690.230712890625,177.8931884765625,527.0,560.0
115,115,115,115,0.4535057072879583,-0.9565992077570832,1,21.82055790820839,585.0,53.0,690.2839965820312,178.15872192382812,503.0,550.0
116,116,116,116,0.4853925339678041,-0.9575515541628956,1,21.61321639476044,585.0,53.0,690.2572021484375,178.401123046875,494.0,550.0
117,117,117,117,0.4129361765061273,-1.1183482939338631,1,21.62948905711752,585.0,54.0,689.8734130859375,178.77198791503906,544.0,594.0
118,118,118,118,0.6530316003694578,-1.1078791413726528,1,21.86765656607788,585.0,54.0,689.614013671875,178.75173950195312,493.0,592.0
