,index,class,gazex,gazey,fps
0,0,1,548.625,472.5,15.100406464550458
1,1,1,548.625,472.5,20.887656060915425
2,2,1,565.25,472.5,21.497785796293257
3,3,1,581.875,472.5,22.282629946024056
4,4,1,581.875,485.625,10.450749987541736
5,5,1,581.875,485.625,21.984914640346783
6,6,1,548.625,485.625,22.138086466344
7,7,1,565.25,472.5,21.5925209011161
8,8,1,581.875,459.375,6.933364190132988
9,9,1,598.5,472.5,22.456933892306623
10,10,1,581.875,459.375,22.289142668870262
11,11,1,581.875,459.375,22.433871942576875
12,12,1,581.875,472.5,6.8302351977514295
13,13,1,581.875,472.5,22.620802726811853
14,14,1,565.25,472.5,22.67767486875044
15,15,1,515.375,472.5,10.376444160766328
16,16,1,515.375,485.625,22.14486570962445
17,17,1,515.375,485.625,22.32996331847972
18,18,1,498.75,485.625,22.39733430164257
19,19,1,465.5,485.625,6.808028801360858
20,20,1,415.625,485.625,22.146034964333424
21,21,1,415.625,485.625,22.36186921867086
22,22,1,432.25,485.625,22.03237905132111
23,23,1,432.25,485.625,6.451197322501112
24,24,1,432.25,485.625,23.04993240495477
25,25,1,448.875,485.625,22.74667013753308
26,26,1,448.875,485.625,7.949795204312366
27,27,1,465.5,485.625,22.13142814930508
28,28,1,448.875,485.625,22.279197497091804
29,29,1,448.875,485.625,21.729893275308257
30,30,1,448.875,485.625,6.836313613122685
31,31,1,448.875,485.625,22.51274234064023
32,32,1,448.875,485.625,22.382513661202186
33,33,1,448.875,485.625,6.839981474354374
34,34,1,432.25,485.625,22.10297109010234
35,35,1,415.625,485.625,22.055434319638643
36,36,1,415.625,485.625,21.01217856552429
37,37,1,415.625,485.625,6.769909176161446
38,38,1,415.625,485.625,21.7703842500558
39,39,1,415.625,485.625,21.74386197743862
40,40,1,415.625,485.625,21.7044802997216
41,41,1,465.5,485.625,6.805720025118005
42,42,1,482.125,485.625,21.949249310537912
43,43,1,482.125,472.5,21.53177683319986
44,44,1,482.125,472.5,6.605265561564361
45,45,1,482.125,472.5,21.062404274444223
46,46,1,482.125,472.5,17.91970469236652
47,47,1,482.125,472.5,19.88585191471608
48,48,1,482.125,472.5,6.777512054500562
49,49,1,482.125,472.5,20.355955893772325
50,50,1,482.125,472.5,20.328922751815124
51,51,1,482.125,472.5,21.03293617362699
52,52,1,482.125,472.5,6.840974368593168
53,53,1,482.125,485.625,21.05415756845619
54,54,1,482.125,485.625,21.068328971624616
55,55,1,482.125,485.625,6.823479266683695
56,56,1,482.125,485.625,20.3047132179234
57,57,1,482.125,485.625,21.460826852230863
58,58,1,482.125,485.625,20.85203782327265
59,59,1,482.125,485.625,6.770827178848914
60,60,1,498.75,485.625,21.699764082612475
61,61,1,515.375,485.625,19.96393995068874
62,62,1,515.375,485.625,21.761009421823765
63,63,1,498.75,485.625,6.639120166646617
64,64,1,515.375,485.625,21.20713122794244
65,65,1,515.375,485.625,21.54615597998623
66,66,1,515.375,485.625,6.837840481516019
67,67,1,515.375,485.625,19.902270516500984
68,68,1,498.75,485.625,21.326933344180773
69,69,1,498.75,485.625,21.581965905641056
70,70,1,515.375,485.625,6.40827239753466
71,71,1,498.75,485.625,20.99450898734114
72,72,1,515.375,485.625,21.34592756957026
73,73,1,498.75,485.625,21.554349613550404
74,74,1,498.75,485.625,6.783628606270763
75,75,1,498.75,485.625,21.56587552959565
76,76,1,498.75,485.625,19.650145936500053
77,77,1,498.75,485.625,6.729492099757409
78,78,1,498.75,485.625,21.831802164283594
79,79,1,515.375,485.625,22.16440846350589
80,80,1,515.375,485.625,20.17345800146216
