,index,class,gazex,gazey,fps
0,0,1,465.5,446.25,18.831676589172343
1,1,1,465.5,446.25,18.76898017631002
2,2,1,565.25,288.75,8.74026377262791
3,3,1,465.5,446.25,20.93551092121551
4,4,1,465.5,446.25,20.857326139386856
5,5,1,465.5,446.25,8.718933515155168
6,6,1,581.875,301.875,21.191059375126308
7,7,1,581.875,301.875,21.211528444347795
8,8,1,581.875,301.875,20.81013738458256
9,9,1,581.875,301.875,5.569621866816808
10,10,1,581.875,301.875,20.612349804653903
11,11,1,581.875,301.875,20.422462106272853
12,12,1,581.875,301.875,20.74293287966608
13,13,1,581.875,301.875,5.564301899207734
14,14,1,581.875,301.875,20.741086528666514
15,15,1,581.875,301.875,20.685338344010614
16,16,1,581.875,301.875,8.69947504111936
17,17,1,581.875,301.875,20.78940481383084
18,18,1,581.875,301.875,20.82212127981731
19,19,1,581.875,301.875,20.510144303884125
20,20,1,581.875,301.875,5.542119832717807
21,21,1,581.875,301.875,20.673409435933834
22,22,1,581.875,301.875,20.520580249027617
23,23,1,448.875,433.125,20.954860885595952
24,24,1,448.875,433.125,5.605904351010567
25,25,1,448.875,433.125,20.977918265070848
26,26,1,515.375,301.875,21.116590980032825
27,27,1,448.875,433.125,8.774180591931854
28,28,1,448.875,433.125,20.97214916447493
29,29,1,448.875,433.125,20.79558931440017
30,30,1,515.375,301.875,20.96774580575497
31,31,1,515.375,301.875,0.1132294730235755
32,32,1,448.875,433.125,20.433406246498464
33,33,1,448.875,433.125,20.276835611935105
34,34,1,448.875,433.125,20.0645040924986
35,35,1,581.875,301.875,5.498051439889575
36,36,1,448.875,420.0,21.014073498835145
37,37,1,448.875,420.0,20.70831728727869
38,38,1,448.875,420.0,8.546321822920168
39,39,1,515.375,301.875,20.68268628601579
40,40,1,515.375,301.875,20.31976358307293
41,41,1,581.875,301.875,20.744984766351443
42,42,1,515.375,301.875,5.446179056453592
43,43,1,581.875,301.875,20.71199865682992
44,44,1,581.875,301.875,17.405484363588076
45,45,1,581.875,301.875,18.356458869457136
46,46,1,581.875,301.875,5.401585328946098
47,47,1,581.875,301.875,20.899521149639494
48,48,1,515.375,301.875,17.78754877014419
49,49,1,515.375,301.875,8.60202422092105
50,50,1,515.375,301.875,20.989150886744863
51,51,1,515.375,301.875,21.21603480108248
52,52,1,515.375,301.875,21.045600513808605
53,53,1,515.375,301.875,5.4756355793909615
54,54,1,581.875,301.875,21.3413658705364
55,55,1,581.875,301.875,21.344841273880164
56,56,1,581.875,301.875,8.691416967134982
57,57,1,581.875,301.875,17.732951134336183
58,58,1,581.875,301.875,20.73780493834485
59,59,1,581.875,301.875,21.164967805744507
60,60,1,581.875,301.875,5.546891241731181
61,61,1,581.875,301.875,19.16152257734408
62,62,1,581.875,301.875,19.72295813524812
63,63,1,581.875,301.875,20.4708041309568
64,64,1,581.875,301.875,5.511076539809846
65,65,1,581.875,301.875,20.62167331225755
66,66,1,581.875,301.875,21.04074404791765
67,67,1,581.875,301.875,8.603029917667957
68,68,1,581.875,301.875,20.236822171078977
69,69,1,581.875,301.875,19.259362659564697
70,70,1,581.875,301.875,20.771284814389286
71,71,1,581.875,301.875,5.522868734059041
72,72,1,581.875,301.875,19.493883621490983
73,73,1,515.375,275.625,20.811273196387813
74,74,1,515.375,275.625,20.76398398011872
75,75,1,515.375,275.625,5.476679445529661
76,76,1,515.375,275.625,20.874765462083243
77,77,1,515.375,275.625,21.061452401755496
78,78,1,515.375,288.75,8.657921299956445
79,79,1,448.875,433.125,20.05577338714305
80,80,1,448.875,433.125,19.537287709263
81,81,1,448.875,433.125,20.971310286897133
82,82,1,448.875,433.125,5.500575066129327
83,83,1,465.5,446.25,19.565175206179795
84,84,1,448.875,433.125,20.894107332333704
85,85,1,465.5,446.25,5.463716595129386
86,86,1,465.5,446.25,20.35151121095816
87,87,1,465.5,446.25,20.83774169829693
88,88,1,465.5,446.25,20.958211535674845
89,89,1,465.5,446.25,5.490436938511301
90,90,1,465.5,446.25,20.36969729346459
91,91,1,465.5,446.25,20.75175887352933
92,92,1,465.5,446.25,20.964496893540662
93,93,1,581.875,301.875,5.494874965937913
94,94,1,581.875,301.875,20.883392085399613
95,95,1,581.875,301.875,20.279874867639165
96,96,1,581.875,301.875,5.357052174468357
97,97,1,581.875,301.875,20.89254617545677
98,98,1,598.5,301.875,20.932898801710845
99,99,1,598.5,301.875,19.948652826329933
100,100,1,598.5,301.875,5.418416371371029
101,101,1,598.5,301.875,20.103741977539507
102,102,1,581.875,301.875,17.300950369588172
103,103,1,598.5,301.875,20.26801712557141
104,104,1,598.5,301.875,5.384623482394687
105,105,1,598.5,301.875,19.66746850103864
106,106,1,598.5,301.875,19.80631451696684
107,107,1,598.5,301.875,5.407804518296755
108,108,1,581.875,301.875,20.989150886744863
109,109,1,581.875,301.875,20.384348831897203
110,110,1,465.5,446.25,18.18778809336936
111,111,1,465.5,446.25,5.435648478737839
112,112,1,465.5,446.25,20.52951944632072
113,113,1,465.5,446.25,18.867679407649987
114,114,1,482.125,446.25,20.5729196811772
115,115,1,482.125,446.25,5.39563029361216
116,116,1,482.125,446.25,19.60065050376657
117,117,1,482.125,446.25,19.45996705871436
118,118,1,482.125,446.25,5.542317562085579
119,119,1,482.125,446.25,19.3900662006731
120,120,1,465.5,446.25,19.45942535294909
121,121,1,482.125,446.25,20.56091845838603
122,122,1,482.125,446.25,5.47734458149147
123,123,1,482.125,446.25,20.310612663916167
124,124,1,482.125,446.25,20.92548393534225
125,125,1,482.125,446.25,20.93227199001872
126,126,1,482.125,446.25,5.495119733570206
127,127,1,482.125,446.25,20.749602995958227
128,128,1,482.125,446.25,20.852141489969924
129,129,1,482.125,446.25,5.520193837678054
130,130,1,482.125,446.25,17.832697712189045
131,131,1,482.125,446.25,20.32941541414425
132,132,1,482.125,446.25,20.44625569129074
133,133,1,482.125,446.25,5.149670955701797
134,134,1,482.125,446.25,20.708419529872963
135,135,1,581.875,301.875,20.99408864529369
136,136,1,581.875,301.875,21.14938633911193
137,137,1,598.5,301.875,4.602449194574902
138,138,1,598.5,301.875,20.761722791194973
139,139,1,482.125,459.375,20.86469277300223
140,140,1,482.125,459.375,5.5076969541780745
141,141,1,482.125,446.25,20.8789219810142
142,142,1,482.125,446.25,20.47330219117769
143,143,1,581.875,301.875,18.872943092796493
144,144,1,565.25,288.75,5.472742005143535
145,145,1,598.5,288.75,20.93415253772017
146,146,1,598.5,288.75,19.844923682542085
147,147,1,598.5,275.625,19.090964538167785
148,148,1,598.5,275.625,5.43167131575744
149,149,1,465.5,446.25,20.95381402714706
150,150,1,598.5,275.625,19.35892181297886
151,151,1,581.875,262.5,5.485152321604886
152,152,1,581.875,262.5,17.59259771908411
153,153,1,581.875,262.5,19.78128036069687
154,154,1,581.875,262.5,18.403415398251056
155,155,1,581.875,262.5,5.443705085225319
156,156,1,581.875,262.5,20.417391981618863
157,157,1,581.875,262.5,20.20971480059169
158,158,1,581.875,262.5,20.371379169661765
159,159,1,581.875,262.5,5.529253881666197
160,160,1,581.875,262.5,21.001867698824803
161,161,1,482.125,446.25,20.893482841586675
162,162,1,482.125,446.25,5.513648379875196
163,163,1,482.125,446.25,20.051171240080315
164,164,1,465.5,446.25,19.81454851236312
165,165,1,581.875,301.875,21.32736712040393
166,166,1,581.875,301.875,5.498743404018223
167,167,1,465.5,446.25,19.62578024836932
168,168,1,581.875,301.875,19.79939577039275
169,169,1,-1.0,-1.0,21.47654085828251
170,170,4,-1.0,-1.0,5.447339062538557
171,171,4,465.5,459.375,20.59858266092397
