,index,class,gazex,gazey,fps
0,0,1,359.4375,375.0,28.63084316295325
1,1,1,359.4375,375.0,28.68488578853782
2,2,1,359.4375,375.0,30.009258265541938
3,3,1,359.4375,375.0,31.20692246452832
4,4,1,372.75,375.0,30.175934386129
5,5,1,372.75,375.0,21.582188009735464
6,6,1,346.125,375.0,30.93509558649988
7,7,1,678.9375,150.0,27.786968763456887
8,8,1,692.25,142.5,28.337402795700378
9,9,1,692.25,142.5,21.88454313979213
10,10,1,692.25,142.5,28.902116165131165
11,11,1,692.25,142.5,28.75647213690215
12,12,1,692.25,142.5,24.245793133746844
13,13,1,692.25,142.5,28.219577342546305
14,14,1,692.25,142.5,30.00153072537785
15,15,1,692.25,142.5,17.063750498368606
16,16,1,692.25,142.5,3.051692387838061
17,17,1,692.25,142.5,32.313341191516244
18,18,1,692.25,142.5,32.437542535420405
19,19,1,692.25,142.5,24.88492298929682
20,20,1,-1.0,-1.0,32.56295514184122
21,21,1,-1.0,-1.0,32.045229854760215
22,22,1,-1.0,-1.0,32.7212188823791
23,23,1,-1.0,-1.0,16.7546976863096
24,24,1,692.25,142.5,25.339245798243176
25,25,1,692.25,142.5,20.289881433249967
26,26,1,692.25,142.5,29.735238027719685
27,27,3,692.25,142.5,24.36579740790873
28,28,3,692.25,142.5,31.638887212600327
29,29,3,692.25,142.5,30.351938287417955
30,30,3,-1.0,-1.0,23.836961092988098
31,31,3,-1.0,-1.0,28.21008736825822
32,32,3,-1.0,-1.0,21.99367609658897
33,33,3,-1.0,-1.0,30.87565975928448
34,34,3,-1.0,-1.0,23.09422576080433
35,35,3,-1.0,-1.0,30.697591357871087
36,36,3,692.25,142.5,18.60224505816661
37,37,3,-1.0,-1.0,30.927111982834266
38,38,3,-1.0,-1.0,22.295540683489
39,39,3,-1.0,-1.0,30.92369169972131
40,40,3,-1.0,-1.0,27.95569004359012
41,41,3,-1.0,-1.0,18.73787197162272
42,42,3,-1.0,-1.0,31.133953888864145
43,43,3,-1.0,-1.0,22.60970626762044
44,44,3,-1.0,-1.0,29.58589798754294
45,45,3,-1.0,-1.0,23.3455265999488
46,46,3,-1.0,-1.0,31.07697551216982
47,47,3,-1.0,-1.0,26.40501117441531
48,48,3,692.25,142.5,23.965808058875965
49,49,3,692.25,142.5,23.205258149467767
50,50,3,692.25,142.5,30.693772411269663
51,51,3,692.25,142.5,26.259204768135632
52,52,3,-1.0,-1.0,21.49271842172688
53,53,3,-1.0,-1.0,30.969357768359497
54,54,3,-1.0,-1.0,24.80970548743338
55,55,3,-1.0,-1.0,31.163100332857823
56,56,3,-1.0,-1.0,17.9051700953251
57,57,3,-1.0,-1.0,30.809208303339258
58,58,3,-1.0,-1.0,29.59341287368325
59,59,3,-1.0,-1.0,25.03299890779524
60,60,3,-1.0,-1.0,24.14515980473428
61,61,3,692.25,142.5,31.28513355262667
62,62,3,-1.0,-1.0,24.25701083216221
63,63,3,-1.0,-1.0,16.081097453435678
64,64,3,-1.0,-1.0,29.4287558586624
65,65,3,-1.0,-1.0,31.53540897573739
66,66,3,-1.0,-1.0,21.40562609725228
67,67,3,-1.0,-1.0,22.570164770709344
68,68,3,-1.0,-1.0,28.163867718650327
69,69,3,-1.0,-1.0,29.178781870673763
70,70,3,-1.0,-1.0,30.74439435587319
71,71,3,-1.0,-1.0,19.8367582446167
72,72,3,-1.0,-1.0,29.46534876042347
73,73,3,-1.0,-1.0,29.45438202247191
74,74,3,-1.0,-1.0,23.501977967792183
75,75,3,-1.0,-1.0,31.07283139358289
76,76,3,-1.0,-1.0,29.00003457073518
77,77,3,-1.0,-1.0,27.765631102667136
78,78,3,-1.0,-1.0,21.619900825764685
79,79,3,-1.0,-1.0,27.606818929770288
80,80,3,-1.0,-1.0,28.802878705681184
81,81,3,-1.0,-1.0,19.55641762094819
82,82,3,-1.0,-1.0,20.05145881239333
83,83,3,-1.0,-1.0,29.770695663900856
84,84,3,-1.0,-1.0,28.647465012874715
85,85,3,-1.0,-1.0,22.857989907026933
86,86,3,-1.0,-1.0,29.21211023742696
87,87,3,-1.0,-1.0,28.278176681971104
88,88,1,692.25,142.5,29.31275858213128
89,89,1,692.25,142.5,22.8360864594109
90,90,1,692.25,142.5,29.219436413668188
91,91,1,692.25,142.5,28.95279118087625
92,92,1,692.25,142.5,28.08729600685725
93,93,1,692.25,142.5,18.96690754189692
94,94,1,692.25,142.5,23.675765991555465
95,95,1,692.25,142.5,23.23302240046086
96,96,1,692.25,142.5,19.93793732887131
97,97,1,692.25,142.5,26.813000230137828
98,98,1,692.25,142.5,29.273478503629256
99,99,1,692.25,142.5,25.86171091736444
100,100,1,705.5625,142.5,24.162825128899385
101,101,1,692.25,142.5,29.85971082175885
102,102,1,692.25,142.5,30.70073708634963
103,103,1,692.25,142.5,29.701126634895232
104,104,1,692.25,142.5,21.125099473169943
105,105,1,692.25,142.5,30.98811986524026
106,106,1,692.25,142.5,30.7261512314477
107,107,1,692.25,142.5,25.218278018278017
108,108,1,692.25,142.5,32.573070531040806
109,109,1,-1.0,-1.0,32.36270765337222
110,110,1,678.9375,142.5,31.9483257670394
111,111,1,692.25,142.5,24.7840504863089
112,112,1,678.9375,142.5,31.46396609279472
113,113,1,692.25,142.5,29.716698667309043
114,114,1,332.8125,390.0,30.63525940209333
115,115,3,332.8125,390.0,2.833857070177133
116,116,3,332.8125,390.0,32.69902549310049
117,117,3,692.25,142.5,26.64386581205812
118,118,3,-1.0,-1.0,26.545555808713704
119,119,3,-1.0,-1.0,23.20448786748841
120,120,3,-1.0,-1.0,29.97922905930368
121,121,3,-1.0,-1.0,30.08567411700571
122,122,3,-1.0,-1.0,27.235032856289447
123,123,3,-1.0,-1.0,31.602175976853875
124,124,3,-1.0,-1.0,17.49361450104687
125,125,3,692.25,142.5,19.62982168764918
126,126,3,346.125,390.0,18.78268034589153
127,127,3,346.125,390.0,28.860154680318168
128,128,3,332.8125,390.0,28.05235525057352
129,129,3,332.8125,397.5,24.748660577308883
130,130,3,332.8125,405.0,22.67902369391485
131,131,3,346.125,405.0,28.076767054696862
132,132,3,692.25,142.5,31.215283514553423
133,133,3,-1.0,-1.0,23.331371578285708
134,134,3,-1.0,-1.0,30.706580864319548
135,135,3,-1.0,-1.0,23.20846820825241
136,136,3,-1.0,-1.0,29.91721648822728
137,137,3,-1.0,-1.0,21.392415780480963
138,138,3,-1.0,-1.0,25.82588188932743
139,139,3,-1.0,-1.0,28.93321836305315
140,140,3,-1.0,-1.0,26.387070391876843
141,141,3,-1.0,-1.0,29.70533368272697
142,142,3,-1.0,-1.0,29.15120133999625
143,143,3,-1.0,-1.0,24.69474700611142
144,144,3,-1.0,-1.0,21.57031185715461
145,145,3,-1.0,-1.0,29.38710536272298
146,146,3,-1.0,-1.0,17.04191096104698
147,147,3,-1.0,-1.0,22.584626982203915
148,148,3,-1.0,-1.0,23.714183944048987
149,149,3,-1.0,-1.0,28.52123297452043
150,150,3,-1.0,-1.0,29.725544113790832
151,151,3,-1.0,-1.0,25.07805082212257
152,152,3,-1.0,-1.0,30.9714159128669
153,153,3,-1.0,-1.0,31.47907926238921
154,154,3,692.25,142.5,22.10005954043217
155,155,3,-1.0,-1.0,23.52003319706834
156,156,3,692.25,142.5,31.47010406740747
157,157,3,692.25,142.5,28.372673832603887
158,158,3,692.25,142.5,23.862049347738274
159,159,3,692.25,142.5,23.58165554387365
160,160,3,692.25,142.5,28.34467984456834
161,161,3,692.25,127.5,28.237816002962266
162,162,3,-1.0,-1.0,22.975437673919235
163,163,3,-1.0,-1.0,7.675802295619583
164,164,3,692.25,142.5,29.74282898049199
165,165,3,-1.0,-1.0,20.219944657095752
166,166,3,692.25,127.5,23.712307005195523
167,167,3,-1.0,-1.0,29.013876399053693
168,168,3,-1.0,-1.0,30.27700659058261
169,169,3,-1.0,-1.0,26.105409913610675
170,170,3,-1.0,-1.0,30.98171074013887
171,171,3,-1.0,-1.0,17.333338843453358
172,172,3,-1.0,-1.0,18.92044875293778
173,173,3,-1.0,-1.0,23.765377816055484
174,174,3,-1.0,-1.0,19.491347101139468
175,175,3,-1.0,-1.0,22.31867523732493
176,176,3,-1.0,-1.0,24.44674737277713
177,177,3,-1.0,-1.0,14.070407321180568
178,178,3,-1.0,-1.0,19.15819668387156
179,179,3,-1.0,-1.0,31.91647833200168
180,180,3,-1.0,-1.0,24.25069959989824
181,181,3,-1.0,-1.0,24.328627278105824
182,182,3,-1.0,-1.0,29.858647986787403
183,183,3,-1.0,-1.0,30.9844571833816
184,184,3,692.25,142.5,22.148490801174407
185,185,3,692.25,142.5,21.869024776841577
186,186,3,692.25,142.5,30.374578161435625
187,187,3,692.25,142.5,23.150439351790524
188,188,3,692.25,142.5,21.65931143460591
189,189,3,692.25,142.5,32.24775304655365
190,190,3,692.25,142.5,32.751368445711165
191,191,3,692.25,142.5,25.50395544123996
192,192,3,-1.0,-1.0,31.92473797581081
193,193,1,-1.0,-1.0,32.06727983057716
194,194,1,-1.0,-1.0,32.27802959759279
195,195,1,705.5625,135.0,24.71555600077783
196,196,1,-1.0,-1.0,31.848136252154568
197,197,1,-1.0,-1.0,31.23248419500644
198,198,1,692.25,142.5,24.862354105784792
199,199,1,-1.0,-1.0,2.862789235764389
200,200,1,-1.0,-1.0,31.761074679307576
201,201,1,-1.0,-1.0,24.09827061189313
202,202,1,-1.0,-1.0,27.48542932221938
203,203,1,692.25,142.5,30.088048148865504
204,204,3,705.5625,135.0,31.984138725150032
205,205,3,705.5625,135.0,31.719761022460865
206,206,3,692.25,142.5,20.917448395896606
207,207,3,692.25,142.5,28.927630989082232
208,208,3,692.25,142.5,31.45783051203396
209,209,3,692.25,142.5,21.63395159792857
210,210,3,692.25,142.5,19.841544065471403
211,211,3,705.5625,135.0,30.462821201865115
212,212,3,705.5625,135.0,29.31275858213128
213,213,3,-1.0,-1.0,23.8722353128664
214,214,3,-1.0,-1.0,29.42772348083548
215,215,3,-1.0,-1.0,30.41841507901397
216,216,3,-1.0,-1.0,29.70365072058355
217,217,3,-1.0,-1.0,19.99715845431357
218,218,3,-1.0,-1.0,30.54290187511378
219,219,3,-1.0,-1.0,29.020902668705503
220,220,3,-1.0,-1.0,18.93907334408005
221,221,3,-1.0,-1.0,25.911718735520697
222,222,3,-1.0,-1.0,29.48958728819517
223,223,3,-1.0,-1.0,27.512653328960315
224,224,3,-1.0,-1.0,23.84373649862428
225,225,3,-1.0,-1.0,29.1366209804589
226,226,3,-1.0,-1.0,28.700981264284444
227,227,3,-1.0,-1.0,26.25657462298817
228,228,3,-1.0,-1.0,30.76672094831507
229,229,3,-1.0,-1.0,27.83380560219257
230,230,3,-1.0,-1.0,20.242193758867987
231,231,3,-1.0,-1.0,19.94789382820563
232,232,3,-1.0,-1.0,30.17658570277426
233,233,3,-1.0,-1.0,29.345572595992387
234,234,1,692.25,142.5,18.795810908308724
235,235,1,692.25,142.5,17.15033877028635
236,236,1,692.25,142.5,22.811371139235
237,237,1,692.25,142.5,28.23838634099049
238,238,1,692.25,142.5,22.89979744375106
239,239,1,692.25,142.5,25.63285461101265
240,240,1,692.25,142.5,27.10987299227612
241,241,1,692.25,142.5,22.05879816137413
242,242,1,692.25,142.5,22.636185048464046
243,243,1,692.25,142.5,29.765202642765395
244,244,1,692.25,142.5,28.67253200987128
245,245,1,678.9375,135.0,29.61430760214925
246,246,1,692.25,142.5,19.777456088647885
247,247,1,692.25,142.5,29.867365467738605
248,248,1,692.25,142.5,30.337887785436845
249,249,1,692.25,142.5,19.519921069655098
250,250,1,692.25,142.5,28.539863775235943
251,251,1,692.25,142.5,26.20260882602829
252,252,1,692.25,142.5,22.483778973776182
253,253,1,692.25,142.5,23.798279657747216
254,254,1,692.25,142.5,31.55486341511123
255,255,1,692.25,142.5,29.396991827752
256,256,1,692.25,142.5,24.404785178978727
257,257,1,692.25,142.5,24.900435162042942
258,258,1,692.25,142.5,31.28886766976748
259,259,1,692.25,142.5,27.11197585050064
