,index,class,gazex,gazey,fps
0,0,3,598.5,433.125,21.38936117046504
1,1,3,598.5,446.25,22.53342430575329
2,2,3,581.875,459.375,21.869138802133573
3,3,3,565.25,472.5,7.778623873117845
4,4,3,565.25,472.5,21.02039241235873
5,5,3,565.25,472.5,21.212601212783284
6,6,3,581.875,485.625,21.05193840470597
7,7,3,581.875,472.5,7.802993349146551
8,8,3,598.5,472.5,21.79617841014795
9,9,3,581.875,472.5,22.72264027260858
10,10,3,581.875,485.625,11.624495587778812
11,11,3,581.875,485.625,22.991306254453765
12,12,3,581.875,485.625,22.78052118749932
13,13,3,-1.0,-1.0,22.99748329047433
14,14,3,581.875,498.75,7.922226524502536
15,15,3,581.875,498.75,23.32008584550034
16,16,3,581.875,485.625,22.8222939259227
17,17,3,581.875,485.625,22.57198671825809
18,18,3,581.875,485.625,7.961973606281037
19,19,3,581.875,472.5,23.292371940112844
20,20,3,598.5,472.5,22.891923458973267
21,21,3,598.5,472.5,11.60282165481756
22,22,3,581.875,472.5,23.52834528176994
23,23,3,581.875,472.5,23.13281930794092
24,24,3,598.5,485.625,21.38565317370887
25,25,3,598.5,472.5,7.578565452991546
26,26,3,598.5,472.5,23.396705509597307
27,27,3,598.5,472.5,21.62636637379862
28,28,3,615.125,301.875,11.185645861557663
29,29,3,581.875,472.5,22.558147289615075
30,30,3,615.125,301.875,22.48932451126529
31,31,3,615.125,301.875,22.778789129537504
32,32,3,615.125,301.875,7.405563834370343
33,33,3,615.125,301.875,22.63435272277896
34,34,3,598.5,301.875,22.7707508808504
35,35,3,598.5,301.875,21.72426581032786
36,36,3,598.5,301.875,7.7851065409458755
37,37,3,598.5,301.875,22.11940660580843
38,38,3,598.5,472.5,22.869206778478112
39,39,3,598.5,301.875,11.254679718358236
40,40,3,581.875,301.875,22.045233077016068
41,41,3,548.625,301.875,20.91828296984175
42,42,3,515.375,459.375,22.453928349643466
43,43,3,515.375,301.875,7.920476176088467
44,44,3,565.25,288.75,20.93457048309733
45,45,3,548.625,288.75,22.42187925992848
46,46,3,515.375,301.875,22.3081104368222
47,47,3,548.625,301.875,7.612995970523106
48,48,3,448.875,380.625,20.921308858739025
49,49,3,448.875,420.0,22.25201203240473
50,50,4,-1.0,-1.0,11.705339301860883
51,51,4,-1.0,-1.0,21.45478912504156
52,52,4,-1.0,-1.0,20.921308858739025
53,53,4,-1.0,-1.0,21.085805063443864
54,54,4,-1.0,-1.0,7.737411936592502
55,55,4,-1.0,-1.0,21.36582632482464
56,56,4,-1.0,-1.0,12.269284548374452
57,57,4,-1.0,-1.0,23.175383051259523
58,58,4,-1.0,-1.0,8.004381671027346
59,59,4,-1.0,-1.0,21.4430527295222
60,60,4,-1.0,-1.0,21.71571764364781
61,61,4,-1.0,-1.0,11.751910877995202
62,62,4,-1.0,-1.0,22.92583259998579
63,63,4,-1.0,-1.0,22.37940859469208
64,64,4,-1.0,-1.0,20.987785533788685
65,65,4,-1.0,-1.0,7.829444717187876
66,66,4,-1.0,-1.0,23.599302312496484
67,67,4,814.625,301.875,22.876066954278453
68,68,4,-1.0,-1.0,11.674095351018556
69,69,4,-1.0,-1.0,23.610992895824182
70,70,4,-1.0,-1.0,21.72775449520563
71,71,4,-1.0,-1.0,21.48831395050976
72,72,4,-1.0,-1.0,7.608493903124807
73,73,4,-1.0,-1.0,23.893450000569665
74,74,4,-1.0,-1.0,23.681781481669688
75,75,4,-1.0,-1.0,21.6093190518143
76,76,4,-1.0,-1.0,7.822639996269874
77,77,4,-1.0,-1.0,23.83736750873803
78,78,4,-1.0,-1.0,22.107165069626724
79,79,4,-1.0,-1.0,10.850583752208635
80,80,4,-1.0,-1.0,23.691947919902844
81,81,4,-1.0,-1.0,23.72478081339442
82,82,4,-1.0,-1.0,21.680359348912702
83,83,4,-1.0,-1.0,7.730182016557682
84,84,4,-1.0,-1.0,23.74573411687444
85,85,4,-1.0,-1.0,23.765377816055484
86,86,4,-1.0,-1.0,22.34066782782847
87,87,4,-1.0,-1.0,7.792135603800295
88,88,4,-1.0,-1.0,23.232121591456693
89,89,4,-1.0,-1.0,23.56787494310743
90,90,4,-1.0,-1.0,11.803403433826654
91,91,4,-1.0,-1.0,23.197557630193355
92,92,4,-1.0,-1.0,23.18922116623266
93,93,4,-1.0,-1.0,23.506851464728268
94,94,4,-1.0,-1.0,8.015670895897474
95,95,4,-1.0,-1.0,22.276949224559168
96,96,4,-1.0,-1.0,21.99748258789964
97,97,4,-1.0,-1.0,22.578062001733336
98,98,4,-1.0,-1.0,7.9569287039531345
99,99,4,-1.0,-1.0,22.11590764087719
100,100,4,-1.0,-1.0,21.310896019104234
101,101,4,-1.0,-1.0,11.756917971027493
102,102,4,-1.0,-1.0,22.48606919031357
103,103,4,-1.0,-1.0,22.42871351721336
104,104,4,-1.0,-1.0,20.13646096382997
105,105,4,-1.0,-1.0,7.950804880083104
106,106,4,-1.0,-1.0,22.499337513880025
107,107,4,-1.0,-1.0,21.520949849661868
108,108,4,-1.0,-1.0,21.068540629599305
109,109,4,-1.0,-1.0,8.00274752531921
110,110,4,-1.0,-1.0,17.285406964764064
111,111,4,-1.0,-1.0,22.657951316486056
112,112,4,-1.0,-1.0,11.762523066223196
113,113,4,-1.0,-1.0,0.2593069069246556
114,114,4,-1.0,-1.0,23.76861002810772
115,115,4,-1.0,-1.0,23.764300607379205
116,116,4,-1.0,-1.0,12.021507595299513
117,117,4,-1.0,-1.0,22.948661972216296
118,118,4,-1.0,-1.0,22.866962523579502
119,119,4,-1.0,-1.0,22.808518043199268
120,120,4,-1.0,-1.0,8.065783097313139
121,121,4,-1.0,-1.0,23.03765180184881
122,122,4,-1.0,-1.0,22.97606696210922
123,123,4,-1.0,-1.0,11.744868642857544
124,124,4,-1.0,-1.0,22.84865091600433
125,125,4,-1.0,-1.0,23.20512976558653
126,126,4,-1.0,-1.0,23.02424671596156
127,127,4,-1.0,-1.0,8.023368231371506
128,128,4,-1.0,-1.0,23.01856059358776
129,129,4,-1.0,-1.0,22.824902046147148
130,130,4,-1.0,-1.0,8.103745150470656
131,131,4,-1.0,-1.0,23.0324649650749
132,132,4,-1.0,-1.0,23.097659562751254
133,133,4,-1.0,-1.0,23.076310258695628
134,134,4,-1.0,-1.0,8.027821639861351
135,135,4,-1.0,-1.0,22.69534492367796
136,136,4,-1.0,-1.0,22.94652763340737
137,137,4,-1.0,-1.0,22.87294818240317
138,138,4,-1.0,-1.0,8.020069754635012
139,139,4,-1.0,-1.0,23.21347767372872
140,140,4,-1.0,-1.0,23.02765973800661
141,141,4,-1.0,-1.0,8.093221598112104
142,142,4,-1.0,-1.0,23.064001539688213
143,143,4,-1.0,-1.0,23.104530230918385
144,144,4,-1.0,-1.0,23.05601424817775
145,145,4,-1.0,-1.0,8.10294671645799
146,146,4,-1.0,-1.0,23.136902726139382
147,147,4,-1.0,-1.0,22.936112736439743
148,148,4,-1.0,-1.0,23.017676338073
149,149,4,-1.0,-1.0,8.055945775160522
150,150,4,-1.0,-1.0,23.047145965668065
151,151,4,-1.0,-1.0,22.90767684711845
152,152,4,-1.0,-1.0,8.045978069872547
153,153,4,-1.0,-1.0,22.317012695406028
154,154,4,-1.0,-1.0,21.939490312591538
155,155,4,-1.0,-1.0,22.43975304150572
156,156,4,-1.0,-1.0,7.989607025163343
157,157,4,-1.0,-1.0,22.60410120988386
158,158,4,515.375,485.625,20.415901247547986
159,159,4,515.375,485.625,21.462254447952432
160,160,4,548.625,498.75,7.406753890736224
161,161,4,565.25,498.75,20.464212180056403
162,162,3,565.25,498.75,20.143810813666445
163,163,3,581.875,485.625,7.868175405948915
164,164,3,565.25,498.75,20.151262845859296
165,165,3,515.375,485.625,20.629990507154066
166,166,3,515.375,485.625,20.8900488096424
167,167,3,498.75,472.5,7.812891640774601
168,168,3,448.875,459.375,21.43888775301574
169,169,3,415.625,459.375,17.84863378909159
170,170,3,399.0,446.25,20.78229718413841
171,171,3,382.375,472.5,7.723378005619943
