,index,class,gazex,gazey,fps
0,0,3,520.0,573.75,22.98740004713336
1,1,3,520.0,562.5,23.68606102361093
2,2,3,520.0,573.75,23.75824312765873
3,3,3,520.0,573.75,9.61799999541378
4,4,3,500.0,562.5,24.072821607722947
5,5,3,500.0,562.5,23.81300706844182
6,6,3,520.0,573.75,23.81354787061903
7,7,3,540.0,573.75,9.73612690866717
8,8,3,540.0,573.75,23.6863285463386
9,9,3,540.0,573.75,23.56853710342657
10,10,3,540.0,573.75,13.414775653019383
11,11,3,540.0,573.75,23.279056472873595
12,12,3,520.0,573.75,23.33059290120538
13,13,3,500.0,562.5,23.3370834654782
14,14,3,520.0,562.5,9.583804224885467
15,15,3,520.0,562.5,21.66747943959995
16,16,3,520.0,562.5,22.72079392422617
17,17,3,560.0,585.0,22.48088673541582
18,18,3,540.0,585.0,9.559667236467236
19,19,3,540.0,573.75,21.43198622402313
20,20,3,540.0,573.75,22.77841800852635
21,21,3,520.0,562.5,13.074309939059551
22,22,3,540.0,585.0,22.32782364746528
23,23,3,560.0,585.0,22.625073496491048
24,24,3,560.0,585.0,22.870703193160008
25,25,3,540.0,573.75,9.590838828877446
26,26,3,560.0,585.0,21.411417574059044
27,27,3,560.0,585.0,22.864095505464853
28,28,3,540.0,573.75,13.21885804151946
29,29,3,540.0,573.75,22.21888839446528
30,30,3,540.0,573.75,21.597190612030523
31,31,3,560.0,573.75,21.175225670954585
32,32,3,560.0,573.75,9.518058946871568
33,33,3,560.0,573.75,22.94313861705677
34,34,3,560.0,573.75,15.775117439756883
35,35,3,560.0,573.75,22.16569692165412
36,36,3,540.0,573.75,9.66422812745534
37,37,3,540.0,573.75,23.220674535509445
38,38,3,540.0,573.75,22.686751875551035
39,39,3,540.0,573.75,13.28282383641206
40,40,3,540.0,573.75,21.005128205128205
41,41,3,540.0,562.5,23.39435653449497
42,42,3,540.0,562.5,23.004925351850023
43,43,3,540.0,562.5,9.531274357640031
44,44,3,540.0,562.5,21.57641478859836
45,45,3,540.0,562.5,22.3274670754948
46,46,3,540.0,562.5,22.60276128170031
47,47,3,540.0,551.25,9.671559743032786
48,48,3,540.0,551.25,21.995521503600106
49,49,3,540.0,562.5,18.41359539561776
50,50,3,540.0,562.5,13.379557619798014
51,51,3,540.0,562.5,22.08900264374717
52,52,3,540.0,573.75,21.8542116067986
53,53,3,540.0,573.75,21.46609891909597
54,54,3,540.0,573.75,9.205201417770413
55,55,3,540.0,573.75,23.10363935816859
56,56,3,540.0,573.75,22.988911969920363
57,57,3,540.0,573.75,23.18037824275182
58,58,3,520.0,573.75,9.648221971232257
59,59,3,520.0,585.0,23.08393047804599
60,60,3,520.0,585.0,23.243451130777885
61,61,3,520.0,585.0,12.79223128044187
62,62,3,500.0,585.0,21.53951706500416
63,63,3,520.0,585.0,21.7523195087672
64,64,3,500.0,585.0,23.242163126658944
65,65,3,480.0,573.75,9.395863341987774
66,66,3,480.0,562.5,22.39685591012004
67,67,3,480.0,562.5,22.697678445803344
68,68,3,480.0,562.5,13.307097556100548
69,69,3,480.0,562.5,23.05639446994476
70,70,3,480.0,562.5,21.70773793196251
71,71,3,460.0,551.25,20.80621462480592
72,72,3,480.0,562.5,9.443355232644532
73,73,3,460.0,551.25,22.12991014662509
74,74,3,480.0,562.5,20.45163932827524
75,75,3,480.0,562.5,21.13606426026617
76,76,3,440.0,528.75,9.559580083600377
77,77,3,400.0,528.75,23.37167406846056
78,78,3,300.0,348.75,22.88080911674695
79,79,3,300.0,348.75,13.25260593575132
80,80,3,300.0,348.75,20.336906822600746
81,81,3,300.0,348.75,23.26562716678038
82,82,3,300.0,348.75,22.40499134633876
83,83,3,280.0,337.5,9.501456603192294
84,84,3,300.0,348.75,23.30531415998044
85,85,3,480.0,528.75,23.150439351790524
86,86,3,480.0,528.75,23.03955000878889
87,87,3,480.0,528.75,9.515899520836358
88,88,3,440.0,528.75,23.14852282950036
89,89,3,300.0,348.75,23.14647888878465
90,90,3,280.0,348.75,13.219066348978227
91,91,3,280.0,337.5,19.94979143181937
92,92,3,300.0,348.75,20.61295760250444
93,93,3,300.0,348.75,22.72079392422617
94,94,3,480.0,573.75,7.398131375222466
95,95,3,480.0,573.75,23.327867940689
96,96,3,480.0,573.75,23.376623955680152
97,97,3,460.0,585.0,23.04322076266764
98,98,3,460.0,585.0,9.568936291564478
99,99,3,440.0,573.75,23.185760088446656
100,100,3,460.0,585.0,23.373236964262823
101,101,3,460.0,585.0,13.521638211172435
102,102,3,460.0,585.0,20.24014245247965
103,103,3,460.0,585.0,22.075865154346168
104,104,3,460.0,585.0,22.773470883670424
105,105,3,460.0,585.0,9.105502416235016
106,106,3,460.0,585.0,22.115791027777192
107,107,3,460.0,596.25,23.600099029956564
108,108,3,460.0,585.0,13.494231425060002
109,109,3,460.0,585.0,22.87731470118196
110,110,3,480.0,573.75,23.2179751894558
111,111,3,460.0,585.0,23.02803902514014
112,112,3,460.0,585.0,9.65804168268932
113,113,3,460.0,585.0,19.922879250642435
114,114,3,460.0,596.25,22.74259997288871
115,115,3,460.0,596.25,23.005430072730064
116,116,3,440.0,585.0,9.678098486089606
117,117,3,440.0,585.0,23.423621853760967
118,118,3,440.0,585.0,23.087742475284585
119,119,3,440.0,585.0,13.54338153144717
120,120,3,440.0,585.0,23.3841830903465
121,121,3,440.0,585.0,23.18281257772644
122,122,3,440.0,585.0,23.0910472247608
123,123,3,440.0,585.0,9.599399451633428
124,124,3,440.0,585.0,23.223888861203857
125,125,3,440.0,585.0,19.751378587742224
126,126,3,440.0,596.25,23.148011810480423
127,127,3,440.0,596.25,0.3991863812123041
128,128,3,440.0,596.25,23.53468224309553
129,129,3,420.0,596.25,22.922449693405763
130,130,3,420.0,596.25,13.3425712967823
131,131,3,420.0,596.25,22.94426817793921
132,132,3,420.0,596.25,22.923201364143143
133,133,3,440.0,596.25,22.773594535602204
134,134,3,440.0,607.5,9.632821794229912
135,135,3,400.0,630.0,23.300653304297587
136,136,2,420.0,607.5,22.876566036706755
137,137,2,420.0,630.0,22.620436735860554
