,index,class,gazex,gazey,fps
0,0,0,182.875,459.375,20.84633774186013
1,1,0,199.5,472.5,22.21041706381987
2,2,0,199.5,472.5,21.862641257662315
3,3,0,199.5,472.5,11.245988845988846
4,4,0,199.5,472.5,20.91849162373384
5,5,0,199.5,472.5,20.708419529872963
6,6,0,216.125,472.5,20.93979620874376
7,7,0,199.5,472.5,7.638562291475443
8,8,0,232.75,472.5,22.532697979510377
9,9,0,232.75,472.5,22.937617920014
10,10,0,199.5,472.5,22.64290611486906
11,11,0,199.5,472.5,7.656941315642468
12,12,0,182.875,459.375,23.19871238225875
13,13,0,182.875,459.375,21.524925843434705
14,14,0,149.625,459.375,11.094838919588089
15,15,0,166.25,459.375,23.10478477860897
16,16,0,149.625,459.375,21.37453689311977
17,17,0,182.875,459.375,22.831984235423484
18,18,0,166.25,446.25,7.334699673337484
19,19,0,166.25,446.25,23.275439365604345
20,20,0,182.875,459.375,21.478630465285388
21,21,0,166.25,459.375,10.625781232187146
22,22,0,166.25,446.25,21.22344225962171
23,23,0,166.25,459.375,22.901047780768664
24,24,0,182.875,459.375,23.170902019710965
25,25,0,166.25,446.25,7.169064157960947
26,26,0,182.875,459.375,21.26217391745156
27,27,0,282.625,472.5,22.927587092824307
28,28,0,282.625,472.5,23.221960159009623
29,29,0,249.375,472.5,7.334532933932784
30,30,0,199.5,459.375,22.76728999864297
31,31,0,199.5,459.375,20.99366832007768
32,32,0,199.5,459.375,11.03886219003153
33,33,0,199.5,459.375,19.93244180852176
34,34,0,199.5,459.375,22.7295359587278
35,35,0,199.5,459.375,23.04841244546044
36,36,0,182.875,459.375,7.52430601649702
37,37,0,182.875,459.375,22.62324296917982
38,38,0,182.875,459.375,22.60812194780134
39,39,0,182.875,459.375,21.287749519106324
40,40,0,182.875,459.375,7.400676846417972
41,41,0,199.5,459.375,22.48462268348513
42,42,0,182.875,459.375,22.4781157051368
43,43,0,182.875,459.375,10.985374848091189
44,44,0,182.875,459.375,20.95810681164055
45,45,0,182.875,459.375,20.528012294379923
46,46,0,182.875,459.375,22.47799524105554
47,47,0,182.875,459.375,7.424269619166467
48,48,0,182.875,472.5,20.994298814213423
49,49,0,199.5,472.5,21.19684243508496
50,50,0,282.625,472.5,22.55305282968141
51,51,0,282.625,472.5,7.687324165663208
52,52,0,299.25,472.5,20.87019520229287
53,53,0,282.625,472.5,22.48462268348513
54,54,0,299.25,472.5,11.133152837500663
55,55,0,315.875,485.625,15.634753306395098
56,56,0,332.5,485.625,20.34331832997051
57,57,1,332.5,485.625,21.52967687293073
58,58,1,315.875,472.5,7.122776628660899
59,59,1,332.5,485.625,22.320931940460543
60,60,1,349.125,498.75,22.2462289169407
61,61,1,365.75,498.75,11.25691495928588
62,62,1,382.375,485.625,22.67252628449417
63,63,1,382.375,485.625,21.08866754823042
64,64,1,382.375,498.75,20.756996441774263
65,65,1,399.0,498.75,7.364138507403987
66,66,1,365.75,498.75,21.024712522682385
67,67,1,365.75,498.75,20.75792099298221
68,68,1,365.75,498.75,22.52471148011106
69,69,1,365.75,498.75,7.5644055049875645
70,70,1,382.375,498.75,20.872999442630785
71,71,1,382.375,498.75,20.75216956766973
72,72,1,382.375,498.75,11.382563740722146
73,73,1,382.375,498.75,21.08230752604939
74,74,1,382.375,498.75,18.436582138822587
75,75,1,382.375,498.75,20.538567007482275
76,76,1,382.375,498.75,7.544390682615343
77,77,1,399.0,511.875,21.230210110192697
78,78,1,399.0,511.875,20.657830838714126
79,79,1,399.0,511.875,22.296370324693275
80,80,1,399.0,511.875,7.616452087381285
81,81,1,399.0,511.875,20.78899264458058
82,82,1,399.0,511.875,22.583775750853427
83,83,1,399.0,511.875,11.350405516211175
84,84,1,399.0,498.75,22.933228353345143
85,85,1,365.75,498.75,22.87294818240317
86,86,1,365.75,498.75,22.96097355354709
87,87,1,365.75,498.75,7.979939346202288
88,88,1,399.0,498.75,23.835741928884392
