,index,class,gazex,gazey,fps
0,0,1,880.0,360.0,17.173301014600753
1,1,1,880.0,360.0,19.63993257164263
2,2,1,880.0,360.0,13.046777113493135
3,3,1,860.0,360.0,23.01691845884529
4,4,1,860.0,360.0,23.589215212085083
5,5,1,860.0,360.0,12.826578511992318
6,6,1,860.0,360.0,23.51620897296449
7,7,1,860.0,360.0,23.45519007728356
8,8,1,860.0,360.0,23.87318644665919
9,9,1,860.0,360.0,9.1635511976859
10,10,1,860.0,371.25,20.60961515782853
11,11,1,840.0,393.75,23.362040827693765
12,12,1,860.0,382.5,23.63187875031693
13,13,1,-1.0,-1.0,9.23454800450025
14,14,4,840.0,405.0,20.563337745746924
15,15,4,620.0,686.25,23.51607712534832
16,16,4,-1.0,-1.0,13.495186615186617
17,17,4,-1.0,-1.0,23.782491593946503
18,18,4,-1.0,-1.0,23.86042039992036
19,19,4,-1.0,-1.0,22.275529496739107
20,20,4,-1.0,-1.0,9.275965402316393
21,21,4,-1.0,-1.0,16.244210950298797
22,22,4,-1.0,-1.0,23.296253096499704
23,23,4,-1.0,-1.0,24.075723396072625
24,24,4,-1.0,-1.0,9.484719040651989
25,25,4,-1.0,-1.0,23.977727597541804
26,26,4,-1.0,-1.0,23.79679441717965
27,27,4,-1.0,-1.0,13.217691641062002
28,28,4,-1.0,-1.0,23.615246889251733
29,29,4,-1.0,-1.0,23.6430685283623
30,30,4,-1.0,-1.0,23.71217294950363
31,31,4,-1.0,-1.0,9.337794846106751
32,32,4,-1.0,-1.0,23.5588732552588
33,33,4,-1.0,-1.0,23.35488612951724
34,34,4,-1.0,-1.0,23.084946887555727
35,35,4,-1.0,-1.0,9.338293803197589
36,36,4,-1.0,-1.0,24.06329208332616
37,37,4,-1.0,-1.0,23.70145340295201
38,38,4,-1.0,-1.0,13.270930100110109
39,39,4,-1.0,-1.0,24.076276196981787
40,40,4,-1.0,-1.0,23.956910388000708
41,41,4,-1.0,-1.0,23.346566177207297
42,42,4,-1.0,-1.0,9.27520643246662
43,43,4,-1.0,-1.0,23.52715748141916
44,44,4,-1.0,-1.0,18.71204104394379
45,45,4,-1.0,-1.0,13.354848980787478
46,46,4,-1.0,-1.0,15.910959709572058
47,47,4,-1.0,-1.0,24.498723752226866
48,48,4,-1.0,-1.0,23.247315999800467
49,49,4,-1.0,-1.0,9.241547373268435
50,50,4,-1.0,-1.0,22.31748768210793
51,51,4,-1.0,-1.0,24.31410104054955
52,52,4,-1.0,-1.0,22.748273935751904
53,53,4,-1.0,-1.0,9.486993085446867
54,54,4,-1.0,-1.0,23.905161407988327
55,55,4,-1.0,-1.0,23.89916809116809
56,56,4,-1.0,-1.0,13.305788899322389
57,57,4,-1.0,-1.0,22.539599969906387
58,58,4,-1.0,-1.0,21.97765714405483
59,59,4,-1.0,-1.0,24.08706089093843
60,60,4,-1.0,-1.0,8.822294345432784
61,61,4,-1.0,-1.0,16.90842538095622
62,62,4,-1.0,-1.0,23.6590723202148
63,63,4,-1.0,-1.0,24.10159401468746
64,64,4,-1.0,-1.0,8.986844247893794
65,65,4,-1.0,-1.0,20.53565081152537
66,66,4,-1.0,-1.0,4.838541252092338
67,67,4,-1.0,-1.0,13.042273930091762
68,68,4,-1.0,-1.0,0.3794344430217438
69,69,4,-1.0,-1.0,23.54234396048496
70,70,4,-1.0,-1.0,23.08405752433997
71,71,4,-1.0,-1.0,13.118104424302702
72,72,4,-1.0,-1.0,22.99533986118269
73,73,4,-1.0,-1.0,22.68196714219276
74,74,4,-1.0,-1.0,23.03018855492472
75,75,4,-1.0,-1.0,9.279782646692464
76,76,4,-1.0,-1.0,23.31373431828667
77,77,4,-1.0,-1.0,21.928478815508804
78,78,4,-1.0,-1.0,12.501278650412804
79,79,4,-1.0,-1.0,22.41504916631039
80,80,4,-1.0,-1.0,23.35475608465903
81,81,4,-1.0,-1.0,22.903173667081667
82,82,4,-1.0,-1.0,8.986536170650394
83,83,4,-1.0,-1.0,23.12542178506054
84,84,4,-1.0,-1.0,22.830865702839223
85,85,4,-1.0,-1.0,9.15073621652991
86,86,4,-1.0,-1.0,23.118283837114447
87,87,4,-1.0,-1.0,18.23372603573447
88,88,4,-1.0,-1.0,21.916333120839383
89,89,4,-1.0,-1.0,9.097661545535985
