,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,-1.5888232642136428,-0.5113943072707927,1,33.60335848996139,274.0,91.0,334.07879638671875,174.71331787109375,675.0,340.0
1,1,-1.6146913468299096,-0.539300773385406,1,29.896105377202485,274.0,91.0,334.1319580078125,174.6034698486328,669.0,351.0
2,2,-1.5744599043484642,-0.5479070447641061,1,21.97385751033388,274.0,91.0,334.1878967285156,174.67852783203125,668.0,354.0
3,3,-1.492554651339186,-0.6283440970644234,1,27.094461993630613,274.0,90.0,334.5194091796875,174.59536743164062,648.0,382.0
4,4,-1.580981186909741,-0.5595469229405154,1,20.543295015403903,274.0,91.0,334.77557373046875,175.12518310546875,665.0,359.0
5,5,-1.762333935028649,-0.5595160302718705,1,29.615771338191266,274.0,91.0,334.9221496582031,176.18788146972656,658.0,359.0
6,6,-1.6668397693991872,-0.5846831688892283,1,19.21066998882436,274.0,91.0,335.0578918457031,176.83309936523438,658.0,368.0
7,7,-1.8138349431369285,-0.6058252058350403,1,30.789532024224627,274.0,92.0,335.1872253417969,176.3778533935547,644.0,377.0
8,8,-1.9866948705395733,-0.6130793903283072,1,30.354354528217225,275.0,92.0,335.2054748535156,176.06375122070312,624.0,379.0
9,9,-1.6660263068442225,-0.614180873755164,1,33.9925276969584,275.0,91.0,335.2567443847656,175.82888793945312,652.0,378.0
10,10,-1.7622764107491034,-0.5979049647531447,1,26.71412102645105,275.0,92.0,335.5408935546875,176.14019775390625,651.0,374.0
11,11,-1.754926485614648,-0.5885119955884353,1,25.164867735026068,275.0,92.0,335.4800109863281,176.2568359375,653.0,370.0
12,12,-1.60180590821167,-0.5558083774022622,1,32.932404739284394,274.0,90.0,337.6668395996094,175.44664001464844,667.0,357.0
13,13,-1.5308542367658882,-0.6067485237849708,1,33.560070091775415,274.0,90.0,337.8428649902344,176.4333953857422,655.0,376.0
14,14,-1.941338574014434,-0.5258113298319367,1,33.45006778849988,275.0,91.0,336.348876953125,176.50759887695312,648.0,347.0
15,15,-1.991991365315523,-0.4876072187303139,1,30.1672528500018,275.0,91.0,336.2763061523437,176.58668518066406,648.0,333.0
