,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,-0.2321669269820557,-0.4339165595737715,0,20.0356545748106,439.0,146.0,509.2324523925781,240.2637481689453,585.0,417.0
1,1,0.4774280844118131,-0.4159460811701348,0,20.778281977608245,439.0,146.0,508.8833312988281,239.9517517089844,249.0,407.0
2,2,0.4598877065242242,-0.4109020540655247,0,21.5475949510154,439.0,146.0,508.7703247070313,239.9427032470703,257.0,405.0
3,3,0.4563427727972198,-0.4179490446259833,0,21.53354553855632,439.0,146.0,508.4968566894531,240.00357055664065,259.0,409.0
4,4,0.6591257118918863,-0.4220140937138803,0,21.60776050816285,439.0,146.0,508.5415344238281,240.0561370849609,176.0,411.0
5,5,0.6497974575416656,-0.4213885171738207,0,21.45489887157662,438.0,146.0,508.3424682617188,240.32760620117188,179.0,411.0
6,6,0.7112301923031775,-0.4457236842666378,0,21.61343914253324,438.0,146.0,508.5144653320313,240.0575408935547,160.0,422.0
7,7,0.7368878851933279,-0.4590426855103421,0,21.51741686588757,438.0,146.0,508.5621032714844,239.995849609375,153.0,428.0
8,8,1.0848738237701667,-0.566825075883593,0,21.34886112030133,438.0,146.0,508.6277160644531,239.6673126220703,76.0,478.0
9,9,-1.4721461821156363,-0.7762403513569928,0,21.61076647224913,438.0,146.0,508.6695556640625,239.75575256347656,851.0,565.0
10,10,-1.4175489829240309,-0.7968385708082106,0,21.38848858496387,439.0,146.0,508.7398376464844,239.8451690673828,840.0,572.0
11,11,-1.4224840867400568,-0.4771463219684827,0,21.39612612290913,439.0,145.0,509.80755615234375,240.0505828857422,941.0,436.0
12,12,-0.7896107516097356,-0.5324117082775891,0,21.61655809351035,440.0,145.0,510.71868896484375,240.59033203125,800.0,462.0
13,13,-0.8008873746134582,-0.5366408080886349,0,21.62447089878893,440.0,145.0,510.6774291992188,240.6097412109375,803.0,464.0
14,14,-1.1278939953870888,-0.6032446027387536,0,21.54482786961033,440.0,144.0,511.7475891113281,241.60052490234372,871.0,494.0
15,15,-0.8945728543885927,-0.5663963069480903,0,21.525036308677645,440.0,143.0,512.59375,242.07550048828125,826.0,477.0
16,16,-0.8452505783681071,-0.5825904569046441,0,21.59063135407819,441.0,142.0,512.9052124023438,240.22280883789065,808.0,484.0
17,17,-0.3160937855748129,-0.4964068356041538,0,21.58352073030788,441.0,141.0,513.1880493164062,237.7907867431641,622.0,442.0
18,18,-0.2238251074996005,-0.5918630511880819,0,21.55778393408751,441.0,142.0,514.1343994140625,236.07766723632807,575.0,486.0
19,19,-0.2505171721571377,-0.57058945408442,0,21.56731713587865,442.0,142.0,514.1412963867188,236.03851318359372,589.0,476.0
20,20,-0.4615135663697176,-0.5428944429603589,0,21.384671860341804,442.0,141.0,514.1624145507812,233.0788726806641,681.0,462.0
21,21,-0.7382743268568233,-0.4177935160183227,0,21.456106157568687,442.0,141.0,515.8693237304688,235.9473876953125,805.0,404.0
22,22,-1.0460962009277954,-0.6265776223133739,0,21.467746971240217,442.0,141.0,515.7022705078125,233.68832397460935,851.0,499.0
23,23,-0.9472890629022752,-0.5688669214913568,0,21.637411333797623,442.0,140.0,515.2779541015625,232.97457885742188,842.0,473.0
24,24,-0.8922593663496408,-0.5120995123274457,0,21.540291394265584,443.0,140.0,514.8162841796875,233.60110473632807,839.0,447.0
25,25,-0.8928260870296096,-0.5132795590064598,0,21.72820472971223,443.0,140.0,514.843017578125,233.60060119628903,839.0,447.0
26,26,-0.9815050902715042,-0.4961258721091504,0,21.54161894538974,443.0,141.0,514.722900390625,235.04872131347656,867.0,441.0
27,27,-0.9634234248923568,-0.4336166876350286,0,21.734847856728297,442.0,142.0,515.0486450195312,236.4994354248047,874.0,413.0
28,28,-1.0334160920296012,-0.4719768599765299,0,21.592298584298582,442.0,144.0,514.1669311523438,237.5471649169922,885.0,432.0
29,29,-1.0366571590762277,-0.5293285666836043,0,21.65562106958829,441.0,146.0,515.7086791992188,238.83267211914065,873.0,461.0
30,30,-1.2853051916222933,-0.578321675993356,0,21.668598824173667,441.0,146.0,515.8942260742188,240.03778076171875,905.0,484.0
31,31,-1.4401965048340648,-0.5537779833871858,0,21.73023101592088,441.0,146.0,515.8869018554688,239.7696228027344,927.0,472.0
32,32,-1.8519925820775287,-0.5195097580605912,0,21.555678898139583,440.0,148.0,515.9354248046875,237.9088287353516,921.0,456.0
33,33,-1.1185468325931285,-0.4915921066693995,0,21.506383764216054,440.0,149.0,517.9664916992188,238.3937530517578,900.0,444.0
34,34,-1.5274701579687249,-0.5723455425072183,0,21.57918999012183,438.0,151.0,520.0233154296875,246.3184356689453,926.0,486.0
35,35,-0.2180463142502376,-0.6296130933238461,0,21.632835790103464,438.0,156.0,516.8783569335938,246.3873748779297,570.0,514.0
36,36,-0.2824980084234633,-0.509995348750174,0,21.55523578505941,439.0,157.0,517.8681030273438,247.79022216796875,607.0,462.0
37,37,-0.2802753341776831,-0.5114132157145322,0,21.42552691533597,439.0,157.0,517.79248046875,247.7630615234375,606.0,462.0
38,38,0.8297951892979413,-0.6107717612437535,0,21.497565425973573,439.0,162.0,518.0831298828125,251.7421112060547,156.0,511.0
39,39,-0.2349536587467146,-0.6888567096693129,0,21.76055782679976,435.0,159.0,523.692626953125,261.55426025390625,575.0,548.0
40,40,-0.7793613098384568,-0.5703995706986974,0,21.54737355834682,435.0,163.0,524.1930541992188,267.3599548339844,794.0,502.0
41,41,-0.5353321307289699,-0.7177405559039853,0,21.449412919854357,438.0,171.0,522.4970703125,262.888671875,684.0,566.0
42,42,-0.597074324809149,-0.5173760333952196,0,21.47137357686952,438.0,175.0,521.4436645507812,263.90692138671875,739.0,482.0
43,43,-0.6082750477218043,-0.539668822248055,0,21.676997896542996,438.0,174.0,521.5206298828125,263.99578857421875,740.0,491.0
44,44,-0.9098601979939744,-0.4079568642160061,0,21.58241011840135,438.0,177.0,521.6812133789062,267.697265625,865.0,433.0
45,45,-0.8782732432528716,-0.617140444674569,0,21.602307375360528,434.0,172.0,526.4658813476562,273.6458740234375,814.0,530.0
46,46,-0.8777645794846665,-0.6584870858624853,0,21.460936660543695,434.0,173.0,527.4332885742188,277.1904602050781,804.0,551.0
47,47,-0.8221298127323662,-0.5227364440373312,0,21.575526874861755,433.0,174.0,527.592529296875,280.1535339355469,818.0,493.0
48,48,-0.7477866056383682,-0.5251561922037772,0,21.720553279855828,433.0,175.0,526.7808227539062,279.6512145996094,792.0,494.0
49,49,-0.7477866056383682,-0.5251561922037772,0,21.658975894904263,433.0,175.0,526.823974609375,279.6526184082031,792.0,494.0
50,50,-0.7355278088246245,-0.6246958326871238,0,21.80479005183071,432.0,174.0,527.0604248046875,278.70440673828125,769.0,537.0
51,51,-0.7968241897383241,-0.6603113512091896,0,21.63718809163928,431.0,174.0,527.3275756835938,277.77947998046875,779.0,551.0
52,52,-0.9007476596920504,-0.7036066273667168,0,21.615555475389225,431.0,173.0,526.881591796875,277.2747497558594,796.0,569.0
53,53,-0.9310597592193324,-0.5064072718135103,0,21.65159665080168,430.0,173.0,526.3787231445312,275.00372314453125,851.0,482.0
54,54,-0.9612911649655848,-0.4679152729980501,0,21.695386573008427,430.0,173.0,526.3937377929688,274.9913024902344,867.0,463.0
55,55,-0.9498531543998032,-0.4706892215894766,0,21.777957776462404,430.0,173.0,526.1004028320312,274.5046081542969,864.0,464.0
56,56,-0.966892991160512,-0.4413052337020873,0,21.625028356946935,430.0,173.0,525.7741088867188,272.96954345703125,873.0,449.0
57,57,-0.9771932993086114,-0.4917388468454629,0,21.813748842821333,430.0,174.0,524.9052124023438,270.4698486328125,866.0,473.0
58,58,-0.9864609667440326,-0.6759973700297562,0,21.495582296385887,430.0,174.0,525.3123168945312,269.9363098144531,823.0,554.0
59,59,-0.5250374152191596,-0.647588099101336,0,21.712345218867767,429.0,175.0,523.4002685546875,272.43048095703125,689.0,544.0
60,60,-0.4101558363280845,-0.5012335487638134,0,21.75593005825021,427.0,174.0,522.1995849609375,272.91192626953125,660.0,479.0
61,61,-0.4129516228404497,-0.500953117901028,0,21.696172149803434,427.0,174.0,522.2296752929688,272.8992004394531,661.0,478.0
62,62,-0.5740531613981771,-0.659888973860303,0,21.814089195163177,426.0,174.0,521.0919799804688,271.22467041015625,701.0,548.0
63,63,-0.5186953633992449,-0.5912936673470229,0,21.808077866977246,425.0,173.0,521.1117553710938,272.3674621582031,692.0,519.0
64,64,-0.6852057821309232,-0.4894756925511135,0,21.64645651410995,425.0,173.0,519.9251708984375,274.4140014648437,769.0,473.0
65,65,-0.7414991486208001,-0.5585543628022429,0,21.844195614811728,424.0,174.0,518.453369140625,275.1959533691406,776.0,506.0
66,66,-0.7552961872801736,-0.7003812729705217,0,21.87016508327163,423.0,174.0,518.375244140625,274.5461120605469,749.0,567.0
67,67,-0.749023111332492,-0.5755482600341476,0,21.66949441511072,424.0,174.0,518.3412475585938,274.6558837890625,775.0,514.0
68,68,-0.7803365594296438,-0.5255913527258962,0,21.609207719811643,423.0,173.0,516.8971557617188,272.78790283203125,793.0,489.0
69,69,-0.7474393294322218,-0.4664089890855012,0,21.74634217157315,423.0,173.0,515.933349609375,274.3126220703125,792.0,462.0
70,70,-0.7920731103536228,-0.386680337635145,0,21.891167966262696,423.0,173.0,514.5277099609375,275.1711730957031,819.0,425.0
71,71,-0.9518278883480972,-0.3270399102872565,0,21.57042278872906,422.0,172.0,514.434814453125,274.76080322265625,878.0,394.0
72,72,-0.9434778130662628,-0.3663524290345702,0,22.00452229934264,422.0,173.0,514.7023315429688,274.0147399902344,870.0,414.0
73,73,-0.9126894071780202,-0.336868838922412,0,21.719428521124936,422.0,173.0,514.7142944335938,273.8983459472656,865.0,399.0
74,74,-0.9517864761931464,-0.3778863133995944,0,21.286345043188764,420.0,173.0,514.6996459960938,272.6915283203125,870.0,418.0
75,75,-0.9531786436529852,-0.4042633261001752,0,21.856033683157374,420.0,173.0,513.0764770507812,271.74517822265625,865.0,431.0
76,76,-0.9506230742709452,-0.3757445992509527,0,21.874385251245144,420.0,173.0,513.4891357421875,272.21661376953125,869.0,417.0
77,77,-0.9105028187650106,-0.4118400194014506,0,21.81624500665779,420.0,174.0,512.3565063476562,272.2873840332031,851.0,436.0
78,78,-0.9587112276595704,-0.5509241399630569,0,21.743185659039305,419.0,173.0,511.6319580078125,270.1705627441406,836.0,499.0
79,79,-0.9568239785530858,-0.5144465561961326,0,21.86229938858802,419.0,173.0,511.66998291015625,270.2001342773437,844.0,483.0
80,80,-0.990806979326933,-0.5862637549961904,0,21.680471415279644,419.0,173.0,511.5500183105469,270.6564636230469,836.0,515.0
81,81,-0.965742372411543,-0.5360799463630642,0,21.773322604926417,419.0,173.0,511.3557739257813,271.34063720703125,841.0,494.0
82,82,-0.964463522456087,-0.4809876655248131,0,22.02960177316512,420.0,173.0,511.0188903808594,270.629638671875,853.0,467.0
83,83,-0.9597509257491372,-0.4722911129851593,0,22.048825619782576,419.0,173.0,511.3524169921875,271.1981201171875,853.0,464.0
84,84,-0.9455143323518462,-0.3870214885707842,0,21.739804698028323,419.0,174.0,511.4207458496094,272.1409606933594,864.0,424.0
85,85,-0.9452200530513925,-0.3867085671426998,0,21.87016508327163,419.0,174.0,511.2242431640625,272.0852966308594,864.0,424.0
86,86,-1.0269291642463865,-0.4163607353518601,0,22.087141518078127,421.0,181.0,508.9143981933594,269.9985656738281,880.0,440.0
87,87,-1.0107495285177732,-0.3257887572071373,0,22.16464271748206,422.0,180.0,508.3491516113281,268.679931640625,892.0,394.0
88,88,-0.9502916438732848,-0.2874349764522522,0,21.92664464054201,420.0,174.0,511.9235229492188,271.3168334960937,880.0,373.0
89,89,-1.0193567320028547,-0.3762002661134652,0,22.00348337005561,421.0,174.0,514.178955078125,271.3989562988281,888.0,417.0
90,90,-1.0422155757453866,-0.3395343968574723,0,21.69392779559325,421.0,171.0,514.429443359375,270.7822265625,900.0,397.0
91,91,-1.0344715027695996,-0.3403762220780463,0,22.129326354887727,421.0,171.0,514.2005004882812,270.6846923828125,898.0,398.0
92,92,-1.1142864406392743,-0.3931065453455063,0,21.83634858573816,426.0,178.0,511.164794921875,266.1126403808594,909.0,426.0
93,93,-1.0685550378745972,-0.4438522809686391,0,21.93467142214645,426.0,177.0,511.17724609375,266.1260986328125,889.0,449.0
94,94,-1.0566938510116022,-0.3798152409771387,0,21.793007414489168,429.0,174.0,510.2155151367188,263.5567932128906,899.0,415.0
95,95,-1.049277080533786,-0.4037786307817808,0,21.95591337622296,428.0,172.0,511.2243957519531,265.6554260253906,893.0,427.0
96,96,-1.0080133968138258,-0.3477654288385802,0,21.81511031591649,427.0,167.0,511.500244140625,267.0175476074219,892.0,398.0
97,97,-0.9997382895166772,-0.3525471345758175,0,21.99090856660497,427.0,167.0,511.4016418457031,267.07281494140625,889.0,401.0
98,98,-1.0057201487991587,-0.3486860836274206,0,21.735974213073806,424.0,163.0,509.1658325195313,264.6365966796875,888.0,395.0
99,99,-1.022102584244781,-0.3265432307439567,0,21.92618614474207,426.0,161.0,509.41156005859375,261.7740173339844,897.0,382.0
100,100,-1.0497813500861926,-0.2741271604851262,0,21.88362968528258,429.0,160.0,508.7798461914063,254.202392578125,912.0,351.0
101,101,-0.9845477518169196,-0.086579367038476,0,21.85979267536339,430.0,155.0,508.8829956054688,248.9726104736328,911.0,247.0
102,102,-1.027582570819837,0.0311129120670687,0,21.8394184908254,428.0,148.0,506.2624816894531,243.8925323486328,922.0,178.0
103,103,-1.0212702132460767,0.0319368941083392,0,21.726403903631684,428.0,149.0,505.9711608886719,243.6397705078125,919.0,179.0
104,104,-1.2227556602576566,0.0610910511936546,0,21.53686264441592,428.0,145.0,502.3082275390625,236.23768615722656,964.0,158.0
105,105,-0.986706510196538,0.0140668168777985,0,21.89562484665299,425.0,140.0,498.8117370605469,234.511962890625,905.0,180.0
106,106,-0.9023697911120176,-0.0461067753203238,0,21.48699296113769,422.0,137.0,495.2018737792969,229.436767578125,875.0,208.0
107,107,-0.923352837340752,-0.2486574867679354,0,21.622464287371315,420.0,135.0,491.66802978515625,226.24278259277344,866.0,311.0
108,108,-0.833179001778996,-0.085134868463217,0,21.784405075388108,414.0,134.0,485.4672546386719,223.58251953125,841.0,223.0
109,109,-0.8383141089928867,-0.0814213566392105,0,21.713244429719207,414.0,134.0,485.5020751953125,223.5803985595703,843.0,221.0
110,110,-1.0042708565339376,-0.1644075867349516,0,21.768689406049536,410.0,133.0,479.1686401367188,221.2353363037109,887.0,264.0
111,111,0.3749991804618395,-0.0490010987930219,1,21.73293331882504,406.0,132.0,473.45892333984375,218.0835418701172,244.0,201.0
112,112,0.0555844330076978,-0.0792990835665264,1,21.554792690196724,399.0,133.0,468.489013671875,218.7341766357422,404.0,217.0
113,113,0.0913799812194528,0.0212461665444341,1,21.804109937981835,396.0,134.0,464.5905151367188,219.04312133789065,381.0,165.0
114,114,0.0795302459491453,0.0898563867598185,1,21.671061877402558,394.0,135.0,461.4723205566406,217.71218872070312,385.0,128.0
115,115,0.1000672126952913,0.1050936629367069,1,21.626923929689237,394.0,136.0,461.3725891113281,217.68003845214844,374.0,120.0
116,116,0.0926990449073691,0.1052433325899693,1,21.5978578784758,391.0,135.0,459.3581848144531,218.4962158203125,376.0,120.0
117,117,0.0654951206883187,0.1354643520079705,1,21.671285819098696,387.0,134.0,455.52197265625,219.48040771484372,387.0,104.0
118,118,0.133398271634287,0.1453444133360555,1,21.72302815916636,385.0,135.0,452.82330322265625,219.739501953125,348.0,100.0
119,119,0.1492089263938694,0.10439218630558,1,21.778070854080884,383.0,135.0,450.4859008789063,218.91835021972656,337.0,121.0
120,120,0.1566423416284986,0.1345290498331347,1,21.65707469961636,381.0,137.0,448.3484191894531,218.4174652099609,332.0,106.0
121,121,0.1566295584552662,0.1345458277480022,1,21.63093918093067,381.0,137.0,448.3514099121094,218.41624450683597,332.0,106.0
122,122,0.1377850305818656,0.1478973195570054,1,21.49227789335601,380.0,138.0,447.9599304199219,219.2714691162109,341.0,100.0
123,123,0.1524955334951362,0.1380143287517214,1,21.72820472971223,380.0,138.0,447.5375061035156,218.7875213623047,333.0,105.0
124,124,0.4566421121037446,-0.0116028602372572,1,21.76688186328441,379.0,136.0,447.1624145507813,218.11866760253903,178.0,183.0
125,125,0.4481873745910701,-0.0058429754316338,1,21.731244300754373,378.0,135.0,446.78558349609375,217.9976501464844,181.0,179.0
126,126,0.4668353611760229,-0.0210853116145933,1,21.20938323295762,377.0,134.0,445.7953796386719,217.99522399902344,172.0,186.0
127,127,0.4550455470302422,-0.0561833779368566,1,20.43022128700091,377.0,134.0,445.8221740722656,218.0382537841797,178.0,206.0
128,128,0.5131748967756197,-0.071253141281179,1,21.425636362707586,377.0,133.0,445.2713317871094,218.2204742431641,150.0,213.0
129,129,0.4932717623689125,-0.0215684090363337,1,21.568093465248783,377.0,133.0,445.31005859375,218.5525054931641,159.0,186.0
130,130,0.4956923094836855,-0.0402214556273577,1,21.771401283142666,377.0,132.0,444.85302734375,218.68572998046875,157.0,196.0
131,131,0.5022093309872184,-0.0680461626965056,1,21.65908774031634,377.0,133.0,444.9401245117188,220.10047912597656,155.0,212.0
132,132,0.4966015126798386,-0.0970714227850612,1,21.77241841125813,376.0,134.0,445.3613586425781,221.87217712402344,158.0,229.0
133,133,0.4965458526130559,-0.0968783436060304,1,21.566984440399427,376.0,134.0,445.3573913574219,221.96267700195312,158.0,228.0
134,134,0.5102712522391063,-0.3447097178038233,1,21.661660503646168,376.0,135.0,445.6750183105469,223.75390625,165.0,359.0
135,135,0.5837859499179806,-0.4634302434062476,1,21.75660716971932,375.0,136.0,445.6156921386719,224.7941131591797,148.0,418.0
136,136,0.6558327132040033,-0.4916986331130027,1,21.56543199720297,374.0,137.0,446.7356262207031,228.04698181152344,124.0,433.0
137,137,0.7237624957608724,-0.3889181918991386,1,21.575526874861755,374.0,138.0,446.9559631347656,230.9540100097656,84.0,386.0
138,138,0.658108650671585,-0.312872692236362,1,21.41447848751423,374.0,140.0,446.718017578125,234.99526977539065,100.0,351.0
139,139,0.6262071766057438,-0.3204400644738222,1,21.652379059526822,374.0,140.0,446.7414855957031,235.11911010742188,114.0,355.0
140,140,0.6414593664847366,-0.1740144077351945,1,21.484681620505786,375.0,144.0,448.1149291992188,238.5819396972656,97.0,283.0
141,141,0.6331066280418121,-0.1525983315132133,1,21.74217126032212,374.0,146.0,447.9576110839844,240.83030700683597,99.0,274.0
142,142,0.6321273837089899,-0.1586873830295704,1,21.593632553877203,373.0,146.0,446.3512573242188,241.0980529785156,99.0,277.0
143,143,0.6966411295356145,-0.1581443644833033,1,21.83680333203176,371.0,144.0,444.4035949707031,239.791748046875,70.0,275.0
144,144,0.6383064500701917,-0.1465140736868183,1,21.521281126373204,370.0,142.0,441.9077453613281,239.13331604003903,91.0,268.0
145,145,0.6381317467026826,-0.1468373814431539,1,21.935589142827254,370.0,142.0,441.8675231933594,239.1562347412109,92.0,268.0
146,146,0.661638138064267,-0.1513277373571365,1,21.763267678130383,368.0,141.0,440.65423583984375,238.0641326904297,81.0,269.0
147,147,0.7132312915462631,-0.2057443742268346,1,21.71841633785897,366.0,141.0,439.38482666015625,239.2795867919922,61.0,299.0
148,148,1.0237377651540895,-0.7448725747736035,0,21.79765097183245,365.0,144.0,438.4787292480469,240.645263671875,67.0,553.0
149,149,1.4989527627000467,-0.9741217424653684,0,21.698416968442835,363.0,148.0,439.2478942871094,243.70021057128903,103.0,635.0
150,150,-1.7654078887168732,-1.0458914038399685,0,21.99955941128956,365.0,154.0,439.5511474609375,247.4613494873047,664.0,660.0
151,151,-1.707588930396544,-1.0527210804554763,0,21.887283960925107,365.0,154.0,439.4208068847656,247.3677978515625,663.0,662.0
152,152,-2.8921085216194973,-0.8426531973569528,0,21.709198567317447,364.0,159.0,439.5159912109375,253.02365112304688,488.0,603.0
153,153,-2.7103959804373194,-0.6869078083835929,0,21.79413980701581,364.0,164.0,441.0632019042969,257.21929931640625,574.0,547.0
154,154,-1.0298668972448526,-0.3962192480275909,0,21.681031764493035,364.0,167.0,444.6822814941406,259.6344909667969,825.0,418.0
155,155,-0.8158583346813385,-0.3638202954701229,0,21.80853143653418,365.0,170.0,445.0997924804688,259.81109619140625,767.0,403.0
156,156,-0.5385817198910847,-0.3388488991928859,0,21.44162768703832,367.0,172.0,444.2633361816406,260.60711669921875,662.0,393.0
157,157,-0.5397828055427104,-0.3390704741955805,0,21.81783377201652,367.0,172.0,444.2403564453125,260.57867431640625,663.0,393.0
158,158,-0.987082015910239,-0.3833753547223567,0,21.94568914096755,368.0,172.0,444.2769775390625,260.99835205078125,818.0,415.0
159,159,-0.7274792033781871,-0.3506227343721262,0,21.860362332436885,368.0,172.0,444.471923828125,260.668701171875,738.0,399.0
160,160,-0.934229853022908,-0.3825180831674602,0,21.707513236275936,367.0,171.0,444.7728576660156,260.7420654296875,802.0,414.0
161,161,-0.8202341746684477,-0.3516499156045698,0,21.921487668096983,368.0,171.0,445.6640319824219,260.7471618652344,771.0,398.0
162,162,-0.9368988730673856,-0.3196890530464198,0,21.9050016451062,369.0,172.0,446.2706604003906,261.1688842773437,814.0,383.0
163,163,-0.8087186661149451,-0.3197697468274492,0,21.796291677059948,369.0,172.0,446.2567443847656,261.1962890625,772.0,383.0
164,164,-0.7952744963000071,-0.3503982298922325,0,21.783499961048065,369.0,174.0,447.3415832519531,261.7886962890625,765.0,400.0
165,165,-0.512209767196575,-0.4113747651590138,0,21.597969093558667,369.0,177.0,449.1598815917969,263.5176086425781,648.0,433.0
166,166,-0.4486590204201231,-0.4238567348721062,0,21.99782869790055,369.0,181.0,450.1282043457031,263.5580749511719,619.0,441.0
167,167,-0.1972954956685582,-0.3188341783365044,0,22.07598134677937,368.0,183.0,451.250732421875,264.0741577148437,508.0,390.0
168,168,-0.3487265636759898,-0.3757722961262895,0,20.67147356125833,370.0,185.0,451.7615966796875,265.9870300292969,579.0,420.0
169,169,-0.3461009531572807,-0.3694965570175178,0,21.80059669220454,370.0,185.0,451.73095703125,265.9810485839844,578.0,417.0
170,170,-1.050601071069719,-0.3501377727376228,0,21.677109928161663,372.0,189.0,450.6146545410156,268.3902282714844,845.0,410.0
171,171,-0.195274422717297,-0.3393445134717496,0,22.12757516446761,371.0,192.0,451.2014770507813,269.8609313964844,508.0,407.0
172,172,-0.4792600729256786,-0.3805657197723231,0,21.979384684717733,370.0,192.0,449.7784423828125,270.2807922363281,637.0,429.0
173,173,-0.5849891660984784,-0.3852584759291518,0,8.498424643239947,369.0,192.0,448.9840087890625,270.52685546875,680.0,431.0
174,174,-0.5767229803909815,-0.3701341177824827,0,20.737087228877535,368.0,192.0,448.2824096679688,270.00372314453125,678.0,423.0
175,175,-0.6130037565533489,-0.3858981672229887,0,21.89985484696275,368.0,192.0,448.3333129882813,269.71142578125,692.0,430.0
176,176,-0.640497432699,-0.3502592128833304,0,21.65707469961636,367.0,191.0,447.19970703125,269.5634765625,706.0,413.0
177,177,-0.6316014093936994,-0.3972882408891487,0,22.010873444026952,366.0,190.0,447.0121765136719,269.7166748046875,696.0,435.0
178,178,-0.6593640648094483,-0.4284751888345215,0,21.928134884328845,367.0,192.0,446.76507568359375,269.4006042480469,702.0,451.0
179,179,-0.7828378003254461,-0.3416289730548196,0,21.86195753020526,366.0,198.0,444.8614196777344,272.519775390625,759.0,413.0
180,180,-0.8981769102917969,-0.387553321840473,0,21.844423149035457,367.0,201.0,444.365478515625,273.72222900390625,790.0,438.0
181,181,-0.8990397744849825,-0.3876979314876643,0,21.85489484983013,367.0,201.0,444.3553771972656,273.7156066894531,791.0,438.0
182,182,-0.7913809547863113,-0.3828099656229329,0,22.015725878413136,366.0,203.0,444.3878173828125,274.9405212402344,756.0,437.0
183,183,-0.6585161143183671,-0.3607494044171525,0,21.708524403498785,365.0,202.0,444.57080078125,274.3308410644531,709.0,426.0
184,184,-0.6378574411104044,-0.331022135065252,0,21.652937957523257,365.0,203.0,444.9928588867188,274.6710205078125,704.0,411.0
185,185,-0.7078985777794884,-0.3354120898061386,0,21.71639225432329,365.0,201.0,446.2651672363281,274.544189453125,732.0,412.0
186,186,-0.6383187006112061,-0.409668744164709,0,21.49536197123909,364.0,201.0,445.6400146484375,274.8789978027344,695.0,449.0
187,187,-0.6374949848860447,-0.4082804382884507,0,21.42355705383594,364.0,201.0,445.5302734375,274.86968994140625,695.0,448.0
188,188,-0.5946644303387363,-0.4164337059657284,0,21.22795368045996,364.0,201.0,444.576171875,275.40191650390625,677.0,453.0
189,189,-0.6606407842360323,-0.3624351853871727,0,21.639309078151765,364.0,202.0,444.4054260253906,274.33795166015625,709.0,427.0
190,190,-0.5771586735453185,-0.3613182556259934,0,21.925842285475312,364.0,204.0,444.2500305175781,274.6190490722656,676.0,427.0
191,191,-0.6798000977502804,-0.4567912491247891,0,21.860704140932427,365.0,205.0,444.4469299316406,275.65167236328125,704.0,475.0
192,192,-0.3634919277077161,-0.3473803357449547,0,21.810232490419065,365.0,204.0,444.939208984375,275.6887512207031,582.0,420.0
193,193,-0.4136112878424623,-0.3558204258716338,0,21.83100673516338,364.0,204.0,444.8860778808594,275.7763671875,604.0,424.0
194,194,-0.4895784905691906,-0.339390586158608,0,21.571532167231545,364.0,204.0,445.5086669921875,275.0157775878906,640.0,416.0
195,195,-0.4715347752355767,-0.3059327607517245,0,21.808077866977246,365.0,202.0,446.7604675292969,273.784912109375,635.0,397.0
196,196,-0.4770387302604435,-0.3556846046560398,0,21.53277169420957,366.0,202.0,448.3319396972656,273.6049499511719,636.0,422.0
197,197,-0.4834100768523491,-0.3098356233292357,0,21.60531182230739,368.0,200.0,450.3409118652344,273.6311950683594,644.0,398.0
198,198,-0.5806570019532465,-0.3303893679902492,0,21.53841097691233,371.0,200.0,451.9596557617188,275.2320251464844,687.0,410.0
199,199,-0.5643525971275634,-0.3195383181287213,0,21.49183738304348,371.0,200.0,452.1050415039063,275.15301513671875,681.0,404.0
200,200,-0.4246958969315901,-0.3346666710170254,0,20.86043816676199,372.0,200.0,453.5694580078125,275.4877014160156,619.0,412.0
201,201,-0.4409374511555474,-0.3012932678166974,0,21.70560351073299,374.0,199.0,455.8773498535156,275.0143127441406,631.0,395.0
202,202,-0.3593179553312349,-0.3958149801741168,0,21.244942408801272,374.0,199.0,457.41253662109375,276.8464660644531,588.0,442.0
203,203,-0.3682129133720996,-0.3661729319770989,0,21.52603054688783,376.0,199.0,457.9736328125,275.8136291503906,595.0,427.0
204,204,-0.3647281670857309,-0.4124789117469606,0,21.729668120732352,376.0,197.0,457.1175231933594,275.5953063964844,590.0,449.0
205,205,-0.3650245769150567,-0.4116003349033435,0,21.578079823848377,376.0,197.0,457.1536865234375,275.53082275390625,590.0,449.0
206,206,-0.4847802732331949,-0.3904180842250712,0,21.64723855138137,378.0,196.0,458.2915954589844,275.1177978515625,647.0,437.0
207,207,-0.4199770417960787,-0.4237470126351949,0,21.670502043410195,378.0,194.0,458.6737365722656,272.7002258300781,616.0,452.0
208,208,-0.4429627851645527,-0.4511860939784993,0,21.676661808634893,379.0,192.0,459.5416259765625,271.0400085449219,624.0,463.0
