,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,42.0,42.0,4,28.24199901692108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1,1,1,-1.1788802144566557,-0.7612526133742449,4,22.74025720543905,552.0,227.0,718.6431884765625,352.7306823730469,991.0,656.0
2,2,2,2,-1.1864613019737298,-0.6809484528123225,4,22.405111029203592,552.0,225.0,720.3665771484375,352.7738342285156,1019.0,623.0
3,3,3,3,-1.178670490520812,-0.8121458881217681,4,19.935852464470745,550.0,225.0,719.416748046875,350.6514587402344,972.0,673.0
4,4,4,4,42.0,42.0,4,27.950473804160943,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5,5,5,5,42.0,42.0,4,28.833172931503835,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6,6,6,6,42.0,42.0,4,28.948195182552283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7,7,7,7,42.0,42.0,4,29.07179394762743,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8,8,8,8,42.0,42.0,4,29.33961960589548,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
9,9,9,9,42.0,42.0,4,29.25102168909966,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10,10,10,10,42.0,42.0,4,28.95538956466511,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
11,11,11,11,42.0,42.0,4,29.353582151180287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
12,12,12,12,42.0,42.0,4,29.06695865500561,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
13,13,13,13,42.0,42.0,4,29.24959378508616,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,14,14,14,42.0,42.0,4,29.3696143854465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
15,15,15,15,42.0,42.0,4,29.141074542662803,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
16,16,16,16,42.0,42.0,4,29.33838825430356,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
17,17,17,17,42.0,42.0,4,29.315831778183167,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
18,18,18,18,42.0,42.0,4,29.13176410121061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
19,19,19,19,42.0,42.0,4,29.29515135429617,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
20,20,20,20,-0.4488462406447557,-0.7992279589382297,4,22.563850962417828,543.0,229.0,697.4320068359375,352.078857421875,781.0,671.0
21,21,21,21,-1.263108276568701,-0.946481059827545,4,22.37391712542141,546.0,231.0,698.325439453125,355.4194030761719,918.0,725.0
22,22,22,22,42.0,42.0,4,28.884998657089533,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
23,23,23,23,42.0,42.0,4,28.703534644995724,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
24,24,24,24,-1.5855566308205518,-0.8344796896553907,4,22.1924369169881,542.0,223.0,704.39208984375,356.1231384277344,980.0,683.0
25,25,25,25,-1.3227674792022743,-0.8258284108542682,4,20.448448682696625,540.0,223.0,702.7705078125,357.9293518066406,971.0,681.0
26,26,26,26,-1.5667686951203152,-0.7809797128328978,4,22.343524097187817,547.0,223.0,704.2752075195312,354.49566650390625,1003.0,663.0
27,27,27,27,-1.510182780384693,-0.8730092390422209,4,21.687421793400137,549.0,221.0,701.0054321289062,352.27642822265625,966.0,694.0
28,28,28,28,-1.511122343617273,-0.9500643430742468,4,20.451439883756084,549.0,222.0,700.7866821289062,355.9548034667969,933.0,721.0
29,29,29,29,-0.6262412650676968,-0.9955386176356766,4,22.011682034542297,542.0,220.0,701.1515502929688,358.6103515625,791.0,735.0
30,30,30,30,-0.2905117264596207,-0.9945054442907804,4,22.369979253001382,546.0,226.0,697.6458740234375,355.9367370605469,704.0,736.0
31,31,31,31,42.0,42.0,4,29.43391883451814,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
32,32,32,32,0.0118063257445392,-0.9591885992849672,4,22.599960126947177,548.0,229.0,698.6400756835938,354.96405029296875,619.0,727.0
33,33,33,33,42.0,42.0,4,27.71792414800325,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
34,34,34,34,42.0,42.0,4,25.96818910702898,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
35,35,35,35,42.0,42.0,4,28.647465012874715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,36,36,36,42.0,42.0,4,28.44772414354411,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
37,37,37,37,42.0,42.0,4,26.751946933699013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
38,38,38,38,42.0,42.0,4,28.671944000109374,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
39,39,39,39,42.0,42.0,4,28.82564292881393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
40,40,40,40,42.0,42.0,4,28.964787613858444,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
41,41,41,41,42.0,42.0,4,28.567661081596512,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
42,42,42,42,42.0,42.0,4,28.774029787263235,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
43,43,43,43,42.0,42.0,4,29.0325536966408,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
44,44,44,44,42.0,42.0,4,29.113767301098108,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
45,45,45,45,42.0,42.0,4,29.04964539007092,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
46,46,46,46,42.0,42.0,4,29.190153734802248,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
47,47,47,47,42.0,42.0,4,29.00123768366465,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
48,48,48,48,-1.3425647529556508,-0.8711136009783027,4,22.34995337436389,539.0,230.0,697.2742309570312,355.7802124023437,952.0,699.0
49,49,49,49,42.0,42.0,4,29.329976783866183,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
50,50,50,50,42.0,42.0,4,29.35255504079948,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
51,51,51,51,42.0,42.0,4,28.929227161430493,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
52,52,52,52,42.0,42.0,4,29.4750808151792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
53,53,53,53,42.0,42.0,4,29.51926636497357,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
54,54,54,54,42.0,42.0,4,29.74282898049199,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
55,55,55,55,0.5849018144147238,-1.086729514417734,4,22.45212541017392,539.0,227.0,687.343017578125,350.3432312011719,476.0,759.0
56,56,56,56,-0.7864535741374467,-1.0608760791874627,4,21.972821474597403,540.0,224.0,689.9401245117188,350.6505126953125,798.0,751.0
57,57,57,57,-1.3259495572307556,-0.9984529148165504,4,19.99782585892876,543.0,229.0,692.573974609375,356.22576904296875,897.0,739.0
58,58,58,58,-1.243250149584416,-1.035612534138644,4,22.31036500388302,545.0,226.0,689.1947021484375,349.7669677734375,874.0,745.0
59,59,59,59,-1.0870882422165675,-0.9885731198045744,4,22.379886241155944,542.0,226.0,692.6612548828125,352.9239196777344,876.0,733.0
60,60,60,60,42.0,42.0,4,29.07642927951973,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
61,61,61,61,42.0,42.0,4,29.491038720882,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
62,62,62,62,42.0,42.0,4,29.35892428410435,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
63,63,63,63,42.0,42.0,4,29.45252055698727,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
64,64,64,64,42.0,42.0,4,29.75021279010384,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
65,65,65,65,42.0,42.0,4,29.622882971961296,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
66,66,66,66,42.0,42.0,4,29.72091012804433,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
67,67,67,67,42.0,42.0,4,29.74282898049199,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
68,68,68,68,42.0,42.0,4,29.496016146386403,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
69,69,69,69,42.0,42.0,4,29.344751350292448,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
70,70,70,70,42.0,42.0,4,29.772808904221414,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
71,71,71,71,42.0,42.0,4,29.72701886685472,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
72,72,72,72,42.0,42.0,4,28.218248361791737,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
73,73,73,73,42.0,42.0,4,29.83273823918517,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
74,74,74,74,42.0,42.0,4,29.421737117524096,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,75,75,75,42.0,42.0,4,28.71493218865315,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
76,76,76,76,42.0,42.0,4,28.445023159922144,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
77,77,77,77,42.0,42.0,4,28.964787613858444,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
78,78,78,78,42.0,42.0,4,30.298221535172,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
79,79,79,79,42.0,42.0,4,30.22486128125676,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
80,80,80,80,42.0,42.0,4,29.86119891784137,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
81,81,81,81,42.0,42.0,4,29.4678329293568,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
82,82,82,82,42.0,42.0,4,29.52903407490848,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83,83,83,83,42.0,42.0,4,29.755489184798417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84,84,84,84,42.0,42.0,4,29.472181233048047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
85,85,85,85,42.0,42.0,4,29.45148651115761,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
86,86,86,86,42.0,42.0,4,29.632928741998843,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
87,87,87,87,42.0,42.0,4,29.297811554822893,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
