,level_0,Unnamed: 0,index,yaw,pitch,class,fps,hleft,htop,hright,hbottom,gazex,gazey
0,0,0,0,1.1452215867035802,-0.7509453810073111,0,21.74487653392919,601.0,210.0,740.5081176757812,350.7373962402344,316.0,643.0
1,1,1,1,1.2326598231936068,-0.7324433356500947,0,20.079296461723324,600.0,205.0,742.662841796875,349.5725402832031,298.0,633.0
2,2,2,2,1.217845456997823,-0.5621810555747128,0,22.121856540084387,598.0,198.0,741.6830444335938,348.4688720703125,247.0,557.0
3,3,3,3,1.1234635605976329,-0.568706865509843,0,22.07063776047148,598.0,192.0,743.3692016601562,353.1650695800781,266.0,559.0
4,4,4,4,1.1223349129276574,-0.5270845871491036,0,21.670390080082665,598.0,194.0,739.1063232421875,354.9900817871094,254.0,542.0
5,5,5,5,1.094969334830439,-0.5733631363597376,0,20.900041856849576,598.0,193.0,742.1622314453125,358.6986694335937,273.0,564.0
6,6,6,6,1.139627883149978,-0.6720050252396185,0,22.109262656292827,598.0,199.0,743.915283203125,356.0223693847656,292.0,608.0
7,7,7,7,1.1681055973184131,-0.7395355999490848,0,22.18797577168249,600.0,210.0,745.9738159179688,365.8778076171875,310.0,646.0
8,8,8,8,1.1528866969530462,-0.7030305856229326,0,21.693703385710297,602.0,215.0,746.2691650390625,377.8873901367188,303.0,640.0
9,9,9,9,1.031879314922571,-0.7501208663338226,0,20.72438174765917,598.0,220.0,744.5603637695312,380.9645385742188,337.0,663.0
10,10,10,10,1.1463630175467885,-0.7848210563892281,0,22.301112316297665,597.0,220.0,743.927490234375,386.7210083007813,327.0,679.0
11,11,11,11,1.1580367178690416,-0.8161459560790671,0,22.32794250731967,595.0,219.0,745.2910766601562,387.0552368164063,336.0,691.0
12,12,12,12,0.8999359281917942,-0.7865172236874995,0,21.909235269536147,593.0,217.0,740.125732421875,383.5919799804688,372.0,677.0
13,13,13,13,42.0,42.0,0,26.85540494682452,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14,14,14,14,0.9569283744678168,-0.7312065636398619,1,21.663003057598544,591.0,213.0,739.9401245117188,386.62152099609375,341.0,654.0
15,15,15,15,0.9629244816621304,-0.7633309442889427,1,22.330795523516446,588.0,212.0,740.6473999023438,386.6383666992188,348.0,667.0
16,16,16,16,0.9644459455928924,-0.792781511203584,1,22.07098617637618,587.0,218.0,739.5343017578125,384.237060546875,356.0,680.0
17,17,17,17,1.2263196355864552,-0.7425742667528651,1,21.68921616282798,590.0,223.0,735.4442749023438,388.6681518554688,293.0,665.0
18,18,18,18,1.0519582179612237,-0.6801295307771231,1,20.66750105941599,588.0,219.0,737.59521484375,380.4329833984375,303.0,634.0
19,19,19,19,1.096213031059506,-0.5614260494056753,1,21.954879031835933,591.0,217.0,735.6689453125,370.771728515625,262.0,576.0
20,20,20,20,1.0586230449052556,-0.5555527139376146,1,22.01329939381216,590.0,204.0,740.5751953125,357.5914001464844,271.0,561.0
21,21,21,21,0.3665646829734496,-0.4612690881816483,1,21.387834192558145,594.0,196.0,740.465087890625,354.49334716796875,496.0,512.0
22,22,22,22,0.7639125786710161,-0.4333791336657935,1,21.09269754740987,592.0,189.0,744.8275146484375,360.05230712890625,334.0,497.0
23,23,23,23,0.4447929094656551,-0.5415966845611634,1,21.89768248051331,596.0,188.0,746.0791625976562,351.3215637207031,475.0,543.0
24,24,24,24,0.5212733033344417,-0.69723022076874,1,22.13855386710441,598.0,185.0,747.7076416015625,342.96539306640625,469.0,605.0
25,25,25,25,0.2845502403594783,-0.6454980502778418,1,19.67678738975417,597.0,178.0,747.0869140625,339.15692138671875,553.0,578.0
26,26,26,26,0.2511504718643585,-0.6567656185338581,1,21.7015604950536,597.0,168.0,749.5791625976562,333.7502746582031,568.0,575.0
27,27,27,27,0.4597510863603032,-0.6812195626112926,1,22.219359213426003,600.0,167.0,747.8162231445312,328.440185546875,490.0,582.0
28,28,28,28,0.7090663739174882,-0.7396170926784412,1,21.87472749840932,600.0,157.0,746.3272094726562,325.06109619140625,417.0,600.0
29,29,29,29,0.7801666497520966,-0.6206835141888105,1,20.57544272749571,600.0,152.0,747.3639526367188,317.7884216308594,369.0,543.0
30,30,30,30,0.9776794593656052,-0.836841913542291,1,22.12559081701553,596.0,137.0,744.0930786132812,300.4073486328125,375.0,613.0
31,31,31,31,1.2327533001478683,-0.9024821765100188,1,22.03365220451883,597.0,124.0,738.753173828125,290.7023620605469,356.0,625.0
32,32,32,32,1.0999664902998638,-0.959420826932022,1,19.20926227856449,597.0,109.0,734.0408325195312,273.0578308105469,393.0,627.0
33,33,33,33,0.7947293472248679,-0.8473142618968095,1,22.16886013594224,592.0,91.0,731.7772216796875,258.4202880859375,410.0,573.0
34,34,34,34,-0.2340114323530446,-0.5804825649018464,1,22.117073839517825,589.0,73.0,733.3130493164062,242.939453125,764.0,449.0
35,35,35,35,0.9227448376638868,-0.7350489724606282,1,21.77309654946869,585.0,63.0,728.5140380859375,231.4825592041016,341.0,504.0
36,36,36,36,0.420255342129992,-0.7406362844276144,1,20.6425804800504,586.0,57.0,724.1537475585938,220.8956298828125,495.0,497.0
37,37,37,37,0.2144499815141946,-0.7021269750650687,1,22.13995618781177,584.0,47.0,718.9607543945312,209.94305419921875,565.0,472.0
38,38,38,38,0.1661301193280149,-0.8156500754840944,1,22.08842100828388,579.0,36.0,716.9722290039062,201.43557739257807,587.0,505.0
39,39,39,39,0.5230552244198137,-1.0171999709940542,1,21.449193540138893,575.0,40.0,708.859130859375,194.9322967529297,501.0,570.0
40,40,40,40,0.5625760023643716,-1.1433845381836436,1,20.960410982179447,570.0,38.0,703.17578125,192.8009033203125,518.0,599.0
41,41,41,41,0.9788294123243017,-1.13748776689799,1,22.212651926386865,558.0,41.0,696.275146484375,195.8208923339844,442.0,601.0
42,42,42,42,1.163566505556482,-1.1039733493179424,1,22.267724227269348,554.0,40.0,689.7608032226562,196.88807678222656,401.0,593.0
43,43,43,43,0.8236289061099717,-1.113381099026702,1,21.780671963441865,548.0,44.0,688.944580078125,200.1307678222656,446.0,599.0
44,44,44,44,0.9780333934744768,-1.1026617424810785,1,20.82325840019064,538.0,55.0,679.8161010742188,210.55422973632807,409.0,607.0
45,45,45,45,-0.8552347692948141,-1.0071899474047734,1,22.276949224559168,525.0,67.0,670.8273315429688,223.537109375,812.0,595.0
46,46,46,46,0.2273282295974907,-0.9279834086861272,1,22.23643988272904,519.0,77.0,657.8215942382812,231.66392517089844,516.0,580.0
47,47,47,47,-1.157911815613917,-0.6534478524478373,1,19.43327881536944,509.0,97.0,651.0382080078125,243.01991271972656,967.0,493.0
48,48,48,48,-0.8733157688836891,-0.6916064234948196,4,22.04071508896573,509.0,122.0,631.79052734375,251.3423614501953,884.0,525.0
49,49,49,49,-1.69482692929483,-0.7180627983958847,4,22.06019039604481,486.0,131.0,622.9490356445312,267.0155639648437,952.0,549.0
50,50,50,50,42.0,42.0,4,26.39670222473961,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
