yaw,pitch,class,fps,hleft,htop,hright,hbottom
42.0,42.0,4.0,18.891048796086945,-1.0,-1.0,-1.0,-1.0
-1.1788802144566557,-0.7612526133742449,2.0,22.75765451457654,552.6849365234375,227.60708618164062,718.6431884765625,352.7306823730469
-1.1864613019737298,-0.6809484528123225,2.0,22.78052118749932,552.4834594726562,225.8623046875,720.3665771484375,352.7738342285156
-1.1786704905208119,-0.8121458881217681,2.0,22.54117470025205,550.2410888671875,225.80130004882812,719.416748046875,350.6514587402344
42.0,42.0,4.0,29.720067740404033,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.078985678736114,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.884815709410113,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.413783101777998,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.96680598721109,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.107270012633514,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.20701178232939,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.38007837115478,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.334377192284606,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.586334135491867,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.61133573691048,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.320781314383616,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.614463811275584,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.16204632566033,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.499149227032767,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.076828752339498,-1.0,-1.0,-1.0,-1.0
-0.4488462406447557,-0.7992279589382297,2.0,22.695958961927232,543.4803466796875,229.33799743652344,697.4320068359375,352.078857421875
-1.263108276568701,-0.946481059827545,2.0,22.4511639608391,546.1148681640625,231.25535583496094,698.325439453125,355.4194030761719
42.0,42.0,4.0,29.636278846289727,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.36591308487772,-1.0,-1.0,-1.0,-1.0
-1.5855566308205518,-0.8344796896553907,2.0,22.38323033737846,542.5723876953125,223.1378173828125,704.39208984375,356.1231384277344
-1.3227674792022743,-0.8258284108542682,2.0,22.20900580336341,540.6849365234375,223.38661193847656,702.7705078125,357.9293518066406
-1.5667686951203152,-0.7809797128328978,2.0,22.313213529530678,547.9740600585938,223.18878173828125,704.2752075195312,354.49566650390625
-1.510182780384693,-0.8730092390422209,2.0,22.01561031939742,549.2211303710938,221.9249725341797,701.0054321289062,352.27642822265625
-1.511122343617273,-0.9500643430742467,2.0,22.178003384094755,549.1428833007812,222.46731567382812,700.7866821289062,355.9548034667969
-0.6262412650676968,-0.9955386176356766,2.0,22.453086941858537,542.2942504882812,220.76893615722656,701.1515502929688,358.6103515625
-0.29051172645962076,-0.9945054442907804,1.0,23.10325757659216,546.343017578125,226.63888549804688,697.6458740234375,355.9367370605469
42.0,42.0,4.0,30.023220855821677,-1.0,-1.0,-1.0,-1.0
0.011806325744539279,-0.9591885992849671,1.0,23.144818452709416,548.729248046875,229.37725830078125,698.6400756835938,354.96405029296875
42.0,42.0,4.0,30.08222164844938,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.013123528612013,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.358748679048624,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.635022468417038,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.298878141456754,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.971088641966485,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.500258149901466,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.56939200909581,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.449773131511126,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.18832551601275,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.920844628334997,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.30763561214241,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.23488365387388,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.429007755424806,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.91038943442512,-1.0,-1.0,-1.0,-1.0
-1.3425647529556508,-0.8711136009783027,2.0,23.13065057822435,539.0892944335938,230.1111297607422,697.2742309570312,355.78021240234375
42.0,42.0,4.0,29.97130280683702,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.824889249169814,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.33613104480535,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.319110564320514,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.4856484052612,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.767103843751773,-1.0,-1.0,-1.0,-1.0
0.5849018144147238,-1.086729514417734,1.0,22.246582898847443,539.9154663085938,227.36505126953125,687.343017578125,350.3432312011719
-0.7864535741374467,-1.0608760791874627,2.0,22.43711216673086,540.1593627929688,224.6146697998047,689.9401245117188,350.6505126953125
-1.3259495572307556,-0.9984529148165504,2.0,22.353407661642755,543.9495849609375,229.6947021484375,692.573974609375,356.22576904296875
-1.243250149584416,-1.035612534138644,2.0,22.3641346656287,545.6500244140625,226.60983276367188,689.1947021484375,349.7669677734375
-1.0870882422165675,-0.9885731198045744,2.0,21.664345777979793,542.9891967773438,226.06163024902344,692.6612548828125,352.9239196777344
42.0,42.0,4.0,29.831889500561886,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.144704216646662,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.629890093840142,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.310920968954154,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.56827805350883,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.226385996267016,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.58388082338615,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.417091512984705,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.691751000665892,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.54290187511378,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.337668349559507,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.144704216646662,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.37401739930457,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.208759281179383,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.225464333781964,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.045194570719282,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.753505329954276,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.85321344613709,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.976014674003668,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.29095618389812,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.93279034610441,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.049729457819282,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.992631944259056,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.453554675430464,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.578386917060993,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.281039911199848,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.858435428872454,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.086712898751735,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.479638454293706,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.501617758771065,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.679899234350895,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.009662270114745,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.726176132900537,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.686831581555012,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.93857113285795,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.95518967243105,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.58005571423534,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.890139961802685,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.089940631415413,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.232877285177622,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.078445102294076,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.273274195462065,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.170055915653602,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.3275158024277,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.291264237776986,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.176955076032666,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.150390937206797,-1.0,-1.0,-1.0,-1.0
