class,gazex,gazey,fps
1.0,625.6875,427.5,28.897536239872128
0.0,412.6875,367.5,28.773437607189408
0.0,412.6875,367.5,22.85014464171892
0.0,412.6875,367.5,29.895892285651158
0.0,412.6875,367.5,17.418061311783124
3.0,399.375,375.0,27.050078358281148
3.0,399.375,375.0,28.236485303819794
1.0,625.6875,427.5,28.45196958288393
0.0,412.6875,367.5,12.542812628028194
3.0,399.375,375.0,27.978067425323854
3.0,399.375,375.0,28.9118782397706
3.0,399.375,375.0,28.115537501424445
3.0,399.375,390.0,12.164137246997614
3.0,399.375,382.5,28.78726149622512
0.0,412.6875,382.5,26.91451378996137
3.0,399.375,382.5,16.544468418291476
3.0,399.375,382.5,28.244090988673552
3.0,399.375,382.5,18.493811591966317
3.0,399.375,382.5,28.814157346596687
3.0,386.0625,382.5,12.543975500047852
3.0,399.375,382.5,26.971455028326336
3.0,399.375,382.5,27.463113439188085
3.0,399.375,390.0,29.44962541162593
3.0,399.375,382.5,9.308057965868487
1.0,625.6875,427.5,29.252041705896712
0.0,625.6875,420.0,29.19706240645992
1.0,625.6875,427.5,17.44856706644868
1.0,625.6875,427.5,28.717488052364192
1.0,625.6875,427.5,29.28696915106065
1.0,625.6875,427.5,28.65020458069496
1.0,625.6875,427.5,12.884459899487608
1.0,625.6875,427.5,29.167013205565947
1.0,625.6875,427.5,28.93202088693601
1.0,625.6875,427.5,17.559969186455437
1.0,625.6875,427.5,22.403794588011586
1.0,625.6875,427.5,28.12854766886636
0.0,625.6875,420.0,22.41540854118012
0.0,625.6875,420.0,13.036760752061518
1.0,625.6875,427.5,28.927231973516328
1.0,625.6875,427.5,26.92591736640731
0.0,625.6875,420.0,26.79107795293697
1.0,625.6875,427.5,13.153772576026997
0.0,625.6875,420.0,29.235526187389347
0.0,625.6875,420.0,28.78844701909481
1.0,652.3125,157.5,17.40577328486297
1.0,652.3125,150.0,28.80070314216656
1.0,652.3125,157.5,16.65840823248591
1.0,652.3125,157.5,22.45837683859948
1.0,652.3125,157.5,12.968437716434154
1.0,652.3125,157.5,29.32546530001538
1.0,652.3125,157.5,29.385870022139397
1.0,652.3125,157.5,28.49991506363433
1.0,652.3125,157.5,13.03311488756102
1.0,652.3125,150.0,29.571296629229327
1.0,665.625,150.0,29.353582151180287
1.0,665.625,150.0,17.81020806794055
1.0,652.3125,142.5,28.78489074338421
1.0,652.3125,142.5,23.81652272172348
1.0,665.625,150.0,28.272458258343278
1.0,665.625,150.0,13.129931193378535
1.0,652.3125,150.0,29.422356283539685
