class,gazex,gazey,fps
3.0,548.625,472.5,20.09112682263225
3.0,548.625,472.5,20.72561062987652
3.0,548.625,472.5,21.504950291992884
3.0,548.625,472.5,18.447447936137927
3.0,548.625,472.5,22.82688958551028
3.0,548.625,472.5,8.161569460741104
3.0,548.625,472.5,21.989640348117856
3.0,548.625,472.5,22.28038098071192
3.0,515.375,472.5,12.20086627435124
3.0,515.375,472.5,21.736424788300287
3.0,515.375,472.5,21.460826852230863
3.0,565.25,472.5,23.193068020327026
3.0,565.25,472.5,8.307427815388028
3.0,565.25,472.5,22.06390388115604
3.0,565.25,472.5,21.50892037558397
3.0,581.875,459.375,8.291366849588032
3.0,581.875,459.375,21.82532678378153
3.0,581.875,459.375,20.93321222163441
3.0,581.875,459.375,21.57696977179661
3.0,581.875,459.375,8.247866407620366
3.0,581.875,459.375,21.60442152868276
3.0,581.875,459.375,20.67055669452768
3.0,581.875,459.375,21.7562686087164
3.0,581.875,459.375,8.315036556547666
3.0,581.875,459.375,21.64143048052464
3.0,581.875,459.375,22.05937823779696
3.0,565.25,472.5,8.126936886140061
3.0,548.625,472.5,22.27623933802832
3.0,548.625,472.5,21.48688288602122
3.0,565.25,472.5,23.413422946170893
3.0,548.625,472.5,8.069103767232656
3.0,548.625,472.5,20.94063256696373
3.0,548.625,472.5,23.038790688477047
3.0,548.625,472.5,22.967008536712243
3.0,565.25,472.5,7.74381176922381
3.0,565.25,472.5,7.827369921862608
3.0,581.875,459.375,22.97556352879954
3.0,581.875,459.375,7.89523477868027
3.0,565.25,472.5,21.44042202979154
3.0,565.25,472.5,22.77260535774397
3.0,548.625,472.5,23.347735812296477
3.0,565.25,472.5,7.815686888337321
3.0,565.25,472.5,21.980651720487582
3.0,565.25,472.5,22.68712001557801
3.0,565.25,472.5,23.33526574348646
3.0,565.25,472.5,8.097534041349645
3.0,548.625,472.5,22.7157487692466
3.0,548.625,472.5,22.72362511444964
3.0,565.25,472.5,8.372064799955288
3.0,565.25,472.5,22.06436815470241
