class,gazex,gazey,fps
2.0,465.5,446.25,18.831676589172343
2.0,465.5,446.25,18.76898017631002
1.0,565.25,288.75,8.74026377262791
2.0,465.5,446.25,20.93551092121551
2.0,465.5,446.25,20.857326139386856
2.0,465.5,446.25,8.718933515155168
1.0,581.875,301.875,21.191059375126308
1.0,581.875,301.875,21.211528444347795
1.0,581.875,301.875,20.81013738458256
1.0,581.875,301.875,5.569621866816808
1.0,581.875,301.875,20.612349804653903
1.0,581.875,301.875,20.422462106272853
1.0,581.875,301.875,20.74293287966608
1.0,581.875,301.875,5.564301899207734
1.0,581.875,301.875,20.741086528666514
1.0,581.875,301.875,20.685338344010614
1.0,581.875,301.875,8.69947504111936
1.0,581.875,301.875,20.78940481383084
1.0,581.875,301.875,20.82212127981731
1.0,581.875,301.875,20.510144303884125
1.0,581.875,301.875,5.542119832717807
1.0,581.875,301.875,20.673409435933834
1.0,581.875,301.875,20.520580249027617
2.0,448.875,433.125,20.954860885595952
2.0,448.875,433.125,5.605904351010567
2.0,448.875,433.125,20.977918265070848
1.0,515.375,301.875,21.116590980032825
2.0,448.875,433.125,8.774180591931854
2.0,448.875,433.125,20.97214916447493
2.0,448.875,433.125,20.79558931440017
1.0,515.375,301.875,20.96774580575497
1.0,515.375,301.875,0.1132294730235755
2.0,448.875,433.125,20.433406246498464
2.0,448.875,433.125,20.276835611935105
2.0,448.875,433.125,20.0645040924986
1.0,581.875,301.875,5.498051439889575
2.0,448.875,420.0,21.014073498835145
2.0,448.875,420.0,20.70831728727869
2.0,448.875,420.0,8.546321822920168
1.0,515.375,301.875,20.68268628601579
1.0,515.375,301.875,20.31976358307293
1.0,581.875,301.875,20.744984766351443
1.0,515.375,301.875,5.446179056453592
1.0,581.875,301.875,20.71199865682992
1.0,581.875,301.875,17.405484363588076
1.0,581.875,301.875,18.356458869457136
1.0,581.875,301.875,5.401585328946098
1.0,581.875,301.875,20.899521149639494
1.0,515.375,301.875,17.78754877014419
1.0,515.375,301.875,8.60202422092105
1.0,515.375,301.875,20.989150886744863
1.0,515.375,301.875,21.21603480108248
1.0,515.375,301.875,21.045600513808605
1.0,515.375,301.875,5.4756355793909615
1.0,581.875,301.875,21.3413658705364
1.0,581.875,301.875,21.344841273880164
1.0,581.875,301.875,8.691416967134982
1.0,581.875,301.875,17.732951134336183
1.0,581.875,301.875,20.73780493834485
1.0,581.875,301.875,21.164967805744507
1.0,581.875,301.875,5.546891241731181
1.0,581.875,301.875,19.16152257734408
1.0,581.875,301.875,19.72295813524812
1.0,581.875,301.875,20.4708041309568
1.0,581.875,301.875,5.511076539809846
1.0,581.875,301.875,20.62167331225755
1.0,581.875,301.875,21.04074404791765
1.0,581.875,301.875,8.603029917667957
1.0,581.875,301.875,20.236822171078977
1.0,581.875,301.875,19.259362659564697
1.0,581.875,301.875,20.771284814389286
1.0,581.875,301.875,5.522868734059041
1.0,581.875,301.875,19.493883621490983
1.0,515.375,275.625,20.811273196387813
1.0,515.375,275.625,20.763983980118716
