class,gazex,gazey,fps
2.0,520.0,573.75,19.601658122134623
2.0,520.0,562.5,21.953500057575344
2.0,520.0,573.75,24.023460410557185
2.0,520.0,573.75,10.146879588928751
1.0,500.0,562.5,24.757425508806723
1.0,500.0,562.5,24.787712237528737
2.0,520.0,573.75,13.960723748152684
2.0,540.0,573.75,24.209686635997897
2.0,540.0,573.75,24.158789037750413
2.0,540.0,573.75,24.05984121885182
2.0,540.0,573.75,9.77551962187283
2.0,540.0,573.75,24.063015977740168
2.0,520.0,573.75,23.987601013422704
1.0,500.0,562.5,23.992952509524407
2.0,520.0,562.5,9.848350156965784
2.0,520.0,562.5,24.312973515039445
2.0,520.0,562.5,24.353064814868578
2.0,560.0,585.0,13.763504090358698
2.0,540.0,585.0,24.070196782838742
2.0,540.0,573.75,24.30423873678111
2.0,540.0,573.75,24.05363215635448
2.0,520.0,562.5,9.776225960361838
2.0,540.0,585.0,24.252522507415737
2.0,560.0,585.0,24.16769806972054
2.0,560.0,585.0,23.919748615618
2.0,540.0,573.75,9.75446756653674
2.0,560.0,585.0,24.126271225438312
2.0,560.0,585.0,24.342040659984796
2.0,540.0,573.75,13.740058507310138
2.0,540.0,573.75,24.107827866261257
2.0,540.0,573.75,24.12821427338725
2.0,560.0,573.75,24.27652628898201
2.0,560.0,573.75,9.815186460985473
2.0,560.0,573.75,23.422706204277656
2.0,560.0,573.75,23.795309361987
2.0,560.0,573.75,13.598620135133382
2.0,540.0,573.75,0.398595797656495
2.0,540.0,573.75,20.69820026549415
2.0,540.0,573.75,18.138393610074424
2.0,540.0,573.75,13.516235063612577
2.0,540.0,573.75,21.27856976166077
2.0,540.0,562.5,21.63049296827861
2.0,540.0,562.5,22.918566846439248
2.0,540.0,562.5,8.743087749724845
2.0,540.0,562.5,21.671285819098696
2.0,540.0,562.5,23.133840027357063
2.0,540.0,562.5,13.18511579364306
2.0,540.0,551.25,21.67598966408269
2.0,540.0,551.25,21.882602140103195
2.0,540.0,562.5,23.33085245445696
2.0,540.0,562.5,9.2273156265606
2.0,540.0,562.5,22.88655226038796
2.0,540.0,573.75,21.30732341705275
2.0,540.0,573.75,23.018686921350287
2.0,540.0,573.75,9.227904357085654
2.0,540.0,573.75,22.08132752121633
2.0,540.0,573.75,21.683946047386897
2.0,540.0,573.75,13.461187155992748
2.0,520.0,573.75,22.33864507882403
2.0,520.0,585.0,23.404147043724752
2.0,520.0,585.0,23.234695516815403
2.0,520.0,585.0,9.5726926438938
2.0,500.0,585.0,23.11013157604743
2.0,520.0,585.0,22.882806404975582
2.0,500.0,585.0,22.69043381354511
1.0,480.0,573.75,9.524002425106666
1.0,480.0,562.5,23.69890893475645
1.0,480.0,562.5,23.17909721915204
1.0,480.0,562.5,13.374224756146946
1.0,480.0,562.5,23.58112522277882
1.0,480.0,562.5,22.760865436272567
1.0,460.0,551.25,21.1282919260916
1.0,480.0,562.5,9.50460012871296
1.0,460.0,551.25,23.81314226668332
1.0,480.0,562.5,23.11395223242332
1.0,480.0,562.5,13.237548485240604
1.0,440.0,528.75,16.79448072618652
1.0,400.0,528.75,22.625927843949597
1.0,300.0,348.75,8.205783151387095
1.0,300.0,348.75,9.239918666411125
1.0,300.0,348.75,21.62870830174863
1.0,300.0,348.75,23.37180430179427
1.0,300.0,348.75,22.78299601299308
1.0,280.0,337.5,9.10396082585216
1.0,300.0,348.75,23.30414877125919
1.0,480.0,528.75,22.45452939381448
1.0,480.0,528.75,13.386432617888774
1.0,480.0,528.75,11.827167804462642
1.0,440.0,528.75,23.124401808358144
1.0,300.0,348.75,23.50316322699586
1.0,280.0,348.75,7.350883742124311
1.0,280.0,337.5,17.760207991937772
1.0,300.0,348.75,23.257112756106352
1.0,300.0,348.75,18.325180660777168
1.0,480.0,573.75,9.14868036469921
1.0,480.0,573.75,23.116500038579822
1.0,480.0,573.75,22.192084656084656
1.0,460.0,585.0,12.344248303303925
1.0,460.0,585.0,16.13988425070804
1.0,440.0,573.75,23.37701482554899
1.0,460.0,585.0,23.30233617600489
1.0,460.0,585.0,9.408066035619758
1.0,460.0,585.0,23.699980223195368
1.0,460.0,585.0,23.23521037032933
1.0,460.0,585.0,9.178852092009462
1.0,460.0,585.0,23.047525894991345
1.0,460.0,585.0,23.091428602888147
1.0,460.0,596.25,23.318400409182136
1.0,460.0,585.0,8.572295140265611
1.0,460.0,585.0,22.550991440492066
1.0,480.0,573.75,23.62109863374745
1.0,460.0,585.0,23.431996826797917
1.0,460.0,585.0,8.630219628725808
1.0,460.0,585.0,23.309199630992207
1.0,460.0,596.25,23.42558420088468
1.0,460.0,596.25,9.712499363198916
1.0,440.0,585.0,21.04665656393324
1.0,440.0,585.0,22.563729577646637
1.0,440.0,585.0,22.731999718173984
1.0,440.0,585.0,8.449580170510403
1.0,440.0,585.0,22.265951065173883
1.0,440.0,585.0,23.061211698015693
1.0,440.0,585.0,23.10949492278109
