tier,beginmm,begin,endmm,end,diffmm,diff,class,file
default,00:00:00.000,0.0,00:00:18.590,18.59,00:00:18.590,18.59,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:00:18.590,18.59,00:00:31.551,31.551,00:00:12.961,12.961,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:00:31.551,31.551,00:00:32.550,32.55,00:00:00.999,0.999,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:00:32.550,32.55,00:00:35.520,35.52,00:00:02.970,2.97,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:00:35.520,35.52,00:01:07.840,67.84,00:00:32.320,32.32,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:07.840,67.84,00:01:15.330,75.33,00:00:07.490,7.49,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:15.330,75.33,00:01:21.490,81.49,00:00:06.160,6.16,0,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:21.490,81.49,00:01:31.670,91.67,00:00:10.180,10.18,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:31.670,91.67,00:01:39.720,99.72,00:00:08.050,8.05,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:39.720,99.72,00:01:40.780,100.78,00:00:01.060,1.06,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:40.780,100.78,00:01:49.940,109.94,00:00:09.160,9.16,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:49.940,109.94,00:01:54.120,114.12,00:00:04.180,4.18,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:01:54.120,114.12,00:02:11.021,131.021,00:00:16.901,16.901,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:02:11.021,131.021,00:02:11.400,131.4,00:00:00.379,0.379,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33008_sessie3_taskrobotEngagement.eaf
default,00:00:00.000,0.0,00:00:23.010,23.01,00:00:23.010,23.01,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:23.010,23.01,00:00:24.470,24.47,00:00:01.460,1.46,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:24.470,24.47,00:00:30.340,30.34,00:00:05.870,5.87,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:30.340,30.34,00:00:32.930,32.93,00:00:02.590,2.59,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:32.930,32.93,00:00:35.890,35.89,00:00:02.960,2.96,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:35.890,35.89,00:00:38.249,38.249,00:00:02.359,2.359,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:38.249,38.249,00:00:41.500,41.5,00:00:03.251,3.251,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:41.500,41.5,00:00:43.060,43.06,00:00:01.560,1.56,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:43.060,43.06,00:00:44.510,44.51,00:00:01.450,1.45,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:44.510,44.51,00:00:46.410,46.41,00:00:01.900,1.9,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:46.410,46.41,00:00:52.580,52.58,00:00:06.170,6.17,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:52.580,52.58,00:00:53.500,53.5,00:00:00.920,0.92,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:53.500,53.5,00:01:24.280,84.28,00:00:30.780,30.78,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:01:24.280,84.28,00:01:27.880,87.88,00:00:03.600,3.6,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:01:27.880,87.88,00:01:31.780,91.78,00:00:03.900,3.9,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:01:31.780,91.78,00:01:35.390,95.39,00:00:03.610,3.61,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:01:35.390,95.39,00:01:43.350,103.35,00:00:07.960,7.96,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:01:43.350,103.35,00:01:49.307,109.307,00:00:05.957,5.957,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:01:49.307,109.307,00:01:49.560,109.56,00:00:00.253,0.253,4,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33010_sessie2_taskrobotEngagement.eaf
default,00:00:00.000,0.0,00:00:10.960,10.96,00:00:10.960,10.96,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:10.960,10.96,00:00:13.070,13.07,00:00:02.110,2.11,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:13.070,13.07,00:00:18.600,18.6,00:00:05.530,5.53,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:18.600,18.6,00:00:20.153,20.153,00:00:01.553,1.553,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:20.153,20.153,00:00:23.560,23.56,00:00:03.407,3.407,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:23.560,23.56,00:00:25.540,25.54,00:00:01.980,1.98,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:25.540,25.54,00:00:34.720,34.72,00:00:09.180,9.18,2,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:34.720,34.72,00:00:37.120,37.12,00:00:02.400,2.4,3,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
default,00:00:37.120,37.12,00:00:41.500,41.5,00:00:04.380,4.38,1,/home/linlincheng/Gaze_estimation/gaze-automated-annotation/Daen_check/33011_sessie2_taskrobotEngagement.eaf
