,tier,beginmm,begin,endmm,end,diffmm,diff,class,file,annotator,case
0,default,00:00:00.000,0.0,00:00:18.590,18.59,00:00:18.590,18.59,1,33008_sessie3_taskrobotEngagement,Daen,visible
1,default,00:00:18.590,18.59,00:00:31.551,31.551,00:00:12.961,12.961,2,33008_sessie3_taskrobotEngagement,Daen,visible
2,default,00:00:31.551,31.551,00:00:32.550,32.55,00:00:00.999,0.999,1,33008_sessie3_taskrobotEngagement,Daen,visible
3,default,00:00:32.550,32.55,00:00:35.520,35.52,00:00:02.970,2.97,2,33008_sessie3_taskrobotEngagement,Daen,visible
4,default,00:00:35.520,35.52,00:01:07.840,67.84,00:00:32.320,32.32,1,33008_sessie3_taskrobotEngagement,Daen,visible
5,default,00:01:07.840,67.84,00:01:15.330,75.33,00:00:07.490,7.49,3,33008_sessie3_taskrobotEngagement,Daen,visible
6,default,00:01:15.330,75.33,00:01:21.490,81.49,00:00:06.160,6.16,0,33008_sessie3_taskrobotEngagement,Daen,visible
7,default,00:01:21.490,81.49,00:01:31.670,91.67,00:00:10.180,10.18,1,33008_sessie3_taskrobotEngagement,Daen,visible
8,default,00:01:31.670,91.67,00:01:39.720,99.72,00:00:08.050,8.05,2,33008_sessie3_taskrobotEngagement,Daen,visible
9,default,00:01:39.720,99.72,00:01:40.780,100.78,00:00:01.060,1.06,1,33008_sessie3_taskrobotEngagement,Daen,visible
10,default,00:01:40.780,100.78,00:01:49.940,109.94,00:00:09.160,9.16,2,33008_sessie3_taskrobotEngagement,Daen,visible
11,default,00:01:49.940,109.94,00:01:54.120,114.12,00:00:04.180,4.18,1,33008_sessie3_taskrobotEngagement,Daen,visible
12,default,00:01:54.120,114.12,00:02:11.021,131.021,00:00:16.901,16.901,2,33008_sessie3_taskrobotEngagement,Daen,visible
13,default,00:02:11.021,131.021,00:02:11.400,131.4,00:00:00.379,0.379,4,33008_sessie3_taskrobotEngagement,Daen,visible
14,default,00:00:00.000,0.0,00:00:23.010,23.01,00:00:23.010,23.01,1,33010_sessie2_taskrobotEngagement,Daen,visible
15,default,00:00:23.010,23.01,00:00:24.470,24.47,00:00:01.460,1.46,2,33010_sessie2_taskrobotEngagement,Daen,visible
16,default,00:00:24.470,24.47,00:00:30.340,30.34,00:00:05.870,5.87,3,33010_sessie2_taskrobotEngagement,Daen,visible
17,default,00:00:30.340,30.34,00:00:32.930,32.93,00:00:02.590,2.59,2,33010_sessie2_taskrobotEngagement,Daen,visible
18,default,00:00:32.930,32.93,00:00:35.890,35.89,00:00:02.960,2.96,3,33010_sessie2_taskrobotEngagement,Daen,visible
19,default,00:00:35.890,35.89,00:00:38.249,38.249,00:00:02.359,2.359,2,33010_sessie2_taskrobotEngagement,Daen,visible
20,default,00:00:38.249,38.249,00:00:41.500,41.5,00:00:03.251,3.251,1,33010_sessie2_taskrobotEngagement,Daen,visible
21,default,00:00:41.500,41.5,00:00:43.060,43.06,00:00:01.560,1.56,3,33010_sessie2_taskrobotEngagement,Daen,visible
22,default,00:00:43.060,43.06,00:00:44.510,44.51,00:00:01.450,1.45,1,33010_sessie2_taskrobotEngagement,Daen,visible
23,default,00:00:44.510,44.51,00:00:46.410,46.41,00:00:01.900,1.9,2,33010_sessie2_taskrobotEngagement,Daen,visible
24,default,00:00:46.410,46.41,00:00:52.580,52.58,00:00:06.170,6.17,1,33010_sessie2_taskrobotEngagement,Daen,visible
25,default,00:00:52.580,52.58,00:00:53.500,53.5,00:00:00.920,0.92,2,33010_sessie2_taskrobotEngagement,Daen,visible
26,default,00:00:53.500,53.5,00:01:24.280,84.28,00:00:30.780,30.78,1,33010_sessie2_taskrobotEngagement,Daen,visible
27,default,00:01:24.280,84.28,00:01:27.880,87.88,00:00:03.600,3.6,2,33010_sessie2_taskrobotEngagement,Daen,visible
28,default,00:01:27.880,87.88,00:01:31.780,91.78,00:00:03.900,3.9,3,33010_sessie2_taskrobotEngagement,Daen,visible
29,default,00:01:31.780,91.78,00:01:35.390,95.39,00:00:03.610,3.61,1,33010_sessie2_taskrobotEngagement,Daen,visible
30,default,00:01:35.390,95.39,00:01:43.350,103.35,00:00:07.960,7.96,3,33010_sessie2_taskrobotEngagement,Daen,visible
31,default,00:01:43.350,103.35,00:01:49.307,109.307,00:00:05.957,5.957,1,33010_sessie2_taskrobotEngagement,Daen,visible
32,default,00:01:49.307,109.307,00:01:49.560,109.56,00:00:00.253,0.253,4,33010_sessie2_taskrobotEngagement,Daen,visible
33,default,00:00:00.000,0.0,00:00:10.960,10.96,00:00:10.960,10.96,1,33011_sessie2_taskrobotEngagement,Daen,visible
34,default,00:00:10.960,10.96,00:00:13.070,13.07,00:00:02.110,2.11,3,33011_sessie2_taskrobotEngagement,Daen,visible
35,default,00:00:13.070,13.07,00:00:18.600,18.6,00:00:05.530,5.53,1,33011_sessie2_taskrobotEngagement,Daen,visible
36,default,00:00:18.600,18.6,00:00:20.153,20.153,00:00:01.553,1.553,2,33011_sessie2_taskrobotEngagement,Daen,visible
37,default,00:00:20.153,20.153,00:00:23.560,23.56,00:00:03.407,3.407,1,33011_sessie2_taskrobotEngagement,Daen,visible
38,default,00:00:23.560,23.56,00:00:25.540,25.54,00:00:01.980,1.98,3,33011_sessie2_taskrobotEngagement,Daen,visible
39,default,00:00:25.540,25.54,00:00:34.720,34.72,00:00:09.180,9.18,2,33011_sessie2_taskrobotEngagement,Daen,visible
40,default,00:00:34.720,34.72,00:00:37.120,37.12,00:00:02.400,2.4,3,33011_sessie2_taskrobotEngagement,Daen,visible
41,default,00:00:37.120,37.12,00:00:41.500,41.5,00:00:04.380,4.38,1,33011_sessie2_taskrobotEngagement,Daen,visible
42,default,00:00:41.500,41.5,00:00:53.860,53.86,00:00:12.360,12.36,3,33011_sessie2_taskrobotEngagement,Daen,visible
43,default,00:00:53.860,53.86,00:00:56.740,56.74,00:00:02.880,2.88,1,33011_sessie2_taskrobotEngagement,Daen,visible
44,default,00:00:56.740,56.74,00:01:03.600,63.6,00:00:06.860,6.86,3,33011_sessie2_taskrobotEngagement,Daen,visible
45,default,00:01:03.600,63.6,00:01:06.720,66.72,00:00:03.120,3.12,2,33011_sessie2_taskrobotEngagement,Daen,visible
46,default,00:01:06.720,66.72,00:01:08.880,68.88,00:00:02.160,2.16,1,33011_sessie2_taskrobotEngagement,Daen,visible
47,default,00:01:08.880,68.88,00:01:14.380,74.38,00:00:05.500,5.5,3,33011_sessie2_taskrobotEngagement,Daen,visible
48,default,00:01:14.380,74.38,00:01:16.670,76.67,00:00:02.290,2.29,2,33011_sessie2_taskrobotEngagement,Daen,visible
49,default,00:01:16.670,76.67,00:01:21.960,81.96,00:00:05.290,5.29,3,33011_sessie2_taskrobotEngagement,Daen,visible
50,default,00:01:21.960,81.96,00:01:27.121,87.121,00:00:05.161,5.161,1,33011_sessie2_taskrobotEngagement,Daen,visible
51,default,00:01:27.121,87.121,00:01:27.520,87.52,00:00:00.399,0.399,4,33011_sessie2_taskrobotEngagement,Daen,visible
52,default,00:00:00.000,0.0,00:00:07.140,7.14,00:00:07.140,7.14,0,51014_sessie2_taskrobotEngagement,Daen,invisible
53,default,00:00:07.140,7.14,00:00:20.120,20.12,00:00:12.980,12.98,1,51014_sessie2_taskrobotEngagement,Daen,invisible
54,default,00:00:20.120,20.12,00:00:23.180,23.18,00:00:03.060,3.06,2,51014_sessie2_taskrobotEngagement,Daen,invisible
55,default,00:00:23.180,23.18,00:00:25.840,25.84,00:00:02.660,2.66,0,51014_sessie2_taskrobotEngagement,Daen,invisible
56,default,00:00:25.840,25.84,00:00:32.860,32.86,00:00:07.020,7.02,3,51014_sessie2_taskrobotEngagement,Daen,invisible
57,default,00:00:32.860,32.86,00:00:43.440,43.44,00:00:10.580,10.58,1,51014_sessie2_taskrobotEngagement,Daen,invisible
58,default,00:00:43.440,43.44,00:00:49.460,49.46,00:00:06.020,6.02,3,51014_sessie2_taskrobotEngagement,Daen,invisible
59,default,00:00:49.460,49.46,00:00:51.830,51.83,00:00:02.370,2.37,1,51014_sessie2_taskrobotEngagement,Daen,invisible
