,tier,beginmm,begin,endmm,end,diffmm,diff,class,file,case
0,default,00:00:00.000,0.0,00:00:00.320,0.32,00:00:00.320,0.32,2,33013_sessie3_robotEngagement3,visible
1,default,00:00:00.320,0.32,00:00:04.360,4.36,00:00:04.040,4.04,3,33013_sessie3_robotEngagement3,visible
2,default,00:00:04.360,4.36,00:00:10.070,10.07,00:00:05.710,5.71,1,33013_sessie3_robotEngagement3,visible
3,default,00:00:10.070,10.07,00:00:11.250,11.25,00:00:01.180,1.18,2,33013_sessie3_robotEngagement3,visible
4,default,00:00:11.250,11.25,00:00:12.520,12.52,00:00:01.270,1.27,3,33013_sessie3_robotEngagement3,visible
5,default,00:00:12.520,12.52,00:00:13.904,13.904,00:00:01.384,1.384,2,33013_sessie3_robotEngagement3,visible
6,default,00:00:13.904,13.904,00:00:15.450,15.45,00:00:01.546,1.546,3,33013_sessie3_robotEngagement3,visible
7,default,00:00:15.450,15.45,00:00:26.100,26.1,00:00:10.650,10.65,1,33013_sessie3_robotEngagement3,visible
8,default,00:00:26.100,26.1,00:00:27.320,27.32,00:00:01.220,1.22,3,33013_sessie3_robotEngagement3,visible
9,default,00:00:27.320,27.32,00:00:40.240,40.24,00:00:12.920,12.92,1,33013_sessie3_robotEngagement3,visible
10,default,00:00:40.240,40.24,00:00:48.274,48.274,00:00:08.034,8.034,3,33013_sessie3_robotEngagement3,visible
11,default,00:00:48.274,48.274,00:00:49.480,49.48,00:00:01.206,1.206,1,33013_sessie3_robotEngagement3,visible
12,default,00:00:49.480,49.48,00:00:51.380,51.38,00:00:01.900,1.9,3,33013_sessie3_robotEngagement3,visible
13,default,00:00:51.380,51.38,00:00:57.270,57.27,00:00:05.890,5.89,1,33013_sessie3_robotEngagement3,visible
14,default,00:00:57.270,57.27,00:01:01.770,61.77,00:00:04.500,4.5,3,33013_sessie3_robotEngagement3,visible
15,default,00:01:01.770,61.77,00:01:03.110,63.11,00:00:01.340,1.34,1,33013_sessie3_robotEngagement3,visible
16,default,00:01:03.110,63.11,00:01:04.550,64.55,00:00:01.440,1.44,3,33013_sessie3_robotEngagement3,visible
17,default,00:01:04.550,64.55,00:01:07.190,67.19,00:00:02.640,2.64,1,33013_sessie3_robotEngagement3,visible
18,default,00:01:07.190,67.19,00:01:08.410,68.41,00:00:01.220,1.22,3,33013_sessie3_robotEngagement3,visible
19,default,00:01:08.410,68.41,00:01:12.360,72.36,00:00:03.950,3.95,1,33013_sessie3_robotEngagement3,visible
20,default,00:00:00.000,0.0,00:00:25.290,25.29,00:00:25.290,25.29,1,33013_sessie3_taskEngagement1,visible
21,default,00:00:25.290,25.29,00:00:26.630,26.63,00:00:01.340,1.34,2,33013_sessie3_taskEngagement1,visible
