,file,case,framenumber,class
0,33008_sessie3_taskrobotEngagement,visible,0,1
1,33008_sessie3_taskrobotEngagement,visible,1,1
2,33008_sessie3_taskrobotEngagement,visible,2,1
3,33008_sessie3_taskrobotEngagement,visible,3,1
4,33008_sessie3_taskrobotEngagement,visible,4,1
5,33008_sessie3_taskrobotEngagement,visible,5,1
6,33008_sessie3_taskrobotEngagement,visible,6,1
7,33008_sessie3_taskrobotEngagement,visible,7,1
8,33008_sessie3_taskrobotEngagement,visible,8,1
9,33008_sessie3_taskrobotEngagement,visible,9,1
10,33008_sessie3_taskrobotEngagement,visible,10,1
11,33008_sessie3_taskrobotEngagement,visible,11,1
12,33008_sessie3_taskrobotEngagement,visible,12,1
13,33008_sessie3_taskrobotEngagement,visible,13,1
14,33008_sessie3_taskrobotEngagement,visible,14,1
15,33008_sessie3_taskrobotEngagement,visible,15,1
16,33008_sessie3_taskrobotEngagement,visible,16,1
17,33008_sessie3_taskrobotEngagement,visible,17,1
18,33008_sessie3_taskrobotEngagement,visible,18,1
19,33008_sessie3_taskrobotEngagement,visible,19,1
20,33008_sessie3_taskrobotEngagement,visible,20,1
21,33008_sessie3_taskrobotEngagement,visible,21,1
22,33008_sessie3_taskrobotEngagement,visible,22,1
23,33008_sessie3_taskrobotEngagement,visible,23,1
24,33008_sessie3_taskrobotEngagement,visible,24,1
25,33008_sessie3_taskrobotEngagement,visible,25,1
26,33008_sessie3_taskrobotEngagement,visible,26,1
27,33008_sessie3_taskrobotEngagement,visible,27,1
28,33008_sessie3_taskrobotEngagement,visible,28,1
29,33008_sessie3_taskrobotEngagement,visible,29,1
30,33008_sessie3_taskrobotEngagement,visible,30,1
31,33008_sessie3_taskrobotEngagement,visible,31,1
32,33008_sessie3_taskrobotEngagement,visible,32,1
33,33008_sessie3_taskrobotEngagement,visible,33,1
34,33008_sessie3_taskrobotEngagement,visible,34,1
35,33008_sessie3_taskrobotEngagement,visible,35,1
36,33008_sessie3_taskrobotEngagement,visible,36,1
37,33008_sessie3_taskrobotEngagement,visible,37,1
38,33008_sessie3_taskrobotEngagement,visible,38,1
39,33008_sessie3_taskrobotEngagement,visible,39,1
40,33008_sessie3_taskrobotEngagement,visible,40,1
41,33008_sessie3_taskrobotEngagement,visible,41,1
42,33008_sessie3_taskrobotEngagement,visible,42,1
43,33008_sessie3_taskrobotEngagement,visible,43,1
44,33008_sessie3_taskrobotEngagement,visible,44,1
45,33008_sessie3_taskrobotEngagement,visible,45,1
46,33008_sessie3_taskrobotEngagement,visible,46,1
47,33008_sessie3_taskrobotEngagement,visible,47,1
48,33008_sessie3_taskrobotEngagement,visible,48,1
49,33008_sessie3_taskrobotEngagement,visible,49,1
50,33008_sessie3_taskrobotEngagement,visible,50,1
51,33008_sessie3_taskrobotEngagement,visible,51,1
52,33008_sessie3_taskrobotEngagement,visible,52,1
53,33008_sessie3_taskrobotEngagement,visible,53,1
54,33008_sessie3_taskrobotEngagement,visible,54,1
55,33008_sessie3_taskrobotEngagement,visible,55,1
56,33008_sessie3_taskrobotEngagement,visible,56,1
57,33008_sessie3_taskrobotEngagement,visible,57,1
58,33008_sessie3_taskrobotEngagement,visible,58,1
59,33008_sessie3_taskrobotEngagement,visible,59,1
60,33008_sessie3_taskrobotEngagement,visible,60,1
61,33008_sessie3_taskrobotEngagement,visible,61,1
62,33008_sessie3_taskrobotEngagement,visible,62,1
63,33008_sessie3_taskrobotEngagement,visible,63,1
64,33008_sessie3_taskrobotEngagement,visible,64,1
65,33008_sessie3_taskrobotEngagement,visible,65,1
66,33008_sessie3_taskrobotEngagement,visible,66,1
67,33008_sessie3_taskrobotEngagement,visible,67,1
68,33008_sessie3_taskrobotEngagement,visible,68,1
69,33008_sessie3_taskrobotEngagement,visible,69,1
70,33008_sessie3_taskrobotEngagement,visible,70,1
71,33008_sessie3_taskrobotEngagement,visible,71,1
72,33008_sessie3_taskrobotEngagement,visible,72,1
73,33008_sessie3_taskrobotEngagement,visible,73,1
74,33008_sessie3_taskrobotEngagement,visible,74,1
75,33008_sessie3_taskrobotEngagement,visible,75,1
76,33008_sessie3_taskrobotEngagement,visible,76,1
77,33008_sessie3_taskrobotEngagement,visible,77,1
78,33008_sessie3_taskrobotEngagement,visible,78,1
79,33008_sessie3_taskrobotEngagement,visible,79,1
80,33008_sessie3_taskrobotEngagement,visible,80,1
81,33008_sessie3_taskrobotEngagement,visible,81,1
82,33008_sessie3_taskrobotEngagement,visible,82,1
83,33008_sessie3_taskrobotEngagement,visible,83,1
84,33008_sessie3_taskrobotEngagement,visible,84,1
85,33008_sessie3_taskrobotEngagement,visible,85,1
86,33008_sessie3_taskrobotEngagement,visible,86,1
87,33008_sessie3_taskrobotEngagement,visible,87,1
88,33008_sessie3_taskrobotEngagement,visible,88,1
89,33008_sessie3_taskrobotEngagement,visible,89,1
90,33008_sessie3_taskrobotEngagement,visible,90,1
91,33008_sessie3_taskrobotEngagement,visible,91,1
92,33008_sessie3_taskrobotEngagement,visible,92,1
93,33008_sessie3_taskrobotEngagement,visible,93,1
94,33008_sessie3_taskrobotEngagement,visible,94,1
95,33008_sessie3_taskrobotEngagement,visible,95,1
96,33008_sessie3_taskrobotEngagement,visible,96,1
97,33008_sessie3_taskrobotEngagement,visible,97,1
98,33008_sessie3_taskrobotEngagement,visible,98,1
99,33008_sessie3_taskrobotEngagement,visible,99,1
100,33008_sessie3_taskrobotEngagement,visible,100,1
101,33008_sessie3_taskrobotEngagement,visible,101,1
