,file,annotator,2ndannotator,case,ckappa
0,33008_sessie3_taskrobotEngagement,Ronald,Daen,visible,0.45070389302115954
1,33010_sessie2_taskrobotEngagement,Ronald,Daen,visible,0.7246642002866615
2,33011_sessie2_taskrobotEngagement,Ronald,Daen,visible,0.8624154950143801
3,51014_sessie2_taskrobotEngagement,Lin,Daen,invisible,0.7547765165574998
4,Proefpersoon11009_sessie2,Lin,Daen,invisible,0.7845017110699891
5,Proefpersoon11012_sessie1,Lin,Daen,invisible,0.4733782714863396
6,Proefpersoon11029_sessie2,Lin,Daen,invisible,0.5371646794821553
7,33001_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.7144681450197341
8,33002_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4979189996932888
9,33003_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4439041486453288
10,33004_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4250988398396738
11,33005_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.41833669460894185
12,33006_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.7205148921435818
13,33007_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4922960158199249
14,51015_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.4370977716687027
15,51016_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.7359745499778113
16,51017_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.7885880334087596
17,51019_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.5656759348034516
18,51020_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.44414713050964505
19,51021_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.5412556409932207
20,Proefpersoon22016_Sessie1,Daen,Ronald,visible,0.39572050094661393
