,file,annotator,2ndannotator,case,ckappa
0,33008_sessie3_taskrobotEngagement,Ronald,Daen,visible,0.45070389302115954
1,33008_sessie3_taskrobotEngagement,Ronald,Lin,visible,0.7097670432699779
2,33008_sessie3_taskrobotEngagement,Daen,Lin,visible,0.3815789026843245
3,33010_sessie2_taskrobotEngagement,Ronald,Daen,visible,0.7246642002866615
4,33010_sessie2_taskrobotEngagement,Ronald,Lin,visible,0.7972140279852603
5,33010_sessie2_taskrobotEngagement,Daen,Lin,visible,0.6462700596056854
6,33011_sessie2_taskrobotEngagement,Ronald,Daen,visible,0.8624154950143801
7,33011_sessie2_taskrobotEngagement,Ronald,Lin,visible,0.8480812740034729
8,33011_sessie2_taskrobotEngagement,Daen,Lin,visible,0.863703248491335
9,51014_sessie2_taskrobotEngagement,Lin,Daen,invisible,0.7547765165574998
10,51014_sessie2_taskrobotEngagement,Lin,Ronald,invisible,0.7189260974121532
11,51014_sessie2_taskrobotEngagement,Daen,Ronald,invisible,0.7275148695153558
12,Proefpersoon11009_sessie2,Lin,Daen,invisible,0.7845017110699891
13,Proefpersoon11009_sessie2,Lin,Ronald,invisible,0.8508481901093317
14,Proefpersoon11009_sessie2,Daen,Ronald,invisible,0.7970827513148531
15,Proefpersoon11012_sessie1,Lin,Daen,invisible,0.4733782714863396
16,Proefpersoon11012_sessie1,Lin,Ronald,invisible,0.4351274977835152
17,Proefpersoon11012_sessie1,Daen,Ronald,invisible,0.7711766561209268
18,Proefpersoon11029_sessie2,Lin,Daen,invisible,0.5371646794821553
19,Proefpersoon11029_sessie2,Lin,Ronald,invisible,0.4692382999514252
20,Proefpersoon11029_sessie2,Daen,Ronald,invisible,0.5603105970027797
21,33001_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.7144681450197341
22,33001_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.7111933967850226
23,33001_sessie1_taskrobotEngagement,Lin,Daen,visible,0.8880689097327968
24,33002_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4979189996932888
25,33002_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.6323370298400481
26,33002_sessie1_taskrobotEngagement,Lin,Daen,visible,0.42230909427084706
27,33003_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4439041486453288
28,33003_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.4690274409948151
29,33003_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6484685703541202
30,33004_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4250988398396738
31,33004_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.5023881863701943
32,33004_sessie1_taskrobotEngagement,Lin,Daen,visible,0.5154737503476263
33,33005_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.41833669460894185
34,33005_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.7014234758137898
35,33005_sessie1_taskrobotEngagement,Lin,Daen,visible,0.501915627846943
36,33006_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.7205148921435818
37,33006_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.7362130378243907
38,33006_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6849788041294136
39,33007_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4922960158199249
40,33007_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.8126406516236936
41,33007_sessie1_taskrobotEngagement,Lin,Daen,visible,0.4754178182722588
42,51015_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.4370977716687027
43,51015_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.5012177599136923
44,51015_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.5920989895751135
45,51016_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.7359745499778113
46,51016_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.700964038246463
47,51016_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8064899516224879
48,51017_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.7885880334087596
49,51017_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.777064149384887
50,51017_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8518290975666065
51,51019_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.5656759348034516
52,51019_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.7175565104253203
53,51019_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.7913370013888285
54,51020_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.44414713050964505
55,51020_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.5750296342087922
56,51020_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.44337904206015366
57,51021_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.5412556409932207
58,51021_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.6606248716907532
59,51021_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.7257768607492068
60,Proefpersoon22016_Sessie1,Daen,Ronald,visible,0.39572050094661393
61,Proefpersoon22016_Sessie1,Daen,Lin,visible,0.466453440377836
62,Proefpersoon22016_Sessie1,Ronald,Lin,visible,0.5302716922748745
