,file,annotator,2ndannotator,case,ckappa
0,33008_sessie3_taskrobotEngagement,Ronald,Daen,visible,0.4533329951580164
1,33008_sessie3_taskrobotEngagement,Ronald,Lin,visible,0.8663086606780086
2,33008_sessie3_taskrobotEngagement,Daen,Lin,visible,0.45096268967364694
3,33010_sessie2_taskrobotEngagement,Ronald,Daen,visible,0.7287910425305442
4,33010_sessie2_taskrobotEngagement,Ronald,Lin,visible,0.8701241327080022
5,33010_sessie2_taskrobotEngagement,Daen,Lin,visible,0.7054794520547945
6,33011_sessie2_taskrobotEngagement,Ronald,Daen,visible,0.8686124925536522
7,33011_sessie2_taskrobotEngagement,Ronald,Lin,visible,0.8729754487283998
8,33011_sessie2_taskrobotEngagement,Daen,Lin,visible,0.8960429703946478
9,51014_sessie2_taskrobotEngagement,Lin,Daen,invisible,0.7972842977157163
10,51014_sessie2_taskrobotEngagement,Lin,Ronald,invisible,0.7998223381406828
11,51014_sessie2_taskrobotEngagement,Daen,Ronald,invisible,0.7589705567511648
12,Proefpersoon11009_sessie2,Lin,Daen,invisible,0.9254193102906487
13,Proefpersoon11009_sessie2,Lin,Ronald,invisible,0.9523500650751409
14,Proefpersoon11009_sessie2,Daen,Ronald,invisible,0.9168665170743995
15,Proefpersoon11012_sessie1,Lin,Daen,invisible,0.49124807824134087
16,Proefpersoon11012_sessie1,Lin,Ronald,invisible,0.438105980624667
17,Proefpersoon11012_sessie1,Daen,Ronald,invisible,0.8165623836066054
18,Proefpersoon11029_sessie2,Lin,Daen,invisible,0.7159260340636755
19,Proefpersoon11029_sessie2,Lin,Ronald,invisible,0.6339639559503973
20,Proefpersoon11029_sessie2,Daen,Ronald,invisible,0.6102798052002314
21,33001_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.7217081319698082
22,33001_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.7111933967850226
23,33001_sessie1_taskrobotEngagement,Lin,Daen,visible,0.8973950817725951
24,33002_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.4979189996932888
25,33002_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.6386526311138603
26,33002_sessie1_taskrobotEngagement,Lin,Daen,visible,0.4268302144223438
27,33003_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.5063009418249885
28,33003_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.4721240299761289
29,33003_sessie1_taskrobotEngagement,Lin,Daen,visible,0.7420783788650269
30,33004_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.6141937665683981
31,33004_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.5117394005930704
32,33004_sessie1_taskrobotEngagement,Lin,Daen,visible,0.8047740658602011
33,33005_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.5406839498588254
34,33005_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.708791512405371
35,33005_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6605646593444054
36,33006_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.7996019664166139
37,33006_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.7395250075748686
38,33006_sessie1_taskrobotEngagement,Lin,Daen,visible,0.756769865905951
39,33007_sessie1_taskrobotEngagement,Ronald,Lin,visible,0.6557280933445564
40,33007_sessie1_taskrobotEngagement,Ronald,Daen,visible,0.815011127430759
41,33007_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6373559145502394
42,51015_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.6305708198102222
43,51015_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.7586692676551704
44,51015_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.5932367100431422
45,51016_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.8219365146514372
46,51016_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.7943671450476337
47,51016_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8100286690987187
48,51017_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.7885880334087596
49,51017_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.7830511378918417
50,51017_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8582379926055919
51,51019_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.6120024833481981
52,51019_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.7577684550737472
53,51019_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8226390846607128
54,51020_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.44414713050964505
55,51020_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.6219911966105369
56,51020_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.4793594981239937
57,51021_sessie1_taskrobotEngagement,Lin,Ronald,invisible,0.760846669444062
58,51021_sessie1_taskrobotEngagement,Lin,Daen,invisible,0.8851382506366675
59,51021_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.7546636893131029
60,Proefpersoon22016_Sessie1,Daen,Ronald,visible,0.43686608460256904
61,Proefpersoon22016_Sessie1,Daen,Lin,visible,0.5439482768126158
62,Proefpersoon22016_Sessie1,Ronald,Lin,visible,0.5579714395478992
