,Unnamed: 0,file,annotator,case,framenumber,class
214007,214007,33003_sessie3_robotEngagement1,Ronald,visible,0,1
214008,214008,33003_sessie3_robotEngagement1,Ronald,visible,1,1
214009,214009,33003_sessie3_robotEngagement1,Ronald,visible,2,1
214010,214010,33003_sessie3_robotEngagement1,Ronald,visible,3,1
214011,214011,33003_sessie3_robotEngagement1,Ronald,visible,4,1
214012,214012,33003_sessie3_robotEngagement1,Ronald,visible,5,1
214013,214013,33003_sessie3_robotEngagement1,Ronald,visible,6,1
214014,214014,33003_sessie3_robotEngagement1,Ronald,visible,7,1
214015,214015,33003_sessie3_robotEngagement1,Ronald,visible,8,1
214016,214016,33003_sessie3_robotEngagement1,Ronald,visible,9,1
214017,214017,33003_sessie3_robotEngagement1,Ronald,visible,10,1
214018,214018,33003_sessie3_robotEngagement1,Ronald,visible,11,1
214019,214019,33003_sessie3_robotEngagement1,Ronald,visible,12,1
214020,214020,33003_sessie3_robotEngagement1,Ronald,visible,13,1
214021,214021,33003_sessie3_robotEngagement1,Ronald,visible,14,1
214022,214022,33003_sessie3_robotEngagement1,Ronald,visible,15,1
214023,214023,33003_sessie3_robotEngagement1,Ronald,visible,16,1
214024,214024,33003_sessie3_robotEngagement1,Ronald,visible,17,1
214025,214025,33003_sessie3_robotEngagement1,Ronald,visible,18,1
214026,214026,33003_sessie3_robotEngagement1,Ronald,visible,19,1
214027,214027,33003_sessie3_robotEngagement1,Ronald,visible,20,1
214028,214028,33003_sessie3_robotEngagement1,Ronald,visible,21,1
214029,214029,33003_sessie3_robotEngagement1,Ronald,visible,22,1
214030,214030,33003_sessie3_robotEngagement1,Ronald,visible,23,1
214031,214031,33003_sessie3_robotEngagement1,Ronald,visible,24,1
214032,214032,33003_sessie3_robotEngagement1,Ronald,visible,25,1
214033,214033,33003_sessie3_robotEngagement1,Ronald,visible,26,1
214034,214034,33003_sessie3_robotEngagement1,Ronald,visible,27,1
214035,214035,33003_sessie3_robotEngagement1,Ronald,visible,28,1
214036,214036,33003_sessie3_robotEngagement1,Ronald,visible,29,1
214037,214037,33003_sessie3_robotEngagement1,Ronald,visible,30,1
214038,214038,33003_sessie3_robotEngagement1,Ronald,visible,31,1
214039,214039,33003_sessie3_robotEngagement1,Ronald,visible,32,1
214040,214040,33003_sessie3_robotEngagement1,Ronald,visible,33,1
214041,214041,33003_sessie3_robotEngagement1,Ronald,visible,34,1
214042,214042,33003_sessie3_robotEngagement1,Ronald,visible,35,1
