,Unnamed: 0,file,case,framenumber,class
30744,30744,33004_sessie1_taskrobotEngagement,visible,0,1
30745,30745,33004_sessie1_taskrobotEngagement,visible,1,1
30746,30746,33004_sessie1_taskrobotEngagement,visible,2,1
30747,30747,33004_sessie1_taskrobotEngagement,visible,3,1
30748,30748,33004_sessie1_taskrobotEngagement,visible,4,1
30749,30749,33004_sessie1_taskrobotEngagement,visible,5,1
30750,30750,33004_sessie1_taskrobotEngagement,visible,6,1
30751,30751,33004_sessie1_taskrobotEngagement,visible,7,1
30752,30752,33004_sessie1_taskrobotEngagement,visible,8,1
30753,30753,33004_sessie1_taskrobotEngagement,visible,9,1
30754,30754,33004_sessie1_taskrobotEngagement,visible,10,1
30755,30755,33004_sessie1_taskrobotEngagement,visible,11,1
30756,30756,33004_sessie1_taskrobotEngagement,visible,12,1
30757,30757,33004_sessie1_taskrobotEngagement,visible,13,1
30758,30758,33004_sessie1_taskrobotEngagement,visible,14,1
30759,30759,33004_sessie1_taskrobotEngagement,visible,15,1
30760,30760,33004_sessie1_taskrobotEngagement,visible,16,1
30761,30761,33004_sessie1_taskrobotEngagement,visible,17,2
30762,30762,33004_sessie1_taskrobotEngagement,visible,18,2
30763,30763,33004_sessie1_taskrobotEngagement,visible,19,2
30764,30764,33004_sessie1_taskrobotEngagement,visible,20,2
30765,30765,33004_sessie1_taskrobotEngagement,visible,21,2
30766,30766,33004_sessie1_taskrobotEngagement,visible,22,2
30767,30767,33004_sessie1_taskrobotEngagement,visible,23,2
30768,30768,33004_sessie1_taskrobotEngagement,visible,24,2
30769,30769,33004_sessie1_taskrobotEngagement,visible,25,2
30770,30770,33004_sessie1_taskrobotEngagement,visible,26,2
30771,30771,33004_sessie1_taskrobotEngagement,visible,27,2
30772,30772,33004_sessie1_taskrobotEngagement,visible,28,2
30773,30773,33004_sessie1_taskrobotEngagement,visible,29,2
30774,30774,33004_sessie1_taskrobotEngagement,visible,30,2
30775,30775,33004_sessie1_taskrobotEngagement,visible,31,2
30776,30776,33004_sessie1_taskrobotEngagement,visible,32,2
30777,30777,33004_sessie1_taskrobotEngagement,visible,33,2
30778,30778,33004_sessie1_taskrobotEngagement,visible,34,2
30779,30779,33004_sessie1_taskrobotEngagement,visible,35,2
30780,30780,33004_sessie1_taskrobotEngagement,visible,36,2
30781,30781,33004_sessie1_taskrobotEngagement,visible,37,1
30782,30782,33004_sessie1_taskrobotEngagement,visible,38,1
30783,30783,33004_sessie1_taskrobotEngagement,visible,39,1
30784,30784,33004_sessie1_taskrobotEngagement,visible,40,1
30785,30785,33004_sessie1_taskrobotEngagement,visible,41,1
30786,30786,33004_sessie1_taskrobotEngagement,visible,42,1
30787,30787,33004_sessie1_taskrobotEngagement,visible,43,1
30788,30788,33004_sessie1_taskrobotEngagement,visible,44,1
30789,30789,33004_sessie1_taskrobotEngagement,visible,45,1
30790,30790,33004_sessie1_taskrobotEngagement,visible,46,1
30791,30791,33004_sessie1_taskrobotEngagement,visible,47,1
30792,30792,33004_sessie1_taskrobotEngagement,visible,48,1
30793,30793,33004_sessie1_taskrobotEngagement,visible,49,1
30794,30794,33004_sessie1_taskrobotEngagement,visible,50,1
30795,30795,33004_sessie1_taskrobotEngagement,visible,51,1
30796,30796,33004_sessie1_taskrobotEngagement,visible,52,1
30797,30797,33004_sessie1_taskrobotEngagement,visible,53,1
30798,30798,33004_sessie1_taskrobotEngagement,visible,54,1
30799,30799,33004_sessie1_taskrobotEngagement,visible,55,1
30800,30800,33004_sessie1_taskrobotEngagement,visible,56,1
30801,30801,33004_sessie1_taskrobotEngagement,visible,57,1
30802,30802,33004_sessie1_taskrobotEngagement,visible,58,1
30803,30803,33004_sessie1_taskrobotEngagement,visible,59,1
30804,30804,33004_sessie1_taskrobotEngagement,visible,60,1
30805,30805,33004_sessie1_taskrobotEngagement,visible,61,1
30806,30806,33004_sessie1_taskrobotEngagement,visible,62,1
30807,30807,33004_sessie1_taskrobotEngagement,visible,63,1
30808,30808,33004_sessie1_taskrobotEngagement,visible,64,1
