,Unnamed: 0,file,annotator,case,framenumber,class
265850,265850,33010_sessie3_taskrobotEngagement,Ronald,visible,0,1
265851,265851,33010_sessie3_taskrobotEngagement,Ronald,visible,1,1
265852,265852,33010_sessie3_taskrobotEngagement,Ronald,visible,2,1
265853,265853,33010_sessie3_taskrobotEngagement,Ronald,visible,3,1
265854,265854,33010_sessie3_taskrobotEngagement,Ronald,visible,4,1
265855,265855,33010_sessie3_taskrobotEngagement,Ronald,visible,5,1
265856,265856,33010_sessie3_taskrobotEngagement,Ronald,visible,6,1
265857,265857,33010_sessie3_taskrobotEngagement,Ronald,visible,7,1
265858,265858,33010_sessie3_taskrobotEngagement,Ronald,visible,8,1
265859,265859,33010_sessie3_taskrobotEngagement,Ronald,visible,9,1
265860,265860,33010_sessie3_taskrobotEngagement,Ronald,visible,10,1
265861,265861,33010_sessie3_taskrobotEngagement,Ronald,visible,11,1
265862,265862,33010_sessie3_taskrobotEngagement,Ronald,visible,12,1
265863,265863,33010_sessie3_taskrobotEngagement,Ronald,visible,13,1
265864,265864,33010_sessie3_taskrobotEngagement,Ronald,visible,14,1
265865,265865,33010_sessie3_taskrobotEngagement,Ronald,visible,15,1
265866,265866,33010_sessie3_taskrobotEngagement,Ronald,visible,16,1
265867,265867,33010_sessie3_taskrobotEngagement,Ronald,visible,17,1
265868,265868,33010_sessie3_taskrobotEngagement,Ronald,visible,18,1
265869,265869,33010_sessie3_taskrobotEngagement,Ronald,visible,19,1
265870,265870,33010_sessie3_taskrobotEngagement,Ronald,visible,20,1
265871,265871,33010_sessie3_taskrobotEngagement,Ronald,visible,21,1
265872,265872,33010_sessie3_taskrobotEngagement,Ronald,visible,22,1
265873,265873,33010_sessie3_taskrobotEngagement,Ronald,visible,23,1
265874,265874,33010_sessie3_taskrobotEngagement,Ronald,visible,24,1
265875,265875,33010_sessie3_taskrobotEngagement,Ronald,visible,25,1
265876,265876,33010_sessie3_taskrobotEngagement,Ronald,visible,26,1
265877,265877,33010_sessie3_taskrobotEngagement,Ronald,visible,27,1
265878,265878,33010_sessie3_taskrobotEngagement,Ronald,visible,28,1
265879,265879,33010_sessie3_taskrobotEngagement,Ronald,visible,29,1
265880,265880,33010_sessie3_taskrobotEngagement,Ronald,visible,30,1
265881,265881,33010_sessie3_taskrobotEngagement,Ronald,visible,31,1
265882,265882,33010_sessie3_taskrobotEngagement,Ronald,visible,32,1
265883,265883,33010_sessie3_taskrobotEngagement,Ronald,visible,33,1
265884,265884,33010_sessie3_taskrobotEngagement,Ronald,visible,34,1
265885,265885,33010_sessie3_taskrobotEngagement,Ronald,visible,35,1
265886,265886,33010_sessie3_taskrobotEngagement,Ronald,visible,36,1
265887,265887,33010_sessie3_taskrobotEngagement,Ronald,visible,37,1
265888,265888,33010_sessie3_taskrobotEngagement,Ronald,visible,38,1
265889,265889,33010_sessie3_taskrobotEngagement,Ronald,visible,39,1
265890,265890,33010_sessie3_taskrobotEngagement,Ronald,visible,40,1
265891,265891,33010_sessie3_taskrobotEngagement,Ronald,visible,41,1
265892,265892,33010_sessie3_taskrobotEngagement,Ronald,visible,42,1
265893,265893,33010_sessie3_taskrobotEngagement,Ronald,visible,43,1
265894,265894,33010_sessie3_taskrobotEngagement,Ronald,visible,44,1
265895,265895,33010_sessie3_taskrobotEngagement,Ronald,visible,45,1
265896,265896,33010_sessie3_taskrobotEngagement,Ronald,visible,46,1
265897,265897,33010_sessie3_taskrobotEngagement,Ronald,visible,47,1
265898,265898,33010_sessie3_taskrobotEngagement,Ronald,visible,48,1
265899,265899,33010_sessie3_taskrobotEngagement,Ronald,visible,49,1
265900,265900,33010_sessie3_taskrobotEngagement,Ronald,visible,50,1
265901,265901,33010_sessie3_taskrobotEngagement,Ronald,visible,51,1
265902,265902,33010_sessie3_taskrobotEngagement,Ronald,visible,52,1
265903,265903,33010_sessie3_taskrobotEngagement,Ronald,visible,53,1
265904,265904,33010_sessie3_taskrobotEngagement,Ronald,visible,54,1
265905,265905,33010_sessie3_taskrobotEngagement,Ronald,visible,55,1
265906,265906,33010_sessie3_taskrobotEngagement,Ronald,visible,56,1
265907,265907,33010_sessie3_taskrobotEngagement,Ronald,visible,57,1
265908,265908,33010_sessie3_taskrobotEngagement,Ronald,visible,58,1
265909,265909,33010_sessie3_taskrobotEngagement,Ronald,visible,59,1
265910,265910,33010_sessie3_taskrobotEngagement,Ronald,visible,60,1
265911,265911,33010_sessie3_taskrobotEngagement,Ronald,visible,61,1
265912,265912,33010_sessie3_taskrobotEngagement,Ronald,visible,62,1
265913,265913,33010_sessie3_taskrobotEngagement,Ronald,visible,63,1
265914,265914,33010_sessie3_taskrobotEngagement,Ronald,visible,64,1
265915,265915,33010_sessie3_taskrobotEngagement,Ronald,visible,65,1
