,Unnamed: 0,file,annotator,case,framenumber,class
0,0,33013_sessie3_robotEngagement3,Daen,visible,0,2
1,1,33013_sessie3_robotEngagement3,Daen,visible,1,2
2,2,33013_sessie3_robotEngagement3,Daen,visible,2,2
3,3,33013_sessie3_robotEngagement3,Daen,visible,3,2
4,4,33013_sessie3_robotEngagement3,Daen,visible,4,2
5,5,33013_sessie3_robotEngagement3,Daen,visible,5,2
6,6,33013_sessie3_robotEngagement3,Daen,visible,6,2
7,7,33013_sessie3_robotEngagement3,Daen,visible,7,2
8,8,33013_sessie3_robotEngagement3,Daen,visible,8,3
9,9,33013_sessie3_robotEngagement3,Daen,visible,9,3
10,10,33013_sessie3_robotEngagement3,Daen,visible,10,3
11,11,33013_sessie3_robotEngagement3,Daen,visible,11,3
12,12,33013_sessie3_robotEngagement3,Daen,visible,12,3
13,13,33013_sessie3_robotEngagement3,Daen,visible,13,3
14,14,33013_sessie3_robotEngagement3,Daen,visible,14,3
15,15,33013_sessie3_robotEngagement3,Daen,visible,15,3
16,16,33013_sessie3_robotEngagement3,Daen,visible,16,3
17,17,33013_sessie3_robotEngagement3,Daen,visible,17,3
18,18,33013_sessie3_robotEngagement3,Daen,visible,18,3
19,19,33013_sessie3_robotEngagement3,Daen,visible,19,3
20,20,33013_sessie3_robotEngagement3,Daen,visible,20,3
21,21,33013_sessie3_robotEngagement3,Daen,visible,21,3
22,22,33013_sessie3_robotEngagement3,Daen,visible,22,3
23,23,33013_sessie3_robotEngagement3,Daen,visible,23,3
24,24,33013_sessie3_robotEngagement3,Daen,visible,24,3
25,25,33013_sessie3_robotEngagement3,Daen,visible,25,3
26,26,33013_sessie3_robotEngagement3,Daen,visible,26,3
27,27,33013_sessie3_robotEngagement3,Daen,visible,27,3
28,28,33013_sessie3_robotEngagement3,Daen,visible,28,3
29,29,33013_sessie3_robotEngagement3,Daen,visible,29,3
30,30,33013_sessie3_robotEngagement3,Daen,visible,30,3
31,31,33013_sessie3_robotEngagement3,Daen,visible,31,3
32,32,33013_sessie3_robotEngagement3,Daen,visible,32,3
33,33,33013_sessie3_robotEngagement3,Daen,visible,33,3
34,34,33013_sessie3_robotEngagement3,Daen,visible,34,3
35,35,33013_sessie3_robotEngagement3,Daen,visible,35,3
36,36,33013_sessie3_robotEngagement3,Daen,visible,36,3
37,37,33013_sessie3_robotEngagement3,Daen,visible,37,3
38,38,33013_sessie3_robotEngagement3,Daen,visible,38,3
39,39,33013_sessie3_robotEngagement3,Daen,visible,39,3
40,40,33013_sessie3_robotEngagement3,Daen,visible,40,3
41,41,33013_sessie3_robotEngagement3,Daen,visible,41,3
42,42,33013_sessie3_robotEngagement3,Daen,visible,42,3
43,43,33013_sessie3_robotEngagement3,Daen,visible,43,3
44,44,33013_sessie3_robotEngagement3,Daen,visible,44,3
45,45,33013_sessie3_robotEngagement3,Daen,visible,45,3
46,46,33013_sessie3_robotEngagement3,Daen,visible,46,3
47,47,33013_sessie3_robotEngagement3,Daen,visible,47,3
48,48,33013_sessie3_robotEngagement3,Daen,visible,48,3
49,49,33013_sessie3_robotEngagement3,Daen,visible,49,3
50,50,33013_sessie3_robotEngagement3,Daen,visible,50,3
51,51,33013_sessie3_robotEngagement3,Daen,visible,51,3
52,52,33013_sessie3_robotEngagement3,Daen,visible,52,3
53,53,33013_sessie3_robotEngagement3,Daen,visible,53,3
54,54,33013_sessie3_robotEngagement3,Daen,visible,54,3
55,55,33013_sessie3_robotEngagement3,Daen,visible,55,3
56,56,33013_sessie3_robotEngagement3,Daen,visible,56,3
57,57,33013_sessie3_robotEngagement3,Daen,visible,57,3
58,58,33013_sessie3_robotEngagement3,Daen,visible,58,3
59,59,33013_sessie3_robotEngagement3,Daen,visible,59,3
60,60,33013_sessie3_robotEngagement3,Daen,visible,60,3
61,61,33013_sessie3_robotEngagement3,Daen,visible,61,3
62,62,33013_sessie3_robotEngagement3,Daen,visible,62,3
63,63,33013_sessie3_robotEngagement3,Daen,visible,63,3
64,64,33013_sessie3_robotEngagement3,Daen,visible,64,3
65,65,33013_sessie3_robotEngagement3,Daen,visible,65,3
66,66,33013_sessie3_robotEngagement3,Daen,visible,66,3
67,67,33013_sessie3_robotEngagement3,Daen,visible,67,3
68,68,33013_sessie3_robotEngagement3,Daen,visible,68,3
69,69,33013_sessie3_robotEngagement3,Daen,visible,69,3
70,70,33013_sessie3_robotEngagement3,Daen,visible,70,3
71,71,33013_sessie3_robotEngagement3,Daen,visible,71,3
72,72,33013_sessie3_robotEngagement3,Daen,visible,72,3
73,73,33013_sessie3_robotEngagement3,Daen,visible,73,3
74,74,33013_sessie3_robotEngagement3,Daen,visible,74,3
75,75,33013_sessie3_robotEngagement3,Daen,visible,75,3
76,76,33013_sessie3_robotEngagement3,Daen,visible,76,3
77,77,33013_sessie3_robotEngagement3,Daen,visible,77,3
78,78,33013_sessie3_robotEngagement3,Daen,visible,78,3
79,79,33013_sessie3_robotEngagement3,Daen,visible,79,3
80,80,33013_sessie3_robotEngagement3,Daen,visible,80,3
81,81,33013_sessie3_robotEngagement3,Daen,visible,81,3
82,82,33013_sessie3_robotEngagement3,Daen,visible,82,3
83,83,33013_sessie3_robotEngagement3,Daen,visible,83,3
84,84,33013_sessie3_robotEngagement3,Daen,visible,84,3
85,85,33013_sessie3_robotEngagement3,Daen,visible,85,3
86,86,33013_sessie3_robotEngagement3,Daen,visible,86,3
87,87,33013_sessie3_robotEngagement3,Daen,visible,87,3
88,88,33013_sessie3_robotEngagement3,Daen,visible,88,3
89,89,33013_sessie3_robotEngagement3,Daen,visible,89,3
90,90,33013_sessie3_robotEngagement3,Daen,visible,90,3
91,91,33013_sessie3_robotEngagement3,Daen,visible,91,3
92,92,33013_sessie3_robotEngagement3,Daen,visible,92,3
93,93,33013_sessie3_robotEngagement3,Daen,visible,93,3
94,94,33013_sessie3_robotEngagement3,Daen,visible,94,3
95,95,33013_sessie3_robotEngagement3,Daen,visible,95,3
96,96,33013_sessie3_robotEngagement3,Daen,visible,96,3
97,97,33013_sessie3_robotEngagement3,Daen,visible,97,3
98,98,33013_sessie3_robotEngagement3,Daen,visible,98,3
99,99,33013_sessie3_robotEngagement3,Daen,visible,99,3
100,100,33013_sessie3_robotEngagement3,Daen,visible,100,3
101,101,33013_sessie3_robotEngagement3,Daen,visible,101,3
102,102,33013_sessie3_robotEngagement3,Daen,visible,102,3
103,103,33013_sessie3_robotEngagement3,Daen,visible,103,3
104,104,33013_sessie3_robotEngagement3,Daen,visible,104,3
105,105,33013_sessie3_robotEngagement3,Daen,visible,105,3
106,106,33013_sessie3_robotEngagement3,Daen,visible,106,3
107,107,33013_sessie3_robotEngagement3,Daen,visible,107,3
108,108,33013_sessie3_robotEngagement3,Daen,visible,108,3
109,109,33013_sessie3_robotEngagement3,Daen,visible,109,1
110,110,33013_sessie3_robotEngagement3,Daen,visible,110,1
111,111,33013_sessie3_robotEngagement3,Daen,visible,111,1
112,112,33013_sessie3_robotEngagement3,Daen,visible,112,1
113,113,33013_sessie3_robotEngagement3,Daen,visible,113,1
114,114,33013_sessie3_robotEngagement3,Daen,visible,114,1
115,115,33013_sessie3_robotEngagement3,Daen,visible,115,1
116,116,33013_sessie3_robotEngagement3,Daen,visible,116,1
117,117,33013_sessie3_robotEngagement3,Daen,visible,117,1
118,118,33013_sessie3_robotEngagement3,Daen,visible,118,1
119,119,33013_sessie3_robotEngagement3,Daen,visible,119,1
120,120,33013_sessie3_robotEngagement3,Daen,visible,120,1
121,121,33013_sessie3_robotEngagement3,Daen,visible,121,1
122,122,33013_sessie3_robotEngagement3,Daen,visible,122,1
123,123,33013_sessie3_robotEngagement3,Daen,visible,123,1
124,124,33013_sessie3_robotEngagement3,Daen,visible,124,1
125,125,33013_sessie3_robotEngagement3,Daen,visible,125,1
126,126,33013_sessie3_robotEngagement3,Daen,visible,126,1
127,127,33013_sessie3_robotEngagement3,Daen,visible,127,1
128,128,33013_sessie3_robotEngagement3,Daen,visible,128,1
129,129,33013_sessie3_robotEngagement3,Daen,visible,129,1
130,130,33013_sessie3_robotEngagement3,Daen,visible,130,1
131,131,33013_sessie3_robotEngagement3,Daen,visible,131,1
132,132,33013_sessie3_robotEngagement3,Daen,visible,132,1
133,133,33013_sessie3_robotEngagement3,Daen,visible,133,1
134,134,33013_sessie3_robotEngagement3,Daen,visible,134,1
135,135,33013_sessie3_robotEngagement3,Daen,visible,135,1
136,136,33013_sessie3_robotEngagement3,Daen,visible,136,1
137,137,33013_sessie3_robotEngagement3,Daen,visible,137,1
138,138,33013_sessie3_robotEngagement3,Daen,visible,138,1
139,139,33013_sessie3_robotEngagement3,Daen,visible,139,1
140,140,33013_sessie3_robotEngagement3,Daen,visible,140,1
141,141,33013_sessie3_robotEngagement3,Daen,visible,141,1
142,142,33013_sessie3_robotEngagement3,Daen,visible,142,1
143,143,33013_sessie3_robotEngagement3,Daen,visible,143,1
144,144,33013_sessie3_robotEngagement3,Daen,visible,144,1
145,145,33013_sessie3_robotEngagement3,Daen,visible,145,1
146,146,33013_sessie3_robotEngagement3,Daen,visible,146,1
147,147,33013_sessie3_robotEngagement3,Daen,visible,147,1
148,148,33013_sessie3_robotEngagement3,Daen,visible,148,1
149,149,33013_sessie3_robotEngagement3,Daen,visible,149,1
150,150,33013_sessie3_robotEngagement3,Daen,visible,150,1
151,151,33013_sessie3_robotEngagement3,Daen,visible,151,1
152,152,33013_sessie3_robotEngagement3,Daen,visible,152,1
153,153,33013_sessie3_robotEngagement3,Daen,visible,153,1
154,154,33013_sessie3_robotEngagement3,Daen,visible,154,1
155,155,33013_sessie3_robotEngagement3,Daen,visible,155,1
156,156,33013_sessie3_robotEngagement3,Daen,visible,156,1
157,157,33013_sessie3_robotEngagement3,Daen,visible,157,1
158,158,33013_sessie3_robotEngagement3,Daen,visible,158,1
159,159,33013_sessie3_robotEngagement3,Daen,visible,159,1
160,160,33013_sessie3_robotEngagement3,Daen,visible,160,1
161,161,33013_sessie3_robotEngagement3,Daen,visible,161,1
162,162,33013_sessie3_robotEngagement3,Daen,visible,162,1
163,163,33013_sessie3_robotEngagement3,Daen,visible,163,1
164,164,33013_sessie3_robotEngagement3,Daen,visible,164,1
165,165,33013_sessie3_robotEngagement3,Daen,visible,165,1
166,166,33013_sessie3_robotEngagement3,Daen,visible,166,1
167,167,33013_sessie3_robotEngagement3,Daen,visible,167,1
168,168,33013_sessie3_robotEngagement3,Daen,visible,168,1
169,169,33013_sessie3_robotEngagement3,Daen,visible,169,1
170,170,33013_sessie3_robotEngagement3,Daen,visible,170,1
171,171,33013_sessie3_robotEngagement3,Daen,visible,171,1
172,172,33013_sessie3_robotEngagement3,Daen,visible,172,1
173,173,33013_sessie3_robotEngagement3,Daen,visible,173,1
174,174,33013_sessie3_robotEngagement3,Daen,visible,174,1
175,175,33013_sessie3_robotEngagement3,Daen,visible,175,1
176,176,33013_sessie3_robotEngagement3,Daen,visible,176,1
177,177,33013_sessie3_robotEngagement3,Daen,visible,177,1
178,178,33013_sessie3_robotEngagement3,Daen,visible,178,1
179,179,33013_sessie3_robotEngagement3,Daen,visible,179,1
180,180,33013_sessie3_robotEngagement3,Daen,visible,180,1
181,181,33013_sessie3_robotEngagement3,Daen,visible,181,1
182,182,33013_sessie3_robotEngagement3,Daen,visible,182,1
183,183,33013_sessie3_robotEngagement3,Daen,visible,183,1
184,184,33013_sessie3_robotEngagement3,Daen,visible,184,1
185,185,33013_sessie3_robotEngagement3,Daen,visible,185,1
186,186,33013_sessie3_robotEngagement3,Daen,visible,186,1
187,187,33013_sessie3_robotEngagement3,Daen,visible,187,1
188,188,33013_sessie3_robotEngagement3,Daen,visible,188,1
189,189,33013_sessie3_robotEngagement3,Daen,visible,189,1
190,190,33013_sessie3_robotEngagement3,Daen,visible,190,1
191,191,33013_sessie3_robotEngagement3,Daen,visible,191,1
192,192,33013_sessie3_robotEngagement3,Daen,visible,192,1
193,193,33013_sessie3_robotEngagement3,Daen,visible,193,1
194,194,33013_sessie3_robotEngagement3,Daen,visible,194,1
195,195,33013_sessie3_robotEngagement3,Daen,visible,195,1
196,196,33013_sessie3_robotEngagement3,Daen,visible,196,1
197,197,33013_sessie3_robotEngagement3,Daen,visible,197,1
198,198,33013_sessie3_robotEngagement3,Daen,visible,198,1
199,199,33013_sessie3_robotEngagement3,Daen,visible,199,1
200,200,33013_sessie3_robotEngagement3,Daen,visible,200,1
201,201,33013_sessie3_robotEngagement3,Daen,visible,201,1
202,202,33013_sessie3_robotEngagement3,Daen,visible,202,1
203,203,33013_sessie3_robotEngagement3,Daen,visible,203,1
204,204,33013_sessie3_robotEngagement3,Daen,visible,204,1
205,205,33013_sessie3_robotEngagement3,Daen,visible,205,1
206,206,33013_sessie3_robotEngagement3,Daen,visible,206,1
207,207,33013_sessie3_robotEngagement3,Daen,visible,207,1
208,208,33013_sessie3_robotEngagement3,Daen,visible,208,1
209,209,33013_sessie3_robotEngagement3,Daen,visible,209,1
210,210,33013_sessie3_robotEngagement3,Daen,visible,210,1
211,211,33013_sessie3_robotEngagement3,Daen,visible,211,1
212,212,33013_sessie3_robotEngagement3,Daen,visible,212,1
213,213,33013_sessie3_robotEngagement3,Daen,visible,213,1
214,214,33013_sessie3_robotEngagement3,Daen,visible,214,1
215,215,33013_sessie3_robotEngagement3,Daen,visible,215,1
216,216,33013_sessie3_robotEngagement3,Daen,visible,216,1
217,217,33013_sessie3_robotEngagement3,Daen,visible,217,1
218,218,33013_sessie3_robotEngagement3,Daen,visible,218,1
219,219,33013_sessie3_robotEngagement3,Daen,visible,219,1
220,220,33013_sessie3_robotEngagement3,Daen,visible,220,1
221,221,33013_sessie3_robotEngagement3,Daen,visible,221,1
222,222,33013_sessie3_robotEngagement3,Daen,visible,222,1
223,223,33013_sessie3_robotEngagement3,Daen,visible,223,1
224,224,33013_sessie3_robotEngagement3,Daen,visible,224,1
225,225,33013_sessie3_robotEngagement3,Daen,visible,225,1
226,226,33013_sessie3_robotEngagement3,Daen,visible,226,1
227,227,33013_sessie3_robotEngagement3,Daen,visible,227,1
228,228,33013_sessie3_robotEngagement3,Daen,visible,228,1
229,229,33013_sessie3_robotEngagement3,Daen,visible,229,1
230,230,33013_sessie3_robotEngagement3,Daen,visible,230,1
231,231,33013_sessie3_robotEngagement3,Daen,visible,231,1
232,232,33013_sessie3_robotEngagement3,Daen,visible,232,1
233,233,33013_sessie3_robotEngagement3,Daen,visible,233,1
234,234,33013_sessie3_robotEngagement3,Daen,visible,234,1
235,235,33013_sessie3_robotEngagement3,Daen,visible,235,1
236,236,33013_sessie3_robotEngagement3,Daen,visible,236,1
237,237,33013_sessie3_robotEngagement3,Daen,visible,237,1
238,238,33013_sessie3_robotEngagement3,Daen,visible,238,1
239,239,33013_sessie3_robotEngagement3,Daen,visible,239,1
240,240,33013_sessie3_robotEngagement3,Daen,visible,240,1
241,241,33013_sessie3_robotEngagement3,Daen,visible,241,1
242,242,33013_sessie3_robotEngagement3,Daen,visible,242,1
243,243,33013_sessie3_robotEngagement3,Daen,visible,243,1
244,244,33013_sessie3_robotEngagement3,Daen,visible,244,1
245,245,33013_sessie3_robotEngagement3,Daen,visible,245,1
246,246,33013_sessie3_robotEngagement3,Daen,visible,246,1
247,247,33013_sessie3_robotEngagement3,Daen,visible,247,1
