,Unnamed: 0,file,annotator,case,framenumber,class
33776,33776,51011_sessie3_taskEngagement1,Daen,invisible,0,1
33777,33777,51011_sessie3_taskEngagement1,Daen,invisible,1,1
33778,33778,51011_sessie3_taskEngagement1,Daen,invisible,2,1
33779,33779,51011_sessie3_taskEngagement1,Daen,invisible,3,1
33780,33780,51011_sessie3_taskEngagement1,Daen,invisible,4,1
33781,33781,51011_sessie3_taskEngagement1,Daen,invisible,5,1
33782,33782,51011_sessie3_taskEngagement1,Daen,invisible,6,1
33783,33783,51011_sessie3_taskEngagement1,Daen,invisible,7,1
33784,33784,51011_sessie3_taskEngagement1,Daen,invisible,8,1
33785,33785,51011_sessie3_taskEngagement1,Daen,invisible,9,1
33786,33786,51011_sessie3_taskEngagement1,Daen,invisible,10,1
33787,33787,51011_sessie3_taskEngagement1,Daen,invisible,11,1
33788,33788,51011_sessie3_taskEngagement1,Daen,invisible,12,1
33789,33789,51011_sessie3_taskEngagement1,Daen,invisible,13,1
33790,33790,51011_sessie3_taskEngagement1,Daen,invisible,14,1
33791,33791,51011_sessie3_taskEngagement1,Daen,invisible,15,1
33792,33792,51011_sessie3_taskEngagement1,Daen,invisible,16,1
33793,33793,51011_sessie3_taskEngagement1,Daen,invisible,17,1
33794,33794,51011_sessie3_taskEngagement1,Daen,invisible,18,1
33795,33795,51011_sessie3_taskEngagement1,Daen,invisible,19,1
33796,33796,51011_sessie3_taskEngagement1,Daen,invisible,20,1
33797,33797,51011_sessie3_taskEngagement1,Daen,invisible,21,1
33798,33798,51011_sessie3_taskEngagement1,Daen,invisible,22,1
33799,33799,51011_sessie3_taskEngagement1,Daen,invisible,23,1
33800,33800,51011_sessie3_taskEngagement1,Daen,invisible,24,1
33801,33801,51011_sessie3_taskEngagement1,Daen,invisible,25,1
33802,33802,51011_sessie3_taskEngagement1,Daen,invisible,26,1
33803,33803,51011_sessie3_taskEngagement1,Daen,invisible,27,1
33804,33804,51011_sessie3_taskEngagement1,Daen,invisible,28,1
33805,33805,51011_sessie3_taskEngagement1,Daen,invisible,29,1
33806,33806,51011_sessie3_taskEngagement1,Daen,invisible,30,1
33807,33807,51011_sessie3_taskEngagement1,Daen,invisible,31,1
33808,33808,51011_sessie3_taskEngagement1,Daen,invisible,32,1
33809,33809,51011_sessie3_taskEngagement1,Daen,invisible,33,1
33810,33810,51011_sessie3_taskEngagement1,Daen,invisible,34,1
33811,33811,51011_sessie3_taskEngagement1,Daen,invisible,35,1
33812,33812,51011_sessie3_taskEngagement1,Daen,invisible,36,1
33813,33813,51011_sessie3_taskEngagement1,Daen,invisible,37,1
33814,33814,51011_sessie3_taskEngagement1,Daen,invisible,38,1
33815,33815,51011_sessie3_taskEngagement1,Daen,invisible,39,1
33816,33816,51011_sessie3_taskEngagement1,Daen,invisible,40,1
33817,33817,51011_sessie3_taskEngagement1,Daen,invisible,41,1
33818,33818,51011_sessie3_taskEngagement1,Daen,invisible,42,1
33819,33819,51011_sessie3_taskEngagement1,Daen,invisible,43,1
33820,33820,51011_sessie3_taskEngagement1,Daen,invisible,44,1
33821,33821,51011_sessie3_taskEngagement1,Daen,invisible,45,1
33822,33822,51011_sessie3_taskEngagement1,Daen,invisible,46,1
33823,33823,51011_sessie3_taskEngagement1,Daen,invisible,47,1
33824,33824,51011_sessie3_taskEngagement1,Daen,invisible,48,1
33825,33825,51011_sessie3_taskEngagement1,Daen,invisible,49,1
33826,33826,51011_sessie3_taskEngagement1,Daen,invisible,50,1
33827,33827,51011_sessie3_taskEngagement1,Daen,invisible,51,1
33828,33828,51011_sessie3_taskEngagement1,Daen,invisible,52,4
33829,33829,51011_sessie3_taskEngagement1,Daen,invisible,53,4
33830,33830,51011_sessie3_taskEngagement1,Daen,invisible,54,4
33831,33831,51011_sessie3_taskEngagement1,Daen,invisible,55,4
33832,33832,51011_sessie3_taskEngagement1,Daen,invisible,56,4
33833,33833,51011_sessie3_taskEngagement1,Daen,invisible,57,4
33834,33834,51011_sessie3_taskEngagement1,Daen,invisible,58,4
33835,33835,51011_sessie3_taskEngagement1,Daen,invisible,59,4
33836,33836,51011_sessie3_taskEngagement1,Daen,invisible,60,4
33837,33837,51011_sessie3_taskEngagement1,Daen,invisible,61,4
33838,33838,51011_sessie3_taskEngagement1,Daen,invisible,62,4
33839,33839,51011_sessie3_taskEngagement1,Daen,invisible,63,4
33840,33840,51011_sessie3_taskEngagement1,Daen,invisible,64,4
33841,33841,51011_sessie3_taskEngagement1,Daen,invisible,65,4
33842,33842,51011_sessie3_taskEngagement1,Daen,invisible,66,4
33843,33843,51011_sessie3_taskEngagement1,Daen,invisible,67,4
33844,33844,51011_sessie3_taskEngagement1,Daen,invisible,68,4
33845,33845,51011_sessie3_taskEngagement1,Daen,invisible,69,4
33846,33846,51011_sessie3_taskEngagement1,Daen,invisible,70,4
33847,33847,51011_sessie3_taskEngagement1,Daen,invisible,71,4
33848,33848,51011_sessie3_taskEngagement1,Daen,invisible,72,4
33849,33849,51011_sessie3_taskEngagement1,Daen,invisible,73,4
33850,33850,51011_sessie3_taskEngagement1,Daen,invisible,74,4
33851,33851,51011_sessie3_taskEngagement1,Daen,invisible,75,4
33852,33852,51011_sessie3_taskEngagement1,Daen,invisible,76,4
33853,33853,51011_sessie3_taskEngagement1,Daen,invisible,77,4
33854,33854,51011_sessie3_taskEngagement1,Daen,invisible,78,4
33855,33855,51011_sessie3_taskEngagement1,Daen,invisible,79,4
33856,33856,51011_sessie3_taskEngagement1,Daen,invisible,80,4
33857,33857,51011_sessie3_taskEngagement1,Daen,invisible,81,4
33858,33858,51011_sessie3_taskEngagement1,Daen,invisible,82,4
33859,33859,51011_sessie3_taskEngagement1,Daen,invisible,83,4
33860,33860,51011_sessie3_taskEngagement1,Daen,invisible,84,4
33861,33861,51011_sessie3_taskEngagement1,Daen,invisible,85,4
33862,33862,51011_sessie3_taskEngagement1,Daen,invisible,86,4
33863,33863,51011_sessie3_taskEngagement1,Daen,invisible,87,4
33864,33864,51011_sessie3_taskEngagement1,Daen,invisible,88,4
33865,33865,51011_sessie3_taskEngagement1,Daen,invisible,89,4
33866,33866,51011_sessie3_taskEngagement1,Daen,invisible,90,4
33867,33867,51011_sessie3_taskEngagement1,Daen,invisible,91,4
33868,33868,51011_sessie3_taskEngagement1,Daen,invisible,92,4
33869,33869,51011_sessie3_taskEngagement1,Daen,invisible,93,4
33870,33870,51011_sessie3_taskEngagement1,Daen,invisible,94,4
33871,33871,51011_sessie3_taskEngagement1,Daen,invisible,95,4
33872,33872,51011_sessie3_taskEngagement1,Daen,invisible,96,4
33873,33873,51011_sessie3_taskEngagement1,Daen,invisible,97,4
33874,33874,51011_sessie3_taskEngagement1,Daen,invisible,98,4
33875,33875,51011_sessie3_taskEngagement1,Daen,invisible,99,4
33876,33876,51011_sessie3_taskEngagement1,Daen,invisible,100,4
33877,33877,51011_sessie3_taskEngagement1,Daen,invisible,101,4
33878,33878,51011_sessie3_taskEngagement1,Daen,invisible,102,4
33879,33879,51011_sessie3_taskEngagement1,Daen,invisible,103,4
33880,33880,51011_sessie3_taskEngagement1,Daen,invisible,104,4
33881,33881,51011_sessie3_taskEngagement1,Daen,invisible,105,4
33882,33882,51011_sessie3_taskEngagement1,Daen,invisible,106,4
33883,33883,51011_sessie3_taskEngagement1,Daen,invisible,107,4
33884,33884,51011_sessie3_taskEngagement1,Daen,invisible,108,4
33885,33885,51011_sessie3_taskEngagement1,Daen,invisible,109,4
33886,33886,51011_sessie3_taskEngagement1,Daen,invisible,110,4
33887,33887,51011_sessie3_taskEngagement1,Daen,invisible,111,4
33888,33888,51011_sessie3_taskEngagement1,Daen,invisible,112,4
33889,33889,51011_sessie3_taskEngagement1,Daen,invisible,113,4
33890,33890,51011_sessie3_taskEngagement1,Daen,invisible,114,4
33891,33891,51011_sessie3_taskEngagement1,Daen,invisible,115,4
33892,33892,51011_sessie3_taskEngagement1,Daen,invisible,116,4
33893,33893,51011_sessie3_taskEngagement1,Daen,invisible,117,4
33894,33894,51011_sessie3_taskEngagement1,Daen,invisible,118,4
33895,33895,51011_sessie3_taskEngagement1,Daen,invisible,119,4
33896,33896,51011_sessie3_taskEngagement1,Daen,invisible,120,4
33897,33897,51011_sessie3_taskEngagement1,Daen,invisible,121,4
33898,33898,51011_sessie3_taskEngagement1,Daen,invisible,122,4
33899,33899,51011_sessie3_taskEngagement1,Daen,invisible,123,4
33900,33900,51011_sessie3_taskEngagement1,Daen,invisible,124,4
33901,33901,51011_sessie3_taskEngagement1,Daen,invisible,125,4
33902,33902,51011_sessie3_taskEngagement1,Daen,invisible,126,4
33903,33903,51011_sessie3_taskEngagement1,Daen,invisible,127,4
33904,33904,51011_sessie3_taskEngagement1,Daen,invisible,128,4
33905,33905,51011_sessie3_taskEngagement1,Daen,invisible,129,4
33906,33906,51011_sessie3_taskEngagement1,Daen,invisible,130,4
33907,33907,51011_sessie3_taskEngagement1,Daen,invisible,131,4
33908,33908,51011_sessie3_taskEngagement1,Daen,invisible,132,4
33909,33909,51011_sessie3_taskEngagement1,Daen,invisible,133,4
33910,33910,51011_sessie3_taskEngagement1,Daen,invisible,134,4
33911,33911,51011_sessie3_taskEngagement1,Daen,invisible,135,4
33912,33912,51011_sessie3_taskEngagement1,Daen,invisible,136,4
33913,33913,51011_sessie3_taskEngagement1,Daen,invisible,137,4
33914,33914,51011_sessie3_taskEngagement1,Daen,invisible,138,4
33915,33915,51011_sessie3_taskEngagement1,Daen,invisible,139,4
33916,33916,51011_sessie3_taskEngagement1,Daen,invisible,140,4
33917,33917,51011_sessie3_taskEngagement1,Daen,invisible,141,4
33918,33918,51011_sessie3_taskEngagement1,Daen,invisible,142,4
33919,33919,51011_sessie3_taskEngagement1,Daen,invisible,143,4
33920,33920,51011_sessie3_taskEngagement1,Daen,invisible,144,4
33921,33921,51011_sessie3_taskEngagement1,Daen,invisible,145,4
33922,33922,51011_sessie3_taskEngagement1,Daen,invisible,146,4
33923,33923,51011_sessie3_taskEngagement1,Daen,invisible,147,4
33924,33924,51011_sessie3_taskEngagement1,Daen,invisible,148,4
33925,33925,51011_sessie3_taskEngagement1,Daen,invisible,149,4
33926,33926,51011_sessie3_taskEngagement1,Daen,invisible,150,4
33927,33927,51011_sessie3_taskEngagement1,Daen,invisible,151,0
33928,33928,51011_sessie3_taskEngagement1,Daen,invisible,152,0
33929,33929,51011_sessie3_taskEngagement1,Daen,invisible,153,0
33930,33930,51011_sessie3_taskEngagement1,Daen,invisible,154,0
33931,33931,51011_sessie3_taskEngagement1,Daen,invisible,155,0
