,Unnamed: 0,file,annotator,case,framenumber,class
113714,113714,51016_sessie3_taskEngagement1,Lin,invisible,0,2
113715,113715,51016_sessie3_taskEngagement1,Lin,invisible,1,2
113716,113716,51016_sessie3_taskEngagement1,Lin,invisible,2,2
113717,113717,51016_sessie3_taskEngagement1,Lin,invisible,3,2
113718,113718,51016_sessie3_taskEngagement1,Lin,invisible,4,2
113719,113719,51016_sessie3_taskEngagement1,Lin,invisible,5,2
113720,113720,51016_sessie3_taskEngagement1,Lin,invisible,6,2
113721,113721,51016_sessie3_taskEngagement1,Lin,invisible,7,2
113722,113722,51016_sessie3_taskEngagement1,Lin,invisible,8,2
113723,113723,51016_sessie3_taskEngagement1,Lin,invisible,9,2
113724,113724,51016_sessie3_taskEngagement1,Lin,invisible,10,2
113725,113725,51016_sessie3_taskEngagement1,Lin,invisible,11,2
113726,113726,51016_sessie3_taskEngagement1,Lin,invisible,12,2
113727,113727,51016_sessie3_taskEngagement1,Lin,invisible,13,2
113728,113728,51016_sessie3_taskEngagement1,Lin,invisible,14,0
113729,113729,51016_sessie3_taskEngagement1,Lin,invisible,15,0
113730,113730,51016_sessie3_taskEngagement1,Lin,invisible,16,0
113731,113731,51016_sessie3_taskEngagement1,Lin,invisible,17,0
113732,113732,51016_sessie3_taskEngagement1,Lin,invisible,18,0
113733,113733,51016_sessie3_taskEngagement1,Lin,invisible,19,0
113734,113734,51016_sessie3_taskEngagement1,Lin,invisible,20,0
113735,113735,51016_sessie3_taskEngagement1,Lin,invisible,21,0
113736,113736,51016_sessie3_taskEngagement1,Lin,invisible,22,0
113737,113737,51016_sessie3_taskEngagement1,Lin,invisible,23,0
113738,113738,51016_sessie3_taskEngagement1,Lin,invisible,24,0
113739,113739,51016_sessie3_taskEngagement1,Lin,invisible,25,0
113740,113740,51016_sessie3_taskEngagement1,Lin,invisible,26,0
113741,113741,51016_sessie3_taskEngagement1,Lin,invisible,27,0
113742,113742,51016_sessie3_taskEngagement1,Lin,invisible,28,0
113743,113743,51016_sessie3_taskEngagement1,Lin,invisible,29,0
113744,113744,51016_sessie3_taskEngagement1,Lin,invisible,30,0
113745,113745,51016_sessie3_taskEngagement1,Lin,invisible,31,0
113746,113746,51016_sessie3_taskEngagement1,Lin,invisible,32,0
113747,113747,51016_sessie3_taskEngagement1,Lin,invisible,33,0
113748,113748,51016_sessie3_taskEngagement1,Lin,invisible,34,0
113749,113749,51016_sessie3_taskEngagement1,Lin,invisible,35,0
113750,113750,51016_sessie3_taskEngagement1,Lin,invisible,36,0
113751,113751,51016_sessie3_taskEngagement1,Lin,invisible,37,0
113752,113752,51016_sessie3_taskEngagement1,Lin,invisible,38,0
113753,113753,51016_sessie3_taskEngagement1,Lin,invisible,39,0
113754,113754,51016_sessie3_taskEngagement1,Lin,invisible,40,0
113755,113755,51016_sessie3_taskEngagement1,Lin,invisible,41,0
113756,113756,51016_sessie3_taskEngagement1,Lin,invisible,42,0
113757,113757,51016_sessie3_taskEngagement1,Lin,invisible,43,0
113758,113758,51016_sessie3_taskEngagement1,Lin,invisible,44,0
113759,113759,51016_sessie3_taskEngagement1,Lin,invisible,45,0
113760,113760,51016_sessie3_taskEngagement1,Lin,invisible,46,0
113761,113761,51016_sessie3_taskEngagement1,Lin,invisible,47,4
113762,113762,51016_sessie3_taskEngagement1,Lin,invisible,48,4
113763,113763,51016_sessie3_taskEngagement1,Lin,invisible,49,4
113764,113764,51016_sessie3_taskEngagement1,Lin,invisible,50,4
113765,113765,51016_sessie3_taskEngagement1,Lin,invisible,51,4
113766,113766,51016_sessie3_taskEngagement1,Lin,invisible,52,4
113767,113767,51016_sessie3_taskEngagement1,Lin,invisible,53,4
113768,113768,51016_sessie3_taskEngagement1,Lin,invisible,54,4
113769,113769,51016_sessie3_taskEngagement1,Lin,invisible,55,4
113770,113770,51016_sessie3_taskEngagement1,Lin,invisible,56,4
113771,113771,51016_sessie3_taskEngagement1,Lin,invisible,57,4
113772,113772,51016_sessie3_taskEngagement1,Lin,invisible,58,4
113773,113773,51016_sessie3_taskEngagement1,Lin,invisible,59,4
113774,113774,51016_sessie3_taskEngagement1,Lin,invisible,60,4
113775,113775,51016_sessie3_taskEngagement1,Lin,invisible,61,4
113776,113776,51016_sessie3_taskEngagement1,Lin,invisible,62,4
113777,113777,51016_sessie3_taskEngagement1,Lin,invisible,63,4
113778,113778,51016_sessie3_taskEngagement1,Lin,invisible,64,4
113779,113779,51016_sessie3_taskEngagement1,Lin,invisible,65,4
113780,113780,51016_sessie3_taskEngagement1,Lin,invisible,66,4
113781,113781,51016_sessie3_taskEngagement1,Lin,invisible,67,4
113782,113782,51016_sessie3_taskEngagement1,Lin,invisible,68,4
113783,113783,51016_sessie3_taskEngagement1,Lin,invisible,69,4
113784,113784,51016_sessie3_taskEngagement1,Lin,invisible,70,4
113785,113785,51016_sessie3_taskEngagement1,Lin,invisible,71,4
113786,113786,51016_sessie3_taskEngagement1,Lin,invisible,72,4
113787,113787,51016_sessie3_taskEngagement1,Lin,invisible,73,4
113788,113788,51016_sessie3_taskEngagement1,Lin,invisible,74,4
113789,113789,51016_sessie3_taskEngagement1,Lin,invisible,75,4
113790,113790,51016_sessie3_taskEngagement1,Lin,invisible,76,4
113791,113791,51016_sessie3_taskEngagement1,Lin,invisible,77,4
113792,113792,51016_sessie3_taskEngagement1,Lin,invisible,78,4
