,Unnamed: 0,file,annotator,case,framenumber,class
116154,116154,51016_sessie3_taskrobotEngagement,Lin,invisible,0,4
116155,116155,51016_sessie3_taskrobotEngagement,Lin,invisible,1,4
116156,116156,51016_sessie3_taskrobotEngagement,Lin,invisible,2,4
116157,116157,51016_sessie3_taskrobotEngagement,Lin,invisible,3,4
116158,116158,51016_sessie3_taskrobotEngagement,Lin,invisible,4,4
116159,116159,51016_sessie3_taskrobotEngagement,Lin,invisible,5,4
116160,116160,51016_sessie3_taskrobotEngagement,Lin,invisible,6,4
116161,116161,51016_sessie3_taskrobotEngagement,Lin,invisible,7,4
116162,116162,51016_sessie3_taskrobotEngagement,Lin,invisible,8,4
116163,116163,51016_sessie3_taskrobotEngagement,Lin,invisible,9,4
116164,116164,51016_sessie3_taskrobotEngagement,Lin,invisible,10,4
116165,116165,51016_sessie3_taskrobotEngagement,Lin,invisible,11,4
116166,116166,51016_sessie3_taskrobotEngagement,Lin,invisible,12,4
116167,116167,51016_sessie3_taskrobotEngagement,Lin,invisible,13,4
116168,116168,51016_sessie3_taskrobotEngagement,Lin,invisible,14,4
116169,116169,51016_sessie3_taskrobotEngagement,Lin,invisible,15,4
116170,116170,51016_sessie3_taskrobotEngagement,Lin,invisible,16,4
116171,116171,51016_sessie3_taskrobotEngagement,Lin,invisible,17,4
116172,116172,51016_sessie3_taskrobotEngagement,Lin,invisible,18,4
116173,116173,51016_sessie3_taskrobotEngagement,Lin,invisible,19,4
116174,116174,51016_sessie3_taskrobotEngagement,Lin,invisible,20,4
116175,116175,51016_sessie3_taskrobotEngagement,Lin,invisible,21,4
116176,116176,51016_sessie3_taskrobotEngagement,Lin,invisible,22,4
116177,116177,51016_sessie3_taskrobotEngagement,Lin,invisible,23,4
116178,116178,51016_sessie3_taskrobotEngagement,Lin,invisible,24,4
116179,116179,51016_sessie3_taskrobotEngagement,Lin,invisible,25,4
116180,116180,51016_sessie3_taskrobotEngagement,Lin,invisible,26,4
116181,116181,51016_sessie3_taskrobotEngagement,Lin,invisible,27,4
116182,116182,51016_sessie3_taskrobotEngagement,Lin,invisible,28,4
116183,116183,51016_sessie3_taskrobotEngagement,Lin,invisible,29,4
116184,116184,51016_sessie3_taskrobotEngagement,Lin,invisible,30,4
116185,116185,51016_sessie3_taskrobotEngagement,Lin,invisible,31,4
116186,116186,51016_sessie3_taskrobotEngagement,Lin,invisible,32,4
116187,116187,51016_sessie3_taskrobotEngagement,Lin,invisible,33,4
116188,116188,51016_sessie3_taskrobotEngagement,Lin,invisible,34,4
116189,116189,51016_sessie3_taskrobotEngagement,Lin,invisible,35,4
116190,116190,51016_sessie3_taskrobotEngagement,Lin,invisible,36,4
116191,116191,51016_sessie3_taskrobotEngagement,Lin,invisible,37,4
116192,116192,51016_sessie3_taskrobotEngagement,Lin,invisible,38,4
116193,116193,51016_sessie3_taskrobotEngagement,Lin,invisible,39,4
116194,116194,51016_sessie3_taskrobotEngagement,Lin,invisible,40,4
116195,116195,51016_sessie3_taskrobotEngagement,Lin,invisible,41,4
116196,116196,51016_sessie3_taskrobotEngagement,Lin,invisible,42,4
116197,116197,51016_sessie3_taskrobotEngagement,Lin,invisible,43,2
116198,116198,51016_sessie3_taskrobotEngagement,Lin,invisible,44,2
116199,116199,51016_sessie3_taskrobotEngagement,Lin,invisible,45,2
116200,116200,51016_sessie3_taskrobotEngagement,Lin,invisible,46,2
116201,116201,51016_sessie3_taskrobotEngagement,Lin,invisible,47,2
116202,116202,51016_sessie3_taskrobotEngagement,Lin,invisible,48,2
116203,116203,51016_sessie3_taskrobotEngagement,Lin,invisible,49,2
116204,116204,51016_sessie3_taskrobotEngagement,Lin,invisible,50,2
116205,116205,51016_sessie3_taskrobotEngagement,Lin,invisible,51,2
116206,116206,51016_sessie3_taskrobotEngagement,Lin,invisible,52,2
116207,116207,51016_sessie3_taskrobotEngagement,Lin,invisible,53,2
116208,116208,51016_sessie3_taskrobotEngagement,Lin,invisible,54,2
116209,116209,51016_sessie3_taskrobotEngagement,Lin,invisible,55,2
116210,116210,51016_sessie3_taskrobotEngagement,Lin,invisible,56,3
116211,116211,51016_sessie3_taskrobotEngagement,Lin,invisible,57,3
116212,116212,51016_sessie3_taskrobotEngagement,Lin,invisible,58,3
116213,116213,51016_sessie3_taskrobotEngagement,Lin,invisible,59,3
116214,116214,51016_sessie3_taskrobotEngagement,Lin,invisible,60,3
116215,116215,51016_sessie3_taskrobotEngagement,Lin,invisible,61,3
116216,116216,51016_sessie3_taskrobotEngagement,Lin,invisible,62,3
116217,116217,51016_sessie3_taskrobotEngagement,Lin,invisible,63,3
116218,116218,51016_sessie3_taskrobotEngagement,Lin,invisible,64,3
116219,116219,51016_sessie3_taskrobotEngagement,Lin,invisible,65,3
