,Unnamed: 0,file,annotator,case,framenumber,class
95350,95350,51021_sessie1_taskrobotEngagement,Daen,invisible,0,1
95351,95351,51021_sessie1_taskrobotEngagement,Daen,invisible,1,1
95352,95352,51021_sessie1_taskrobotEngagement,Daen,invisible,2,1
95353,95353,51021_sessie1_taskrobotEngagement,Daen,invisible,3,1
95354,95354,51021_sessie1_taskrobotEngagement,Daen,invisible,4,1
95355,95355,51021_sessie1_taskrobotEngagement,Daen,invisible,5,1
95356,95356,51021_sessie1_taskrobotEngagement,Daen,invisible,6,1
95357,95357,51021_sessie1_taskrobotEngagement,Daen,invisible,7,1
95358,95358,51021_sessie1_taskrobotEngagement,Daen,invisible,8,1
95359,95359,51021_sessie1_taskrobotEngagement,Daen,invisible,9,1
95360,95360,51021_sessie1_taskrobotEngagement,Daen,invisible,10,1
95361,95361,51021_sessie1_taskrobotEngagement,Daen,invisible,11,1
95362,95362,51021_sessie1_taskrobotEngagement,Daen,invisible,12,1
95363,95363,51021_sessie1_taskrobotEngagement,Daen,invisible,13,1
95364,95364,51021_sessie1_taskrobotEngagement,Daen,invisible,14,1
95365,95365,51021_sessie1_taskrobotEngagement,Daen,invisible,15,1
95366,95366,51021_sessie1_taskrobotEngagement,Daen,invisible,16,1
95367,95367,51021_sessie1_taskrobotEngagement,Daen,invisible,17,1
95368,95368,51021_sessie1_taskrobotEngagement,Daen,invisible,18,1
95369,95369,51021_sessie1_taskrobotEngagement,Daen,invisible,19,1
95370,95370,51021_sessie1_taskrobotEngagement,Daen,invisible,20,1
95371,95371,51021_sessie1_taskrobotEngagement,Daen,invisible,21,1
95372,95372,51021_sessie1_taskrobotEngagement,Daen,invisible,22,1
95373,95373,51021_sessie1_taskrobotEngagement,Daen,invisible,23,1
95374,95374,51021_sessie1_taskrobotEngagement,Daen,invisible,24,1
95375,95375,51021_sessie1_taskrobotEngagement,Daen,invisible,25,1
95376,95376,51021_sessie1_taskrobotEngagement,Daen,invisible,26,1
95377,95377,51021_sessie1_taskrobotEngagement,Daen,invisible,27,1
95378,95378,51021_sessie1_taskrobotEngagement,Daen,invisible,28,1
95379,95379,51021_sessie1_taskrobotEngagement,Daen,invisible,29,1
95380,95380,51021_sessie1_taskrobotEngagement,Daen,invisible,30,1
95381,95381,51021_sessie1_taskrobotEngagement,Daen,invisible,31,1
95382,95382,51021_sessie1_taskrobotEngagement,Daen,invisible,32,1
95383,95383,51021_sessie1_taskrobotEngagement,Daen,invisible,33,1
95384,95384,51021_sessie1_taskrobotEngagement,Daen,invisible,34,1
95385,95385,51021_sessie1_taskrobotEngagement,Daen,invisible,35,1
95386,95386,51021_sessie1_taskrobotEngagement,Daen,invisible,36,1
95387,95387,51021_sessie1_taskrobotEngagement,Daen,invisible,37,1
95388,95388,51021_sessie1_taskrobotEngagement,Daen,invisible,38,1
95389,95389,51021_sessie1_taskrobotEngagement,Daen,invisible,39,1
95390,95390,51021_sessie1_taskrobotEngagement,Daen,invisible,40,1
