,Unnamed: 0,file,annotator,case,framenumber,class
163206,163206,Proefpersoon11009_Sessie3,Lin,invisible,0,1
163207,163207,Proefpersoon11009_Sessie3,Lin,invisible,1,1
163208,163208,Proefpersoon11009_Sessie3,Lin,invisible,2,1
163209,163209,Proefpersoon11009_Sessie3,Lin,invisible,3,1
163210,163210,Proefpersoon11009_Sessie3,Lin,invisible,4,1
163211,163211,Proefpersoon11009_Sessie3,Lin,invisible,5,1
163212,163212,Proefpersoon11009_Sessie3,Lin,invisible,6,1
163213,163213,Proefpersoon11009_Sessie3,Lin,invisible,7,1
163214,163214,Proefpersoon11009_Sessie3,Lin,invisible,8,1
163215,163215,Proefpersoon11009_Sessie3,Lin,invisible,9,1
163216,163216,Proefpersoon11009_Sessie3,Lin,invisible,10,1
163217,163217,Proefpersoon11009_Sessie3,Lin,invisible,11,1
163218,163218,Proefpersoon11009_Sessie3,Lin,invisible,12,1
163219,163219,Proefpersoon11009_Sessie3,Lin,invisible,13,1
163220,163220,Proefpersoon11009_Sessie3,Lin,invisible,14,1
163221,163221,Proefpersoon11009_Sessie3,Lin,invisible,15,1
163222,163222,Proefpersoon11009_Sessie3,Lin,invisible,16,1
163223,163223,Proefpersoon11009_Sessie3,Lin,invisible,17,1
163224,163224,Proefpersoon11009_Sessie3,Lin,invisible,18,1
163225,163225,Proefpersoon11009_Sessie3,Lin,invisible,19,1
163226,163226,Proefpersoon11009_Sessie3,Lin,invisible,20,1
163227,163227,Proefpersoon11009_Sessie3,Lin,invisible,21,1
163228,163228,Proefpersoon11009_Sessie3,Lin,invisible,22,1
163229,163229,Proefpersoon11009_Sessie3,Lin,invisible,23,1
163230,163230,Proefpersoon11009_Sessie3,Lin,invisible,24,1
163231,163231,Proefpersoon11009_Sessie3,Lin,invisible,25,1
163232,163232,Proefpersoon11009_Sessie3,Lin,invisible,26,1
163233,163233,Proefpersoon11009_Sessie3,Lin,invisible,27,1
163234,163234,Proefpersoon11009_Sessie3,Lin,invisible,28,1
163235,163235,Proefpersoon11009_Sessie3,Lin,invisible,29,1
163236,163236,Proefpersoon11009_Sessie3,Lin,invisible,30,1
163237,163237,Proefpersoon11009_Sessie3,Lin,invisible,31,1
163238,163238,Proefpersoon11009_Sessie3,Lin,invisible,32,1
163239,163239,Proefpersoon11009_Sessie3,Lin,invisible,33,1
