,Unnamed: 0,file,annotator,case,framenumber,class
159548,159548,Proefpersoon11009_sessie2,Lin,invisible,0,1
159549,159549,Proefpersoon11009_sessie2,Lin,invisible,1,1
159550,159550,Proefpersoon11009_sessie2,Lin,invisible,2,1
159551,159551,Proefpersoon11009_sessie2,Lin,invisible,3,1
159552,159552,Proefpersoon11009_sessie2,Lin,invisible,4,1
159553,159553,Proefpersoon11009_sessie2,Lin,invisible,5,1
159554,159554,Proefpersoon11009_sessie2,Lin,invisible,6,1
159555,159555,Proefpersoon11009_sessie2,Lin,invisible,7,1
159556,159556,Proefpersoon11009_sessie2,Lin,invisible,8,1
159557,159557,Proefpersoon11009_sessie2,Lin,invisible,9,1
159558,159558,Proefpersoon11009_sessie2,Lin,invisible,10,1
159559,159559,Proefpersoon11009_sessie2,Lin,invisible,11,1
159560,159560,Proefpersoon11009_sessie2,Lin,invisible,12,1
159561,159561,Proefpersoon11009_sessie2,Lin,invisible,13,1
159562,159562,Proefpersoon11009_sessie2,Lin,invisible,14,1
159563,159563,Proefpersoon11009_sessie2,Lin,invisible,15,1
159564,159564,Proefpersoon11009_sessie2,Lin,invisible,16,1
159565,159565,Proefpersoon11009_sessie2,Lin,invisible,17,1
159566,159566,Proefpersoon11009_sessie2,Lin,invisible,18,1
159567,159567,Proefpersoon11009_sessie2,Lin,invisible,19,1
159568,159568,Proefpersoon11009_sessie2,Lin,invisible,20,1
159569,159569,Proefpersoon11009_sessie2,Lin,invisible,21,1
159570,159570,Proefpersoon11009_sessie2,Lin,invisible,22,1
159571,159571,Proefpersoon11009_sessie2,Lin,invisible,23,1
159572,159572,Proefpersoon11009_sessie2,Lin,invisible,24,1
159573,159573,Proefpersoon11009_sessie2,Lin,invisible,25,1
159574,159574,Proefpersoon11009_sessie2,Lin,invisible,26,1
159575,159575,Proefpersoon11009_sessie2,Lin,invisible,27,1
159576,159576,Proefpersoon11009_sessie2,Lin,invisible,28,1
159577,159577,Proefpersoon11009_sessie2,Lin,invisible,29,1
159578,159578,Proefpersoon11009_sessie2,Lin,invisible,30,1
159579,159579,Proefpersoon11009_sessie2,Lin,invisible,31,1
159580,159580,Proefpersoon11009_sessie2,Lin,invisible,32,1
159581,159581,Proefpersoon11009_sessie2,Lin,invisible,33,1
159582,159582,Proefpersoon11009_sessie2,Lin,invisible,34,1
159583,159583,Proefpersoon11009_sessie2,Lin,invisible,35,1
159584,159584,Proefpersoon11009_sessie2,Lin,invisible,36,1
159585,159585,Proefpersoon11009_sessie2,Lin,invisible,37,1
159586,159586,Proefpersoon11009_sessie2,Lin,invisible,38,1
159587,159587,Proefpersoon11009_sessie2,Lin,invisible,39,1
159588,159588,Proefpersoon11009_sessie2,Lin,invisible,40,1
159589,159589,Proefpersoon11009_sessie2,Lin,invisible,41,1
159590,159590,Proefpersoon11009_sessie2,Lin,invisible,42,1
159591,159591,Proefpersoon11009_sessie2,Lin,invisible,43,1
159592,159592,Proefpersoon11009_sessie2,Lin,invisible,44,1
159593,159593,Proefpersoon11009_sessie2,Lin,invisible,45,1
159594,159594,Proefpersoon11009_sessie2,Lin,invisible,46,1
159595,159595,Proefpersoon11009_sessie2,Lin,invisible,47,1
159596,159596,Proefpersoon11009_sessie2,Lin,invisible,48,1
159597,159597,Proefpersoon11009_sessie2,Lin,invisible,49,1
159598,159598,Proefpersoon11009_sessie2,Lin,invisible,50,1
159599,159599,Proefpersoon11009_sessie2,Lin,invisible,51,1
159600,159600,Proefpersoon11009_sessie2,Lin,invisible,52,1
159601,159601,Proefpersoon11009_sessie2,Lin,invisible,53,1
159602,159602,Proefpersoon11009_sessie2,Lin,invisible,54,1
159603,159603,Proefpersoon11009_sessie2,Lin,invisible,55,1
159604,159604,Proefpersoon11009_sessie2,Lin,invisible,56,1
159605,159605,Proefpersoon11009_sessie2,Lin,invisible,57,1
159606,159606,Proefpersoon11009_sessie2,Lin,invisible,58,1
