,Unnamed: 0,file,case,framenumber,class
11902,11902,Proefpersoon11009_sessie2,invisible,0,4
11903,11903,Proefpersoon11009_sessie2,invisible,1,4
11904,11904,Proefpersoon11009_sessie2,invisible,2,4
11905,11905,Proefpersoon11009_sessie2,invisible,3,4
11906,11906,Proefpersoon11009_sessie2,invisible,4,4
11907,11907,Proefpersoon11009_sessie2,invisible,5,4
11908,11908,Proefpersoon11009_sessie2,invisible,6,4
11909,11909,Proefpersoon11009_sessie2,invisible,7,4
11910,11910,Proefpersoon11009_sessie2,invisible,8,4
11911,11911,Proefpersoon11009_sessie2,invisible,9,4
11912,11912,Proefpersoon11009_sessie2,invisible,10,4
11913,11913,Proefpersoon11009_sessie2,invisible,11,4
11914,11914,Proefpersoon11009_sessie2,invisible,12,4
11915,11915,Proefpersoon11009_sessie2,invisible,13,4
11916,11916,Proefpersoon11009_sessie2,invisible,14,4
11917,11917,Proefpersoon11009_sessie2,invisible,15,4
11918,11918,Proefpersoon11009_sessie2,invisible,16,4
11919,11919,Proefpersoon11009_sessie2,invisible,17,4
11920,11920,Proefpersoon11009_sessie2,invisible,18,4
11921,11921,Proefpersoon11009_sessie2,invisible,19,4
11922,11922,Proefpersoon11009_sessie2,invisible,20,4
11923,11923,Proefpersoon11009_sessie2,invisible,21,4
11924,11924,Proefpersoon11009_sessie2,invisible,22,4
11925,11925,Proefpersoon11009_sessie2,invisible,23,4
11926,11926,Proefpersoon11009_sessie2,invisible,24,4
11927,11927,Proefpersoon11009_sessie2,invisible,25,4
11928,11928,Proefpersoon11009_sessie2,invisible,26,4
11929,11929,Proefpersoon11009_sessie2,invisible,27,4
11930,11930,Proefpersoon11009_sessie2,invisible,28,4
11931,11931,Proefpersoon11009_sessie2,invisible,29,4
11932,11932,Proefpersoon11009_sessie2,invisible,30,4
11933,11933,Proefpersoon11009_sessie2,invisible,31,4
11934,11934,Proefpersoon11009_sessie2,invisible,32,4
11935,11935,Proefpersoon11009_sessie2,invisible,33,4
11936,11936,Proefpersoon11009_sessie2,invisible,34,4
11937,11937,Proefpersoon11009_sessie2,invisible,35,4
11938,11938,Proefpersoon11009_sessie2,invisible,36,4
11939,11939,Proefpersoon11009_sessie2,invisible,37,4
11940,11940,Proefpersoon11009_sessie2,invisible,38,4
11941,11941,Proefpersoon11009_sessie2,invisible,39,4
11942,11942,Proefpersoon11009_sessie2,invisible,40,4
11943,11943,Proefpersoon11009_sessie2,invisible,41,4
11944,11944,Proefpersoon11009_sessie2,invisible,42,4
11945,11945,Proefpersoon11009_sessie2,invisible,43,4
11946,11946,Proefpersoon11009_sessie2,invisible,44,4
11947,11947,Proefpersoon11009_sessie2,invisible,45,4
11948,11948,Proefpersoon11009_sessie2,invisible,46,4
11949,11949,Proefpersoon11009_sessie2,invisible,47,4
11950,11950,Proefpersoon11009_sessie2,invisible,48,4
11951,11951,Proefpersoon11009_sessie2,invisible,49,4
11952,11952,Proefpersoon11009_sessie2,invisible,50,4
11953,11953,Proefpersoon11009_sessie2,invisible,51,4
11954,11954,Proefpersoon11009_sessie2,invisible,52,4
11955,11955,Proefpersoon11009_sessie2,invisible,53,4
11956,11956,Proefpersoon11009_sessie2,invisible,54,4
11957,11957,Proefpersoon11009_sessie2,invisible,55,4
11958,11958,Proefpersoon11009_sessie2,invisible,56,4
11959,11959,Proefpersoon11009_sessie2,invisible,57,4
11960,11960,Proefpersoon11009_sessie2,invisible,58,4
11961,11961,Proefpersoon11009_sessie2,invisible,59,4
11962,11962,Proefpersoon11009_sessie2,invisible,60,4
11963,11963,Proefpersoon11009_sessie2,invisible,61,4
11964,11964,Proefpersoon11009_sessie2,invisible,62,4
11965,11965,Proefpersoon11009_sessie2,invisible,63,4
11966,11966,Proefpersoon11009_sessie2,invisible,64,4
11967,11967,Proefpersoon11009_sessie2,invisible,65,4
11968,11968,Proefpersoon11009_sessie2,invisible,66,4
11969,11969,Proefpersoon11009_sessie2,invisible,67,4
11970,11970,Proefpersoon11009_sessie2,invisible,68,4
11971,11971,Proefpersoon11009_sessie2,invisible,69,4
11972,11972,Proefpersoon11009_sessie2,invisible,70,4
11973,11973,Proefpersoon11009_sessie2,invisible,71,4
11974,11974,Proefpersoon11009_sessie2,invisible,72,4
11975,11975,Proefpersoon11009_sessie2,invisible,73,4
11976,11976,Proefpersoon11009_sessie2,invisible,74,4
11977,11977,Proefpersoon11009_sessie2,invisible,75,4
11978,11978,Proefpersoon11009_sessie2,invisible,76,4
11979,11979,Proefpersoon11009_sessie2,invisible,77,4
11980,11980,Proefpersoon11009_sessie2,invisible,78,4
11981,11981,Proefpersoon11009_sessie2,invisible,79,4
11982,11982,Proefpersoon11009_sessie2,invisible,80,4
11983,11983,Proefpersoon11009_sessie2,invisible,81,4
