,Unnamed: 0,file,case,framenumber,class
15560,15560,Proefpersoon11012_sessie1,invisible,0,2
15561,15561,Proefpersoon11012_sessie1,invisible,1,2
15562,15562,Proefpersoon11012_sessie1,invisible,2,2
15563,15563,Proefpersoon11012_sessie1,invisible,3,2
15564,15564,Proefpersoon11012_sessie1,invisible,4,2
15565,15565,Proefpersoon11012_sessie1,invisible,5,2
15566,15566,Proefpersoon11012_sessie1,invisible,6,2
15567,15567,Proefpersoon11012_sessie1,invisible,7,2
15568,15568,Proefpersoon11012_sessie1,invisible,8,2
15569,15569,Proefpersoon11012_sessie1,invisible,9,2
15570,15570,Proefpersoon11012_sessie1,invisible,10,1
15571,15571,Proefpersoon11012_sessie1,invisible,11,1
15572,15572,Proefpersoon11012_sessie1,invisible,12,1
15573,15573,Proefpersoon11012_sessie1,invisible,13,1
15574,15574,Proefpersoon11012_sessie1,invisible,14,1
15575,15575,Proefpersoon11012_sessie1,invisible,15,1
15576,15576,Proefpersoon11012_sessie1,invisible,16,1
15577,15577,Proefpersoon11012_sessie1,invisible,17,1
15578,15578,Proefpersoon11012_sessie1,invisible,18,1
15579,15579,Proefpersoon11012_sessie1,invisible,19,1
15580,15580,Proefpersoon11012_sessie1,invisible,20,1
15581,15581,Proefpersoon11012_sessie1,invisible,21,1
15582,15582,Proefpersoon11012_sessie1,invisible,22,1
15583,15583,Proefpersoon11012_sessie1,invisible,23,1
15584,15584,Proefpersoon11012_sessie1,invisible,24,1
15585,15585,Proefpersoon11012_sessie1,invisible,25,1
15586,15586,Proefpersoon11012_sessie1,invisible,26,1
15587,15587,Proefpersoon11012_sessie1,invisible,27,1
15588,15588,Proefpersoon11012_sessie1,invisible,28,1
15589,15589,Proefpersoon11012_sessie1,invisible,29,1
15590,15590,Proefpersoon11012_sessie1,invisible,30,1
15591,15591,Proefpersoon11012_sessie1,invisible,31,1
15592,15592,Proefpersoon11012_sessie1,invisible,32,1
15593,15593,Proefpersoon11012_sessie1,invisible,33,1
15594,15594,Proefpersoon11012_sessie1,invisible,34,1
15595,15595,Proefpersoon11012_sessie1,invisible,35,1
15596,15596,Proefpersoon11012_sessie1,invisible,36,1
15597,15597,Proefpersoon11012_sessie1,invisible,37,1
15598,15598,Proefpersoon11012_sessie1,invisible,38,1
15599,15599,Proefpersoon11012_sessie1,invisible,39,1
15600,15600,Proefpersoon11012_sessie1,invisible,40,1
15601,15601,Proefpersoon11012_sessie1,invisible,41,1
15602,15602,Proefpersoon11012_sessie1,invisible,42,1
15603,15603,Proefpersoon11012_sessie1,invisible,43,1
15604,15604,Proefpersoon11012_sessie1,invisible,44,1
15605,15605,Proefpersoon11012_sessie1,invisible,45,1
15606,15606,Proefpersoon11012_sessie1,invisible,46,1
15607,15607,Proefpersoon11012_sessie1,invisible,47,1
15608,15608,Proefpersoon11012_sessie1,invisible,48,1
15609,15609,Proefpersoon11012_sessie1,invisible,49,1
15610,15610,Proefpersoon11012_sessie1,invisible,50,1
15611,15611,Proefpersoon11012_sessie1,invisible,51,1
15612,15612,Proefpersoon11012_sessie1,invisible,52,1
15613,15613,Proefpersoon11012_sessie1,invisible,53,1
15614,15614,Proefpersoon11012_sessie1,invisible,54,1
15615,15615,Proefpersoon11012_sessie1,invisible,55,1
15616,15616,Proefpersoon11012_sessie1,invisible,56,1
15617,15617,Proefpersoon11012_sessie1,invisible,57,1
15618,15618,Proefpersoon11012_sessie1,invisible,58,1
15619,15619,Proefpersoon11012_sessie1,invisible,59,1
15620,15620,Proefpersoon11012_sessie1,invisible,60,1
15621,15621,Proefpersoon11012_sessie1,invisible,61,1
15622,15622,Proefpersoon11012_sessie1,invisible,62,1
15623,15623,Proefpersoon11012_sessie1,invisible,63,1
15624,15624,Proefpersoon11012_sessie1,invisible,64,1
15625,15625,Proefpersoon11012_sessie1,invisible,65,1
15626,15626,Proefpersoon11012_sessie1,invisible,66,1
15627,15627,Proefpersoon11012_sessie1,invisible,67,1
15628,15628,Proefpersoon11012_sessie1,invisible,68,1
15629,15629,Proefpersoon11012_sessie1,invisible,69,1
15630,15630,Proefpersoon11012_sessie1,invisible,70,1
15631,15631,Proefpersoon11012_sessie1,invisible,71,1
15632,15632,Proefpersoon11012_sessie1,invisible,72,1
15633,15633,Proefpersoon11012_sessie1,invisible,73,1
15634,15634,Proefpersoon11012_sessie1,invisible,74,1
15635,15635,Proefpersoon11012_sessie1,invisible,75,1
15636,15636,Proefpersoon11012_sessie1,invisible,76,1
15637,15637,Proefpersoon11012_sessie1,invisible,77,1
15638,15638,Proefpersoon11012_sessie1,invisible,78,1
15639,15639,Proefpersoon11012_sessie1,invisible,79,1
15640,15640,Proefpersoon11012_sessie1,invisible,80,1
15641,15641,Proefpersoon11012_sessie1,invisible,81,1
15642,15642,Proefpersoon11012_sessie1,invisible,82,1
15643,15643,Proefpersoon11012_sessie1,invisible,83,1
15644,15644,Proefpersoon11012_sessie1,invisible,84,1
15645,15645,Proefpersoon11012_sessie1,invisible,85,1
15646,15646,Proefpersoon11012_sessie1,invisible,86,1
15647,15647,Proefpersoon11012_sessie1,invisible,87,1
15648,15648,Proefpersoon11012_sessie1,invisible,88,1
15649,15649,Proefpersoon11012_sessie1,invisible,89,1
15650,15650,Proefpersoon11012_sessie1,invisible,90,1
15651,15651,Proefpersoon11012_sessie1,invisible,91,1
15652,15652,Proefpersoon11012_sessie1,invisible,92,1
15653,15653,Proefpersoon11012_sessie1,invisible,93,1
15654,15654,Proefpersoon11012_sessie1,invisible,94,1
15655,15655,Proefpersoon11012_sessie1,invisible,95,1
15656,15656,Proefpersoon11012_sessie1,invisible,96,1
15657,15657,Proefpersoon11012_sessie1,invisible,97,1
15658,15658,Proefpersoon11012_sessie1,invisible,98,1
15659,15659,Proefpersoon11012_sessie1,invisible,99,1
15660,15660,Proefpersoon11012_sessie1,invisible,100,1
15661,15661,Proefpersoon11012_sessie1,invisible,101,1
15662,15662,Proefpersoon11012_sessie1,invisible,102,1
15663,15663,Proefpersoon11012_sessie1,invisible,103,1
15664,15664,Proefpersoon11012_sessie1,invisible,104,1
15665,15665,Proefpersoon11012_sessie1,invisible,105,1
15666,15666,Proefpersoon11012_sessie1,invisible,106,1
15667,15667,Proefpersoon11012_sessie1,invisible,107,1
15668,15668,Proefpersoon11012_sessie1,invisible,108,1
15669,15669,Proefpersoon11012_sessie1,invisible,109,1
15670,15670,Proefpersoon11012_sessie1,invisible,110,1
15671,15671,Proefpersoon11012_sessie1,invisible,111,1
15672,15672,Proefpersoon11012_sessie1,invisible,112,1
15673,15673,Proefpersoon11012_sessie1,invisible,113,1
15674,15674,Proefpersoon11012_sessie1,invisible,114,1
15675,15675,Proefpersoon11012_sessie1,invisible,115,1
15676,15676,Proefpersoon11012_sessie1,invisible,116,1
15677,15677,Proefpersoon11012_sessie1,invisible,117,1
15678,15678,Proefpersoon11012_sessie1,invisible,118,1
15679,15679,Proefpersoon11012_sessie1,invisible,119,1
15680,15680,Proefpersoon11012_sessie1,invisible,120,1
15681,15681,Proefpersoon11012_sessie1,invisible,121,1
15682,15682,Proefpersoon11012_sessie1,invisible,122,1
15683,15683,Proefpersoon11012_sessie1,invisible,123,1
15684,15684,Proefpersoon11012_sessie1,invisible,124,1
15685,15685,Proefpersoon11012_sessie1,invisible,125,1
15686,15686,Proefpersoon11012_sessie1,invisible,126,1
15687,15687,Proefpersoon11012_sessie1,invisible,127,1
15688,15688,Proefpersoon11012_sessie1,invisible,128,1
15689,15689,Proefpersoon11012_sessie1,invisible,129,1
15690,15690,Proefpersoon11012_sessie1,invisible,130,1
15691,15691,Proefpersoon11012_sessie1,invisible,131,1
15692,15692,Proefpersoon11012_sessie1,invisible,132,1
15693,15693,Proefpersoon11012_sessie1,invisible,133,1
15694,15694,Proefpersoon11012_sessie1,invisible,134,1
15695,15695,Proefpersoon11012_sessie1,invisible,135,1
15696,15696,Proefpersoon11012_sessie1,invisible,136,1
15697,15697,Proefpersoon11012_sessie1,invisible,137,1
15698,15698,Proefpersoon11012_sessie1,invisible,138,1
15699,15699,Proefpersoon11012_sessie1,invisible,139,1
15700,15700,Proefpersoon11012_sessie1,invisible,140,1
15701,15701,Proefpersoon11012_sessie1,invisible,141,1
15702,15702,Proefpersoon11012_sessie1,invisible,142,1
15703,15703,Proefpersoon11012_sessie1,invisible,143,1
15704,15704,Proefpersoon11012_sessie1,invisible,144,1
15705,15705,Proefpersoon11012_sessie1,invisible,145,1
15706,15706,Proefpersoon11012_sessie1,invisible,146,1
15707,15707,Proefpersoon11012_sessie1,invisible,147,1
15708,15708,Proefpersoon11012_sessie1,invisible,148,1
15709,15709,Proefpersoon11012_sessie1,invisible,149,1
15710,15710,Proefpersoon11012_sessie1,invisible,150,1
