,Unnamed: 0,file,annotator,case,framenumber,class
119708,119708,Proefpersoon11012_sessie1,Ronald,invisible,0,1
119709,119709,Proefpersoon11012_sessie1,Ronald,invisible,1,1
119710,119710,Proefpersoon11012_sessie1,Ronald,invisible,2,1
119711,119711,Proefpersoon11012_sessie1,Ronald,invisible,3,1
119712,119712,Proefpersoon11012_sessie1,Ronald,invisible,4,1
119713,119713,Proefpersoon11012_sessie1,Ronald,invisible,5,1
119714,119714,Proefpersoon11012_sessie1,Ronald,invisible,6,1
119715,119715,Proefpersoon11012_sessie1,Ronald,invisible,7,1
119716,119716,Proefpersoon11012_sessie1,Ronald,invisible,8,1
119717,119717,Proefpersoon11012_sessie1,Ronald,invisible,9,1
119718,119718,Proefpersoon11012_sessie1,Ronald,invisible,10,1
119719,119719,Proefpersoon11012_sessie1,Ronald,invisible,11,1
119720,119720,Proefpersoon11012_sessie1,Ronald,invisible,12,1
119721,119721,Proefpersoon11012_sessie1,Ronald,invisible,13,1
119722,119722,Proefpersoon11012_sessie1,Ronald,invisible,14,1
119723,119723,Proefpersoon11012_sessie1,Ronald,invisible,15,1
119724,119724,Proefpersoon11012_sessie1,Ronald,invisible,16,1
119725,119725,Proefpersoon11012_sessie1,Ronald,invisible,17,1
119726,119726,Proefpersoon11012_sessie1,Ronald,invisible,18,1
119727,119727,Proefpersoon11012_sessie1,Ronald,invisible,19,1
119728,119728,Proefpersoon11012_sessie1,Ronald,invisible,20,1
119729,119729,Proefpersoon11012_sessie1,Ronald,invisible,21,1
119730,119730,Proefpersoon11012_sessie1,Ronald,invisible,22,1
119731,119731,Proefpersoon11012_sessie1,Ronald,invisible,23,1
119732,119732,Proefpersoon11012_sessie1,Ronald,invisible,24,1
119733,119733,Proefpersoon11012_sessie1,Ronald,invisible,25,1
119734,119734,Proefpersoon11012_sessie1,Ronald,invisible,26,1
119735,119735,Proefpersoon11012_sessie1,Ronald,invisible,27,1
119736,119736,Proefpersoon11012_sessie1,Ronald,invisible,28,1
119737,119737,Proefpersoon11012_sessie1,Ronald,invisible,29,1
119738,119738,Proefpersoon11012_sessie1,Ronald,invisible,30,1
119739,119739,Proefpersoon11012_sessie1,Ronald,invisible,31,1
119740,119740,Proefpersoon11012_sessie1,Ronald,invisible,32,1
119741,119741,Proefpersoon11012_sessie1,Ronald,invisible,33,1
119742,119742,Proefpersoon11012_sessie1,Ronald,invisible,34,1
119743,119743,Proefpersoon11012_sessie1,Ronald,invisible,35,1
119744,119744,Proefpersoon11012_sessie1,Ronald,invisible,36,1
119745,119745,Proefpersoon11012_sessie1,Ronald,invisible,37,1
119746,119746,Proefpersoon11012_sessie1,Ronald,invisible,38,1
119747,119747,Proefpersoon11012_sessie1,Ronald,invisible,39,1
119748,119748,Proefpersoon11012_sessie1,Ronald,invisible,40,1
119749,119749,Proefpersoon11012_sessie1,Ronald,invisible,41,1
119750,119750,Proefpersoon11012_sessie1,Ronald,invisible,42,1
119751,119751,Proefpersoon11012_sessie1,Ronald,invisible,43,1
119752,119752,Proefpersoon11012_sessie1,Ronald,invisible,44,1
119753,119753,Proefpersoon11012_sessie1,Ronald,invisible,45,1
119754,119754,Proefpersoon11012_sessie1,Ronald,invisible,46,1
119755,119755,Proefpersoon11012_sessie1,Ronald,invisible,47,1
119756,119756,Proefpersoon11012_sessie1,Ronald,invisible,48,1
119757,119757,Proefpersoon11012_sessie1,Ronald,invisible,49,1
119758,119758,Proefpersoon11012_sessie1,Ronald,invisible,50,1
119759,119759,Proefpersoon11012_sessie1,Ronald,invisible,51,1
119760,119760,Proefpersoon11012_sessie1,Ronald,invisible,52,1
119761,119761,Proefpersoon11012_sessie1,Ronald,invisible,53,1
119762,119762,Proefpersoon11012_sessie1,Ronald,invisible,54,1
119763,119763,Proefpersoon11012_sessie1,Ronald,invisible,55,1
119764,119764,Proefpersoon11012_sessie1,Ronald,invisible,56,1
119765,119765,Proefpersoon11012_sessie1,Ronald,invisible,57,1
119766,119766,Proefpersoon11012_sessie1,Ronald,invisible,58,1
119767,119767,Proefpersoon11012_sessie1,Ronald,invisible,59,1
119768,119768,Proefpersoon11012_sessie1,Ronald,invisible,60,1
119769,119769,Proefpersoon11012_sessie1,Ronald,invisible,61,1
119770,119770,Proefpersoon11012_sessie1,Ronald,invisible,62,1
119771,119771,Proefpersoon11012_sessie1,Ronald,invisible,63,1
119772,119772,Proefpersoon11012_sessie1,Ronald,invisible,64,1
119773,119773,Proefpersoon11012_sessie1,Ronald,invisible,65,1
119774,119774,Proefpersoon11012_sessie1,Ronald,invisible,66,1
119775,119775,Proefpersoon11012_sessie1,Ronald,invisible,67,1
119776,119776,Proefpersoon11012_sessie1,Ronald,invisible,68,1
119777,119777,Proefpersoon11012_sessie1,Ronald,invisible,69,1
119778,119778,Proefpersoon11012_sessie1,Ronald,invisible,70,1
119779,119779,Proefpersoon11012_sessie1,Ronald,invisible,71,1
119780,119780,Proefpersoon11012_sessie1,Ronald,invisible,72,1
119781,119781,Proefpersoon11012_sessie1,Ronald,invisible,73,1
119782,119782,Proefpersoon11012_sessie1,Ronald,invisible,74,1
119783,119783,Proefpersoon11012_sessie1,Ronald,invisible,75,1
119784,119784,Proefpersoon11012_sessie1,Ronald,invisible,76,1
119785,119785,Proefpersoon11012_sessie1,Ronald,invisible,77,1
119786,119786,Proefpersoon11012_sessie1,Ronald,invisible,78,1
