,Unnamed: 0,file,case,framenumber,class
60229,60229,Proefpersoon22016_Sessie1,visible,0,4
60230,60230,Proefpersoon22016_Sessie1,visible,1,4
60231,60231,Proefpersoon22016_Sessie1,visible,2,4
60232,60232,Proefpersoon22016_Sessie1,visible,3,4
60233,60233,Proefpersoon22016_Sessie1,visible,4,4
60234,60234,Proefpersoon22016_Sessie1,visible,5,4
60235,60235,Proefpersoon22016_Sessie1,visible,6,4
60236,60236,Proefpersoon22016_Sessie1,visible,7,4
60237,60237,Proefpersoon22016_Sessie1,visible,8,4
60238,60238,Proefpersoon22016_Sessie1,visible,9,4
60239,60239,Proefpersoon22016_Sessie1,visible,10,4
60240,60240,Proefpersoon22016_Sessie1,visible,11,4
60241,60241,Proefpersoon22016_Sessie1,visible,12,4
60242,60242,Proefpersoon22016_Sessie1,visible,13,4
60243,60243,Proefpersoon22016_Sessie1,visible,14,4
60244,60244,Proefpersoon22016_Sessie1,visible,15,4
60245,60245,Proefpersoon22016_Sessie1,visible,16,4
60246,60246,Proefpersoon22016_Sessie1,visible,17,4
60247,60247,Proefpersoon22016_Sessie1,visible,18,4
60248,60248,Proefpersoon22016_Sessie1,visible,19,4
60249,60249,Proefpersoon22016_Sessie1,visible,20,4
60250,60250,Proefpersoon22016_Sessie1,visible,21,4
60251,60251,Proefpersoon22016_Sessie1,visible,22,4
60252,60252,Proefpersoon22016_Sessie1,visible,23,4
60253,60253,Proefpersoon22016_Sessie1,visible,24,4
60254,60254,Proefpersoon22016_Sessie1,visible,25,4
60255,60255,Proefpersoon22016_Sessie1,visible,26,3
60256,60256,Proefpersoon22016_Sessie1,visible,27,3
60257,60257,Proefpersoon22016_Sessie1,visible,28,3
60258,60258,Proefpersoon22016_Sessie1,visible,29,3
60259,60259,Proefpersoon22016_Sessie1,visible,30,3
60260,60260,Proefpersoon22016_Sessie1,visible,31,3
60261,60261,Proefpersoon22016_Sessie1,visible,32,3
60262,60262,Proefpersoon22016_Sessie1,visible,33,3
60263,60263,Proefpersoon22016_Sessie1,visible,34,3
60264,60264,Proefpersoon22016_Sessie1,visible,35,3
60265,60265,Proefpersoon22016_Sessie1,visible,36,3
60266,60266,Proefpersoon22016_Sessie1,visible,37,3
60267,60267,Proefpersoon22016_Sessie1,visible,38,3
60268,60268,Proefpersoon22016_Sessie1,visible,39,3
60269,60269,Proefpersoon22016_Sessie1,visible,40,3
60270,60270,Proefpersoon22016_Sessie1,visible,41,3
60271,60271,Proefpersoon22016_Sessie1,visible,42,3
60272,60272,Proefpersoon22016_Sessie1,visible,43,3
60273,60273,Proefpersoon22016_Sessie1,visible,44,3
60274,60274,Proefpersoon22016_Sessie1,visible,45,3
60275,60275,Proefpersoon22016_Sessie1,visible,46,3
60276,60276,Proefpersoon22016_Sessie1,visible,47,3
60277,60277,Proefpersoon22016_Sessie1,visible,48,3
60278,60278,Proefpersoon22016_Sessie1,visible,49,3
60279,60279,Proefpersoon22016_Sessie1,visible,50,3
60280,60280,Proefpersoon22016_Sessie1,visible,51,3
60281,60281,Proefpersoon22016_Sessie1,visible,52,3
60282,60282,Proefpersoon22016_Sessie1,visible,53,3
60283,60283,Proefpersoon22016_Sessie1,visible,54,3
60284,60284,Proefpersoon22016_Sessie1,visible,55,3
60285,60285,Proefpersoon22016_Sessie1,visible,56,3
60286,60286,Proefpersoon22016_Sessie1,visible,57,3
60287,60287,Proefpersoon22016_Sessie1,visible,58,3
60288,60288,Proefpersoon22016_Sessie1,visible,59,3
60289,60289,Proefpersoon22016_Sessie1,visible,60,3
60290,60290,Proefpersoon22016_Sessie1,visible,61,3
60291,60291,Proefpersoon22016_Sessie1,visible,62,3
60292,60292,Proefpersoon22016_Sessie1,visible,63,3
60293,60293,Proefpersoon22016_Sessie1,visible,64,3
60294,60294,Proefpersoon22016_Sessie1,visible,65,3
60295,60295,Proefpersoon22016_Sessie1,visible,66,3
60296,60296,Proefpersoon22016_Sessie1,visible,67,3
60297,60297,Proefpersoon22016_Sessie1,visible,68,3
60298,60298,Proefpersoon22016_Sessie1,visible,69,3
60299,60299,Proefpersoon22016_Sessie1,visible,70,3
60300,60300,Proefpersoon22016_Sessie1,visible,71,3
60301,60301,Proefpersoon22016_Sessie1,visible,72,3
60302,60302,Proefpersoon22016_Sessie1,visible,73,3
60303,60303,Proefpersoon22016_Sessie1,visible,74,3
60304,60304,Proefpersoon22016_Sessie1,visible,75,3
60305,60305,Proefpersoon22016_Sessie1,visible,76,3
60306,60306,Proefpersoon22016_Sessie1,visible,77,3
60307,60307,Proefpersoon22016_Sessie1,visible,78,3
60308,60308,Proefpersoon22016_Sessie1,visible,79,3
60309,60309,Proefpersoon22016_Sessie1,visible,80,3
60310,60310,Proefpersoon22016_Sessie1,visible,81,3
60311,60311,Proefpersoon22016_Sessie1,visible,82,3
60312,60312,Proefpersoon22016_Sessie1,visible,83,3
60313,60313,Proefpersoon22016_Sessie1,visible,84,3
60314,60314,Proefpersoon22016_Sessie1,visible,85,3
60315,60315,Proefpersoon22016_Sessie1,visible,86,3
60316,60316,Proefpersoon22016_Sessie1,visible,87,3
60317,60317,Proefpersoon22016_Sessie1,visible,88,3
60318,60318,Proefpersoon22016_Sessie1,visible,89,3
60319,60319,Proefpersoon22016_Sessie1,visible,90,3
60320,60320,Proefpersoon22016_Sessie1,visible,91,3
60321,60321,Proefpersoon22016_Sessie1,visible,92,3
60322,60322,Proefpersoon22016_Sessie1,visible,93,3
60323,60323,Proefpersoon22016_Sessie1,visible,94,3
60324,60324,Proefpersoon22016_Sessie1,visible,95,3
60325,60325,Proefpersoon22016_Sessie1,visible,96,3
60326,60326,Proefpersoon22016_Sessie1,visible,97,3
60327,60327,Proefpersoon22016_Sessie1,visible,98,3
60328,60328,Proefpersoon22016_Sessie1,visible,99,3
60329,60329,Proefpersoon22016_Sessie1,visible,100,3
60330,60330,Proefpersoon22016_Sessie1,visible,101,3
60331,60331,Proefpersoon22016_Sessie1,visible,102,3
60332,60332,Proefpersoon22016_Sessie1,visible,103,3
60333,60333,Proefpersoon22016_Sessie1,visible,104,3
60334,60334,Proefpersoon22016_Sessie1,visible,105,3
60335,60335,Proefpersoon22016_Sessie1,visible,106,3
60336,60336,Proefpersoon22016_Sessie1,visible,107,3
60337,60337,Proefpersoon22016_Sessie1,visible,108,3
60338,60338,Proefpersoon22016_Sessie1,visible,109,3
60339,60339,Proefpersoon22016_Sessie1,visible,110,3
60340,60340,Proefpersoon22016_Sessie1,visible,111,3
60341,60341,Proefpersoon22016_Sessie1,visible,112,3
60342,60342,Proefpersoon22016_Sessie1,visible,113,3
60343,60343,Proefpersoon22016_Sessie1,visible,114,3
60344,60344,Proefpersoon22016_Sessie1,visible,115,3
60345,60345,Proefpersoon22016_Sessie1,visible,116,3
60346,60346,Proefpersoon22016_Sessie1,visible,117,3
60347,60347,Proefpersoon22016_Sessie1,visible,118,3
60348,60348,Proefpersoon22016_Sessie1,visible,119,3
60349,60349,Proefpersoon22016_Sessie1,visible,120,3
60350,60350,Proefpersoon22016_Sessie1,visible,121,3
60351,60351,Proefpersoon22016_Sessie1,visible,122,3
60352,60352,Proefpersoon22016_Sessie1,visible,123,3
60353,60353,Proefpersoon22016_Sessie1,visible,124,3
60354,60354,Proefpersoon22016_Sessie1,visible,125,3
60355,60355,Proefpersoon22016_Sessie1,visible,126,3
60356,60356,Proefpersoon22016_Sessie1,visible,127,3
60357,60357,Proefpersoon22016_Sessie1,visible,128,3
60358,60358,Proefpersoon22016_Sessie1,visible,129,3
60359,60359,Proefpersoon22016_Sessie1,visible,130,3
60360,60360,Proefpersoon22016_Sessie1,visible,131,3
60361,60361,Proefpersoon22016_Sessie1,visible,132,3
60362,60362,Proefpersoon22016_Sessie1,visible,133,3
60363,60363,Proefpersoon22016_Sessie1,visible,134,3
60364,60364,Proefpersoon22016_Sessie1,visible,135,3
60365,60365,Proefpersoon22016_Sessie1,visible,136,3
60366,60366,Proefpersoon22016_Sessie1,visible,137,3
60367,60367,Proefpersoon22016_Sessie1,visible,138,3
60368,60368,Proefpersoon22016_Sessie1,visible,139,3
60369,60369,Proefpersoon22016_Sessie1,visible,140,3
60370,60370,Proefpersoon22016_Sessie1,visible,141,3
60371,60371,Proefpersoon22016_Sessie1,visible,142,3
60372,60372,Proefpersoon22016_Sessie1,visible,143,3
60373,60373,Proefpersoon22016_Sessie1,visible,144,3
60374,60374,Proefpersoon22016_Sessie1,visible,145,3
60375,60375,Proefpersoon22016_Sessie1,visible,146,3
60376,60376,Proefpersoon22016_Sessie1,visible,147,3
60377,60377,Proefpersoon22016_Sessie1,visible,148,3
60378,60378,Proefpersoon22016_Sessie1,visible,149,3
60379,60379,Proefpersoon22016_Sessie1,visible,150,3
60380,60380,Proefpersoon22016_Sessie1,visible,151,3
60381,60381,Proefpersoon22016_Sessie1,visible,152,3
60382,60382,Proefpersoon22016_Sessie1,visible,153,3
60383,60383,Proefpersoon22016_Sessie1,visible,154,3
60384,60384,Proefpersoon22016_Sessie1,visible,155,3
60385,60385,Proefpersoon22016_Sessie1,visible,156,3
60386,60386,Proefpersoon22016_Sessie1,visible,157,3
60387,60387,Proefpersoon22016_Sessie1,visible,158,3
60388,60388,Proefpersoon22016_Sessie1,visible,159,3
60389,60389,Proefpersoon22016_Sessie1,visible,160,3
60390,60390,Proefpersoon22016_Sessie1,visible,161,3
60391,60391,Proefpersoon22016_Sessie1,visible,162,3
60392,60392,Proefpersoon22016_Sessie1,visible,163,3
60393,60393,Proefpersoon22016_Sessie1,visible,164,3
60394,60394,Proefpersoon22016_Sessie1,visible,165,3
60395,60395,Proefpersoon22016_Sessie1,visible,166,3
60396,60396,Proefpersoon22016_Sessie1,visible,167,3
60397,60397,Proefpersoon22016_Sessie1,visible,168,3
60398,60398,Proefpersoon22016_Sessie1,visible,169,3
60399,60399,Proefpersoon22016_Sessie1,visible,170,3
60400,60400,Proefpersoon22016_Sessie1,visible,171,3
60401,60401,Proefpersoon22016_Sessie1,visible,172,3
60402,60402,Proefpersoon22016_Sessie1,visible,173,3
60403,60403,Proefpersoon22016_Sessie1,visible,174,3
60404,60404,Proefpersoon22016_Sessie1,visible,175,3
60405,60405,Proefpersoon22016_Sessie1,visible,176,3
60406,60406,Proefpersoon22016_Sessie1,visible,177,3
60407,60407,Proefpersoon22016_Sessie1,visible,178,3
60408,60408,Proefpersoon22016_Sessie1,visible,179,3
60409,60409,Proefpersoon22016_Sessie1,visible,180,3
60410,60410,Proefpersoon22016_Sessie1,visible,181,3
60411,60411,Proefpersoon22016_Sessie1,visible,182,3
60412,60412,Proefpersoon22016_Sessie1,visible,183,3
60413,60413,Proefpersoon22016_Sessie1,visible,184,3
60414,60414,Proefpersoon22016_Sessie1,visible,185,3
60415,60415,Proefpersoon22016_Sessie1,visible,186,3
60416,60416,Proefpersoon22016_Sessie1,visible,187,3
60417,60417,Proefpersoon22016_Sessie1,visible,188,3
60418,60418,Proefpersoon22016_Sessie1,visible,189,3
60419,60419,Proefpersoon22016_Sessie1,visible,190,3
60420,60420,Proefpersoon22016_Sessie1,visible,191,3
60421,60421,Proefpersoon22016_Sessie1,visible,192,3
60422,60422,Proefpersoon22016_Sessie1,visible,193,3
60423,60423,Proefpersoon22016_Sessie1,visible,194,3
60424,60424,Proefpersoon22016_Sessie1,visible,195,3
60425,60425,Proefpersoon22016_Sessie1,visible,196,3
60426,60426,Proefpersoon22016_Sessie1,visible,197,3
60427,60427,Proefpersoon22016_Sessie1,visible,198,3
60428,60428,Proefpersoon22016_Sessie1,visible,199,3
60429,60429,Proefpersoon22016_Sessie1,visible,200,3
60430,60430,Proefpersoon22016_Sessie1,visible,201,3
60431,60431,Proefpersoon22016_Sessie1,visible,202,3
60432,60432,Proefpersoon22016_Sessie1,visible,203,3
60433,60433,Proefpersoon22016_Sessie1,visible,204,3
60434,60434,Proefpersoon22016_Sessie1,visible,205,3
60435,60435,Proefpersoon22016_Sessie1,visible,206,3
60436,60436,Proefpersoon22016_Sessie1,visible,207,3
60437,60437,Proefpersoon22016_Sessie1,visible,208,3
60438,60438,Proefpersoon22016_Sessie1,visible,209,3
60439,60439,Proefpersoon22016_Sessie1,visible,210,3
60440,60440,Proefpersoon22016_Sessie1,visible,211,3
60441,60441,Proefpersoon22016_Sessie1,visible,212,3
60442,60442,Proefpersoon22016_Sessie1,visible,213,3
60443,60443,Proefpersoon22016_Sessie1,visible,214,3
60444,60444,Proefpersoon22016_Sessie1,visible,215,3
60445,60445,Proefpersoon22016_Sessie1,visible,216,3
60446,60446,Proefpersoon22016_Sessie1,visible,217,3
60447,60447,Proefpersoon22016_Sessie1,visible,218,3
60448,60448,Proefpersoon22016_Sessie1,visible,219,3
60449,60449,Proefpersoon22016_Sessie1,visible,220,3
60450,60450,Proefpersoon22016_Sessie1,visible,221,3
60451,60451,Proefpersoon22016_Sessie1,visible,222,3
60452,60452,Proefpersoon22016_Sessie1,visible,223,3
60453,60453,Proefpersoon22016_Sessie1,visible,224,3
60454,60454,Proefpersoon22016_Sessie1,visible,225,3
60455,60455,Proefpersoon22016_Sessie1,visible,226,3
60456,60456,Proefpersoon22016_Sessie1,visible,227,3
60457,60457,Proefpersoon22016_Sessie1,visible,228,3
60458,60458,Proefpersoon22016_Sessie1,visible,229,3
