,Unnamed: 0,file,annotator,case,framenumber,class
65761,65761,Proefpersoon22017_Sessie3,Daen,visible,0,1
65762,65762,Proefpersoon22017_Sessie3,Daen,visible,1,1
65763,65763,Proefpersoon22017_Sessie3,Daen,visible,2,1
65764,65764,Proefpersoon22017_Sessie3,Daen,visible,3,1
65765,65765,Proefpersoon22017_Sessie3,Daen,visible,4,1
65766,65766,Proefpersoon22017_Sessie3,Daen,visible,5,1
65767,65767,Proefpersoon22017_Sessie3,Daen,visible,6,1
65768,65768,Proefpersoon22017_Sessie3,Daen,visible,7,1
65769,65769,Proefpersoon22017_Sessie3,Daen,visible,8,1
65770,65770,Proefpersoon22017_Sessie3,Daen,visible,9,1
65771,65771,Proefpersoon22017_Sessie3,Daen,visible,10,1
65772,65772,Proefpersoon22017_Sessie3,Daen,visible,11,1
65773,65773,Proefpersoon22017_Sessie3,Daen,visible,12,1
65774,65774,Proefpersoon22017_Sessie3,Daen,visible,13,1
65775,65775,Proefpersoon22017_Sessie3,Daen,visible,14,1
65776,65776,Proefpersoon22017_Sessie3,Daen,visible,15,1
65777,65777,Proefpersoon22017_Sessie3,Daen,visible,16,1
65778,65778,Proefpersoon22017_Sessie3,Daen,visible,17,1
65779,65779,Proefpersoon22017_Sessie3,Daen,visible,18,1
65780,65780,Proefpersoon22017_Sessie3,Daen,visible,19,1
65781,65781,Proefpersoon22017_Sessie3,Daen,visible,20,1
65782,65782,Proefpersoon22017_Sessie3,Daen,visible,21,1
65783,65783,Proefpersoon22017_Sessie3,Daen,visible,22,1
65784,65784,Proefpersoon22017_Sessie3,Daen,visible,23,1
65785,65785,Proefpersoon22017_Sessie3,Daen,visible,24,1
65786,65786,Proefpersoon22017_Sessie3,Daen,visible,25,1
65787,65787,Proefpersoon22017_Sessie3,Daen,visible,26,1
65788,65788,Proefpersoon22017_Sessie3,Daen,visible,27,1
65789,65789,Proefpersoon22017_Sessie3,Daen,visible,28,1
65790,65790,Proefpersoon22017_Sessie3,Daen,visible,29,1
65791,65791,Proefpersoon22017_Sessie3,Daen,visible,30,1
65792,65792,Proefpersoon22017_Sessie3,Daen,visible,31,1
65793,65793,Proefpersoon22017_Sessie3,Daen,visible,32,1
65794,65794,Proefpersoon22017_Sessie3,Daen,visible,33,1
65795,65795,Proefpersoon22017_Sessie3,Daen,visible,34,1
65796,65796,Proefpersoon22017_Sessie3,Daen,visible,35,1
65797,65797,Proefpersoon22017_Sessie3,Daen,visible,36,1
65798,65798,Proefpersoon22017_Sessie3,Daen,visible,37,1
65799,65799,Proefpersoon22017_Sessie3,Daen,visible,38,1
65800,65800,Proefpersoon22017_Sessie3,Daen,visible,39,1
65801,65801,Proefpersoon22017_Sessie3,Daen,visible,40,1
65802,65802,Proefpersoon22017_Sessie3,Daen,visible,41,1
65803,65803,Proefpersoon22017_Sessie3,Daen,visible,42,1
65804,65804,Proefpersoon22017_Sessie3,Daen,visible,43,1
65805,65805,Proefpersoon22017_Sessie3,Daen,visible,44,1
65806,65806,Proefpersoon22017_Sessie3,Daen,visible,45,1
65807,65807,Proefpersoon22017_Sessie3,Daen,visible,46,1
65808,65808,Proefpersoon22017_Sessie3,Daen,visible,47,1
65809,65809,Proefpersoon22017_Sessie3,Daen,visible,48,1
65810,65810,Proefpersoon22017_Sessie3,Daen,visible,49,1
65811,65811,Proefpersoon22017_Sessie3,Daen,visible,50,1
65812,65812,Proefpersoon22017_Sessie3,Daen,visible,51,1
65813,65813,Proefpersoon22017_Sessie3,Daen,visible,52,1
65814,65814,Proefpersoon22017_Sessie3,Daen,visible,53,1
65815,65815,Proefpersoon22017_Sessie3,Daen,visible,54,1
65816,65816,Proefpersoon22017_Sessie3,Daen,visible,55,1
65817,65817,Proefpersoon22017_Sessie3,Daen,visible,56,3
65818,65818,Proefpersoon22017_Sessie3,Daen,visible,57,3
65819,65819,Proefpersoon22017_Sessie3,Daen,visible,58,3
65820,65820,Proefpersoon22017_Sessie3,Daen,visible,59,3
65821,65821,Proefpersoon22017_Sessie3,Daen,visible,60,3
65822,65822,Proefpersoon22017_Sessie3,Daen,visible,61,3
65823,65823,Proefpersoon22017_Sessie3,Daen,visible,62,3
65824,65824,Proefpersoon22017_Sessie3,Daen,visible,63,3
65825,65825,Proefpersoon22017_Sessie3,Daen,visible,64,3
65826,65826,Proefpersoon22017_Sessie3,Daen,visible,65,3
65827,65827,Proefpersoon22017_Sessie3,Daen,visible,66,3
65828,65828,Proefpersoon22017_Sessie3,Daen,visible,67,3
65829,65829,Proefpersoon22017_Sessie3,Daen,visible,68,3
65830,65830,Proefpersoon22017_Sessie3,Daen,visible,69,3
65831,65831,Proefpersoon22017_Sessie3,Daen,visible,70,3
65832,65832,Proefpersoon22017_Sessie3,Daen,visible,71,3
65833,65833,Proefpersoon22017_Sessie3,Daen,visible,72,3
65834,65834,Proefpersoon22017_Sessie3,Daen,visible,73,3
65835,65835,Proefpersoon22017_Sessie3,Daen,visible,74,3
65836,65836,Proefpersoon22017_Sessie3,Daen,visible,75,3
65837,65837,Proefpersoon22017_Sessie3,Daen,visible,76,3
65838,65838,Proefpersoon22017_Sessie3,Daen,visible,77,3
65839,65839,Proefpersoon22017_Sessie3,Daen,visible,78,3
65840,65840,Proefpersoon22017_Sessie3,Daen,visible,79,3
65841,65841,Proefpersoon22017_Sessie3,Daen,visible,80,3
65842,65842,Proefpersoon22017_Sessie3,Daen,visible,81,3
65843,65843,Proefpersoon22017_Sessie3,Daen,visible,82,3
65844,65844,Proefpersoon22017_Sessie3,Daen,visible,83,3
65845,65845,Proefpersoon22017_Sessie3,Daen,visible,84,3
65846,65846,Proefpersoon22017_Sessie3,Daen,visible,85,3
65847,65847,Proefpersoon22017_Sessie3,Daen,visible,86,3
65848,65848,Proefpersoon22017_Sessie3,Daen,visible,87,3
65849,65849,Proefpersoon22017_Sessie3,Daen,visible,88,3
65850,65850,Proefpersoon22017_Sessie3,Daen,visible,89,3
65851,65851,Proefpersoon22017_Sessie3,Daen,visible,90,3
65852,65852,Proefpersoon22017_Sessie3,Daen,visible,91,3
65853,65853,Proefpersoon22017_Sessie3,Daen,visible,92,3
65854,65854,Proefpersoon22017_Sessie3,Daen,visible,93,3
65855,65855,Proefpersoon22017_Sessie3,Daen,visible,94,3
65856,65856,Proefpersoon22017_Sessie3,Daen,visible,95,3
65857,65857,Proefpersoon22017_Sessie3,Daen,visible,96,3
65858,65858,Proefpersoon22017_Sessie3,Daen,visible,97,3
65859,65859,Proefpersoon22017_Sessie3,Daen,visible,98,3
65860,65860,Proefpersoon22017_Sessie3,Daen,visible,99,3
65861,65861,Proefpersoon22017_Sessie3,Daen,visible,100,3
65862,65862,Proefpersoon22017_Sessie3,Daen,visible,101,3
65863,65863,Proefpersoon22017_Sessie3,Daen,visible,102,3
65864,65864,Proefpersoon22017_Sessie3,Daen,visible,103,3
65865,65865,Proefpersoon22017_Sessie3,Daen,visible,104,3
65866,65866,Proefpersoon22017_Sessie3,Daen,visible,105,3
65867,65867,Proefpersoon22017_Sessie3,Daen,visible,106,3
65868,65868,Proefpersoon22017_Sessie3,Daen,visible,107,3
65869,65869,Proefpersoon22017_Sessie3,Daen,visible,108,3
65870,65870,Proefpersoon22017_Sessie3,Daen,visible,109,3
65871,65871,Proefpersoon22017_Sessie3,Daen,visible,110,3
65872,65872,Proefpersoon22017_Sessie3,Daen,visible,111,3
65873,65873,Proefpersoon22017_Sessie3,Daen,visible,112,3
65874,65874,Proefpersoon22017_Sessie3,Daen,visible,113,3
65875,65875,Proefpersoon22017_Sessie3,Daen,visible,114,3
65876,65876,Proefpersoon22017_Sessie3,Daen,visible,115,3
65877,65877,Proefpersoon22017_Sessie3,Daen,visible,116,3
65878,65878,Proefpersoon22017_Sessie3,Daen,visible,117,3
65879,65879,Proefpersoon22017_Sessie3,Daen,visible,118,3
65880,65880,Proefpersoon22017_Sessie3,Daen,visible,119,3
65881,65881,Proefpersoon22017_Sessie3,Daen,visible,120,3
65882,65882,Proefpersoon22017_Sessie3,Daen,visible,121,3
65883,65883,Proefpersoon22017_Sessie3,Daen,visible,122,3
65884,65884,Proefpersoon22017_Sessie3,Daen,visible,123,3
65885,65885,Proefpersoon22017_Sessie3,Daen,visible,124,3
65886,65886,Proefpersoon22017_Sessie3,Daen,visible,125,3
65887,65887,Proefpersoon22017_Sessie3,Daen,visible,126,3
65888,65888,Proefpersoon22017_Sessie3,Daen,visible,127,3
65889,65889,Proefpersoon22017_Sessie3,Daen,visible,128,3
65890,65890,Proefpersoon22017_Sessie3,Daen,visible,129,3
65891,65891,Proefpersoon22017_Sessie3,Daen,visible,130,3
