,Unnamed: 0,file,annotator,case,framenumber,class
84111,84111,Proefpersoon22030_Sessie2_Poging2,Daen,visible,0,1
84112,84112,Proefpersoon22030_Sessie2_Poging2,Daen,visible,1,1
84113,84113,Proefpersoon22030_Sessie2_Poging2,Daen,visible,2,1
84114,84114,Proefpersoon22030_Sessie2_Poging2,Daen,visible,3,1
84115,84115,Proefpersoon22030_Sessie2_Poging2,Daen,visible,4,1
84116,84116,Proefpersoon22030_Sessie2_Poging2,Daen,visible,5,1
84117,84117,Proefpersoon22030_Sessie2_Poging2,Daen,visible,6,1
84118,84118,Proefpersoon22030_Sessie2_Poging2,Daen,visible,7,1
84119,84119,Proefpersoon22030_Sessie2_Poging2,Daen,visible,8,1
84120,84120,Proefpersoon22030_Sessie2_Poging2,Daen,visible,9,1
84121,84121,Proefpersoon22030_Sessie2_Poging2,Daen,visible,10,1
84122,84122,Proefpersoon22030_Sessie2_Poging2,Daen,visible,11,1
84123,84123,Proefpersoon22030_Sessie2_Poging2,Daen,visible,12,1
84124,84124,Proefpersoon22030_Sessie2_Poging2,Daen,visible,13,1
84125,84125,Proefpersoon22030_Sessie2_Poging2,Daen,visible,14,1
84126,84126,Proefpersoon22030_Sessie2_Poging2,Daen,visible,15,1
84127,84127,Proefpersoon22030_Sessie2_Poging2,Daen,visible,16,1
84128,84128,Proefpersoon22030_Sessie2_Poging2,Daen,visible,17,1
84129,84129,Proefpersoon22030_Sessie2_Poging2,Daen,visible,18,4
84130,84130,Proefpersoon22030_Sessie2_Poging2,Daen,visible,19,4
84131,84131,Proefpersoon22030_Sessie2_Poging2,Daen,visible,20,4
84132,84132,Proefpersoon22030_Sessie2_Poging2,Daen,visible,21,4
84133,84133,Proefpersoon22030_Sessie2_Poging2,Daen,visible,22,4
84134,84134,Proefpersoon22030_Sessie2_Poging2,Daen,visible,23,4
84135,84135,Proefpersoon22030_Sessie2_Poging2,Daen,visible,24,4
84136,84136,Proefpersoon22030_Sessie2_Poging2,Daen,visible,25,4
84137,84137,Proefpersoon22030_Sessie2_Poging2,Daen,visible,26,4
84138,84138,Proefpersoon22030_Sessie2_Poging2,Daen,visible,27,4
84139,84139,Proefpersoon22030_Sessie2_Poging2,Daen,visible,28,4
84140,84140,Proefpersoon22030_Sessie2_Poging2,Daen,visible,29,4
84141,84141,Proefpersoon22030_Sessie2_Poging2,Daen,visible,30,4
84142,84142,Proefpersoon22030_Sessie2_Poging2,Daen,visible,31,4
84143,84143,Proefpersoon22030_Sessie2_Poging2,Daen,visible,32,4
84144,84144,Proefpersoon22030_Sessie2_Poging2,Daen,visible,33,4
84145,84145,Proefpersoon22030_Sessie2_Poging2,Daen,visible,34,4
84146,84146,Proefpersoon22030_Sessie2_Poging2,Daen,visible,35,4
84147,84147,Proefpersoon22030_Sessie2_Poging2,Daen,visible,36,4
84148,84148,Proefpersoon22030_Sessie2_Poging2,Daen,visible,37,4
84149,84149,Proefpersoon22030_Sessie2_Poging2,Daen,visible,38,4
84150,84150,Proefpersoon22030_Sessie2_Poging2,Daen,visible,39,4
84151,84151,Proefpersoon22030_Sessie2_Poging2,Daen,visible,40,4
84152,84152,Proefpersoon22030_Sessie2_Poging2,Daen,visible,41,4
84153,84153,Proefpersoon22030_Sessie2_Poging2,Daen,visible,42,4
84154,84154,Proefpersoon22030_Sessie2_Poging2,Daen,visible,43,4
