,file,frames,rate
0,33001_sessie1_taskrobotEngagement,2682,25.0
1,33001_sessie2_taskrobotEngagement,8630,25.0
2,33001_sessie3_taskrobotEngagement,2137,25.0
3,33002_sessie1_taskrobotEngagement,2044,25.0
4,33002_sessie2_taskrobotEngagement,3331,25.0
5,33002_sessie3_taskrobotEngagement,2539,25.0
6,33003_sessie1_taskrobotEngagement,2452,25.0
7,33003_sessie3_robotEngagement1,3000,25.0
8,33003_sessie3_taskrobotEngagement,2331,25.0
9,33004_sessie1_taskrobotEngagement,3504,25.0
10,33004_sessie2_taskrobotEngagement,2811,25.0
11,33004_sessie3_taskrobotEngagement,2459,25.0
12,33005_sessie1_taskrobotEngagement,2213,25.0
13,33005_sessie2_taskrobotEngagement,3369,25.0
14,33005_sessie3_taskrobotEngagement,2502,25.0
15,33006_sessie1_taskrobotEngagement,2916,25.0
16,33006_sessie2_taskrobotEngagement,2392,25.0
17,33006_sessie3_taskrobotEngagement,2370,25.0
18,33007_sessie1_taskrobotEngagement,2681,25.0
19,33007_sessie2_taskrobotEngagement,2085,25.0
20,33007_sessie3_taskrobotEngagement,2853,25.0
21,33008_sessie1_taskrobotEngagement,2126,25.0
22,33008_sessie2_taskrobotEngagement,3178,25.0
23,33008_sessie3_taskrobotEngagement,3285,25.0
24,33010_sessie1_taskrobotEngagement,3029,25.0
25,33010_sessie2_taskrobotEngagement,2739,25.0
26,33010_sessie3_taskrobotEngagement,3964,25.0
27,33011_sessie2_robotEngagement1,3000,25.0
28,33011_sessie2_taskrobotEngagement,2188,25.0
29,33011_sessie3_taskrobotEngagement,2260,25.0
30,33013_sessie3_robotEngagement3,1809,25.0
31,33013_sessie3_taskEngagement1,2586,25.0
32,33013_sessie3_taskrobotEngagement,2312,25.0
33,Proefpersoon22016_Sessie1,3628,30.0
34,Proefpersoon22016_Sessie2,3748,30.0
35,Proefpersoon22016_Sessie3,3658,30.0
36,Proefpersoon22017_Sessie1,3628,30.0
37,Proefpersoon22017_Sessie2,3658,30.0
38,Proefpersoon22017_Sessie3,3658,30.0
39,Proefpersoon22018_Sessie1,3658,30.0
40,Proefpersoon22018_Sessie2,3718,30.0
41,Proefpersoon22018_Sessie3,3628,30.0
42,Proefpersoon22030_Sessie1,3688,30.0
43,Proefpersoon22030_Sessie2_Poging2,3718,30.0
44,Proefpersoon22030_Sessie3,3688,30.0
0,51007_sessie1_taskrobotEngagement,2399,25.0
1,51009_sessie1_taskrobotEngagement,2821,25.0
2,51010_sessie1_taskrobotEngagement,2516,25.0
3,51007_sessie2_taskrobotEngagement,2862,25.0
4,51007_sessie3_taskrobotEngagement,3169,25.0
5,51009_sessie2_taskrobotEngagement,2431,25.0
6,51009_sessie3_taskrobotEngagement,3929,25.0
7,51010_sessie2_taskrobotEngagement,2705,25.0
8,51010_sessie3_taskrobotEngagement,2115,25.0
9,51011_sessie3_robotEngagement3,2122,25.0
10,51011_sessie3_taskEngagement1,2970,25.0
11,51011_sessie3_taskrobotEngagement,2878,25.0
12,51013_sessie1_taskrobotEngagement,2635,25.0
13,51013_sessie2_taskrobotEngagement,2731,25.0
14,51013_sessie3_taskrobotEngagement,2451,25.0
15,51014_sessie1_taskrobotEngagement,3270,25.0
16,51014_sessie2_taskrobotEngagement,3690,25.0
17,51014_sessie3_taskrobotEngagement,3515,25.0
18,51015_sessie1_taskrobotEngagement,3628,30.0
19,51015_sessie2_taskrobotEngagement,3658,30.0
20,51015_sessie3_taskrobotEngagement,1821,25.0
21,51016_sessie1_taskrobotEngagement,2615,25.0
22,51016_sessie3_taskEngagement1,2440,25.0
23,51016_sessie3_taskrobotEngagement,2631,25.0
24,51017_sessie1_taskrobotEngagement,2101,25.0
25,51017_sessie2_taskrobotEngagement,1987,25.0
26,51017_sessie3_taskrobotEngagement,2187,25.0
27,51019_sessie1_taskrobotEngagement,2310,25.0
28,51019_sessie2_taskrobotEngagement,2825,25.0
29,51019_sessie3_taskrobotEngagement,4084,25.0
30,51020_sessie1_taskrobotEngagement,2347,25.0
31,51020_sessie2_taskrobotEngagement,4928,25.0
32,51020_sessie3_taskrobotEngagement,2556,25.0
33,51021_sessie1_taskrobotEngagement,5170,25.0
34,51021_sessie2_taskrobotEngagement,4397,25.0
35,51021_sessie3_taskrobotEngagement,2243,25.0
36,Proefpersoon11009_sessie1,3628,30.0
37,Proefpersoon11009_sessie2,3658,30.0
38,Proefpersoon11009_Sessie3,3748,30.0
39,Proefpersoon11012_sessie1,4348,30.0
40,Proefpersoon11012_sessie2,3988,30.0
41,Proefpersoon11012_Sessie3,3928,30.0
42,Proefpersoon11029_Sessie1,3658,30.0
43,Proefpersoon11029_sessie2,3658,30.0
44,Proefpersoon11029_sessie3,3658,30.0
