,Unnamed: 0,file,case,framenumber,class
0,0,33008_sessie3_taskrobotEngagement,visible,0,4
1,1,33008_sessie3_taskrobotEngagement,visible,1,4
2,2,33008_sessie3_taskrobotEngagement,visible,2,4
3,3,33008_sessie3_taskrobotEngagement,visible,3,4
4,4,33008_sessie3_taskrobotEngagement,visible,4,4
5,5,33008_sessie3_taskrobotEngagement,visible,5,4
6,6,33008_sessie3_taskrobotEngagement,visible,6,4
7,7,33008_sessie3_taskrobotEngagement,visible,7,4
8,8,33008_sessie3_taskrobotEngagement,visible,8,4
9,9,33008_sessie3_taskrobotEngagement,visible,9,4
10,10,33008_sessie3_taskrobotEngagement,visible,10,4
11,11,33008_sessie3_taskrobotEngagement,visible,11,4
12,12,33008_sessie3_taskrobotEngagement,visible,12,4
13,13,33008_sessie3_taskrobotEngagement,visible,13,4
14,14,33008_sessie3_taskrobotEngagement,visible,14,4
15,15,33008_sessie3_taskrobotEngagement,visible,15,4
16,16,33008_sessie3_taskrobotEngagement,visible,16,4
17,17,33008_sessie3_taskrobotEngagement,visible,17,4
18,18,33008_sessie3_taskrobotEngagement,visible,18,4
19,19,33008_sessie3_taskrobotEngagement,visible,19,4
20,20,33008_sessie3_taskrobotEngagement,visible,20,4
21,21,33008_sessie3_taskrobotEngagement,visible,21,4
22,22,33008_sessie3_taskrobotEngagement,visible,22,4
23,23,33008_sessie3_taskrobotEngagement,visible,23,4
24,24,33008_sessie3_taskrobotEngagement,visible,24,4
25,25,33008_sessie3_taskrobotEngagement,visible,25,4
26,26,33008_sessie3_taskrobotEngagement,visible,26,4
27,27,33008_sessie3_taskrobotEngagement,visible,27,4
28,28,33008_sessie3_taskrobotEngagement,visible,28,4
29,29,33008_sessie3_taskrobotEngagement,visible,29,4
30,30,33008_sessie3_taskrobotEngagement,visible,30,4
31,31,33008_sessie3_taskrobotEngagement,visible,31,4
32,32,33008_sessie3_taskrobotEngagement,visible,32,4
33,33,33008_sessie3_taskrobotEngagement,visible,33,4
34,34,33008_sessie3_taskrobotEngagement,visible,34,4
35,35,33008_sessie3_taskrobotEngagement,visible,35,4
36,36,33008_sessie3_taskrobotEngagement,visible,36,4
37,37,33008_sessie3_taskrobotEngagement,visible,37,4
38,38,33008_sessie3_taskrobotEngagement,visible,38,4
39,39,33008_sessie3_taskrobotEngagement,visible,39,4
40,40,33008_sessie3_taskrobotEngagement,visible,40,4
