yaw,pitch,class,fps,hleft,htop,hright,hbottom
-0.8920268723864768,-0.4186108401568681,0.0,21.947296816459804,522.8823852539062,327.6905822753906,616.1455078125,470.5920715332031
-0.8912859809712168,-0.33841933130905616,0.0,21.954764110697592,522.1279907226562,327.1733703613281,614.4276123046875,468.88677978515625
-0.8628663237145452,-0.290923451164147,0.0,21.672405597007213,520.9169921875,326.8393859863281,614.3452758789062,469.50494384765625
-0.8445664122840657,-0.2763522315758874,0.0,21.513664341403366,521.3792724609375,328.6192321777344,615.78515625,472.3426818847656
-0.844169068649426,-0.37210752015023146,0.0,21.39678102282872,518.8949584960938,331.4991149902344,613.46875,473.0658264160156
-0.9033961733961342,-0.2833552799783598,0.0,21.63573712988755,517.9266967773438,333.8072509765625,614.4165649414062,478.3936462402344
-0.8567855279975672,-0.34568070633726616,0.0,21.419727804305083,520.53857421875,337.74822998046875,614.2224731445312,480.03875732421875
-0.8899698467604996,-0.4547805625017793,0.0,21.238917977334644,521.3170166015625,341.1269836425781,614.09130859375,481.2473449707031
-0.8904337694223915,-0.45797662212598333,0.0,21.4148064944348,522.0350952148438,341.3543701171875,613.9486083984375,480.9791259765625
-0.9515274837771363,-0.5674056450012303,0.0,21.347557220438016,522.416015625,343.39007568359375,613.190185546875,479.328857421875
-1.0545289673614768,-0.5945230164848531,0.0,23.093208534067447,522.9791259765625,345.689697265625,612.7256469726562,482.86431884765625
-0.8958804664838215,-0.5903442504184098,0.0,23.186657305700056,523.2926025390625,350.98736572265625,613.263427734375,488.28399658203125
-1.0745596671843989,-0.5147786523840654,0.0,23.131288397692554,528.9833984375,357.5021667480469,612.2840576171875,493.4037170410156
42.0,42.0,4.0,30.439165995369866,-1.0,-1.0,-1.0,-1.0
-1.280981949066713,-0.6077698460630162,0.0,23.330722677109293,519.7144165039062,366.9766540527344,612.5779418945312,504.83062744140625
-1.7221971679239556,-0.48644261838562236,0.0,22.96939826071718,523.0437622070312,384.7940673828125,623.0584106445312,511.1868896484375
42.0,42.0,4.0,29.382987964636488,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.97537252099339,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.556084842505815,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.07035982879634,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.73039028055402,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,30.187879660285017,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,31.723119743450113,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.34577791459976,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.564418129273278,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.54838073365411,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.83773247619375,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.45769187549163,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.12288959515093,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.341040853007556,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.32725946537355,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.478242271576104,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.49817228118333,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.584794046288472,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.840508557322718,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,29.061319512769703,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.567077365262936,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.994873985476293,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.336744204235128,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.280274016937266,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.391110990773896,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.643356643356643,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,27.569619088309725,-1.0,-1.0,-1.0,-1.0
42.0,42.0,4.0,28.6486390492128,-1.0,-1.0,-1.0,-1.0
